USER,2022-10_ALLOCATIONS,2022-10_CURTAILMENT,2022-10_DEMAND,2022-10_SHORTAGE_%,BASIN,PRIORITY
A019649,0.0002022,0,0.00020219999999999998,0,R_14,176
A020129,0.0002022,0,0.00020219999999999998,0,R_14,188
A022496,2.022e-05,0,2.022e-05,0,R_14,238
A023173,0.0002022,0,0.00020219999999999998,0,R_14,259
A024300A,0.0002022,0,0.00020219999999999998,0,R_14,275
A025964,0.0002022,0,0.00020219999999999998,0,R_14,330
A029562,0.0002022,0,0.00020219999999999998,0,R_14,379
A029628,0.0002022,0,0.00020219999999999998,0,R_14,385
A031363,0.0002022,0,0.00020219999999999998,0,R_14,420
L031802,0.0002022,0,0.00020219999999999998,0,R_14,434
A014043,6.0,0,6.0,0,R_14_M,88
A014136,0.0,1,0.054935000000000005,100.0,R_14_M,101
A019351,0.0,1,0.00020219999999999998,100.0,R_14_M,1000
A022661,0.0,1,0.00020219999999999998,100.0,R_14_M,242
A022807,0.0,1,0.00020219999999999998,100.0,R_14_M,246
A022929,0.0,1,0.00020219999999999998,100.0,R_14_M,248
A023067,0.0,1,1.7,100.0,R_14_M,253
A016218,0.0002022,0,0.00020219999999999998,0,R_15,135
A017689,0.204933,0,0.2049335,0,R_15,152
A018235,0.0002022,0,0.00020219999999999998,0,R_15,159
A022090,2.022e-05,0,2.022e-05,0,R_15,229
A022141,2.022e-05,0,2.022e-05,0,R_15,230
A022237,0.0002022,0,0.00020219999999999998,0,R_15,232
A025998,0.496667,0,0.496666667,0,R_15,331
A027953,0.0002022,0,0.00020219999999999998,0,R_15,362
A029199,0.133333,0,0.1333333,0,R_15,371
D029862,0.0002022,0,0.00020219999999999998,0,R_15,393
D030095,0.0002022,0,0.00020219999999999998,0,R_15,398
D031681,0.0002022,0,0.00020219999999999998,0,R_15,430
D031803,0.0002022,0,0.00020219999999999998,0,R_15,435
A013914,0.0002022,0,0.00020219999999999998,0,R_15_M,84
A013988,0.0002022,0,0.00020219999999999998,0,R_15_M,87
A014054,0.186064,0,0.186064,0,R_15_M,89
A014055,5.33333,0,5.333333333,0,R_15_M,90
A014056,0.0002022,0,0.00020219999999999998,0,R_15_M,91
A014064,1.51486,0,2.353333333,35.62917846113728,R_15_M,95
A014066,0.0,1,2.2390945,100.0,R_15_M,96
A014067,0.0,1,3.958292921,100.0,R_15_M,97
A015348,0.0,1,2.0,100.0,R_15_M,120
A016524,0.0,1,2.523333333,100.0,R_15_M,139
A016777,0.0,1,0.037613,100.0,R_15_M,142
A017056,0.0,1,0.476666667,100.0,R_15_M,144
A020573,0.0,1,0.666666667,100.0,R_15_M,199
A021886,0.0,1,0.00020219999999999998,100.0,R_15_M,225
A022359,0.0,1,1.666666667,100.0,R_15_M,236
S004345,1.33,0,1.33,0,R_15_M,1
A004612,0.000666667,0,0.000666667,0,R_16,36
A011327,0.0002022,0,0.00020219999999999998,0,R_16,46
A013359,0.0002022,0,0.00020219999999999998,0,R_16,72
A015299,0.0002022,0,0.00020219999999999998,0,R_16,119
A015624,0.0002022,0,0.00020219999999999998,0,R_16,123
A015947,0.0002022,0,0.00020219999999999998,0,R_16,132
A017098,0.0002022,0,0.00020219999999999998,0,R_16,146
A017237,0.0002022,0,0.00020219999999999998,0,R_16,147
A017263,0.333333,0,0.333333333,0,R_16,148
A017479,0.0002022,0,0.00020219999999999998,0,R_16,149
A017833,2.022e-05,0,2.022e-05,0,R_16,154
A018127,2.022e-05,0,2.022e-05,0,R_16,157
A019089,0.5,0,0.5,0,R_16,167
A019241,0.0002022,0,0.00020219999999999998,0,R_16,168
A019554,0.0002022,0,0.00020219999999999998,0,R_16,174
A019720,0.068,0,0.068,0,R_16,178
A020005,0.0002022,0,0.00020219999999999998,0,R_16,182
A020015,0.833333,0,0.833333333,0,R_16,183
A020114,0.0002022,0,0.00020219999999999998,0,R_16,186
A020493,0.0002022,0,0.00020219999999999998,0,R_16,197
A020728,0.0002022,0,0.00020219999999999998,0,R_16,203
A020733,0.0002022,0,0.00020219999999999998,0,R_16,204
A020951,0.0002022,0,0.00020219999999999998,0,R_16,209
A021052,0.0002022,0,0.00020219999999999998,0,R_16,212
A021191,0.417,0,0.417,0,R_16,216
A021210,0.00460333,0,0.004603333,0,R_16,217
A022151,0.0002022,0,0.00020219999999999998,0,R_16,231
A023077,0.0002022,0,0.00020219999999999998,0,R_16,254
A023094,0.0002022,0,0.00020219999999999998,0,R_16,255
A024223,0.0002022,0,0.00020219999999999998,0,R_16,267
A024544,0.0002022,0,0.00020219999999999998,0,R_16,278
A024782,0.0002022,0,0.00020219999999999998,0,R_16,289
A025125,2.022e-05,0,2.022e-05,0,R_16,310
A026440,0.0002022,0,0.00020219999999999998,0,R_16,339
A026442,0.0002022,0,0.00020219999999999998,0,R_16,340
A026561,0.0002022,0,0.00020219999999999998,0,R_16,342
A027031,0.0002022,0,0.00020219999999999998,0,R_16,348
A027702,0.0002022,0,0.00020219999999999998,0,R_16,359
A028402,0.0002022,0,0.00020219999999999998,0,R_16,365
A029538,0.0002022,0,0.00020219999999999998,0,R_16,383
A029986,0.0002022,0,0.00020219999999999998,0,R_16,397
A030173,0.0002022,0,0.00020219999999999998,0,R_16,402
A030933,0.0002022,0,0.00020219999999999998,0,R_16,412
C003981,0.0002022,0,0.00020219999999999998,0,R_16,396
D029507,0.0002022,0,0.00020219999999999998,0,R_16,382
D029831,0.0002022,0,0.00020219999999999998,0,R_16,415
D030758,0.0225,0,0.0225,0,R_16,411
D031267,0.43,0,0.43,0,R_16,417
D031569,0.0002022,0,0.00020219999999999998,0,R_16,425
D032058,0.0002022,0,0.00020219999999999998,0,R_16,436
D032534,0.01427,0,0.01427,0,R_16,447
D032725,0.0002022,0,0.00020219999999999998,0,R_16,451
L032735,0.0002022,0,0.00020219999999999998,0,R_16,452
S009040,0.166667,0,0.166666667,0,R_16,25
S009045,2.022e-05,0,2.022e-05,0,R_16,7
S027251,0.5,0,0.5,0,R_16,26
S027799,0.06,0,0.06,0,R_16,24
A013639,0.296667,0,0.296666667,0,R_16_M,80
A013890,0.0002022,0,0.00020219999999999998,0,R_16_M,83
A014068,0.0,1,25.34,100.0,R_16_M,98
