USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
S004345,N,R_15_M,Y,N,1,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.443333333,1.33,1.33,1.33,2.66,1.33,0.443333333,0.0002022,N,N,N
S009293,N,R_17_M,Y,N,2,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S009294,N,R_17_M,Y,N,3,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S009295,N,R_17_M,Y,N,4,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S015686,N,R_17_M,Y,N,6,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.006666666999999999,0.16,0.35,0.48666666700000005,0.42,0.543333333,0.15333333300000002,0.0002022,N,N,N
S009055,N,R_19_M,Y,N,19,PRE-1914,37.50333333,32.94333333,40.14,36.58333333,42.16,45.79,54.47666667,53.18666667,46.86333333,42.31333333,37.15666667,33.66666667,N,N,N
S024683,N,R_21_M,Y,N,20,PRE-1914,1.1,0.933333333,1.166666667,1.1,4.433333333,8.566666667,12.66666667,5.4,5.166666667,2.2,2.566666667,1.3,N,N,N
S009054,N,R_21_M,Y,N,22,PRE-1914,11.99,10.64,12.26666667,11.78333333,15.12,19.87,23.22333333,23.68,20.52333333,16.57333333,14.14,12.54333333,N,N,N
A003633,N,R_17_M,Y,N,35,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A010795,N,R_18_M,Y,N,42,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,10.43333333,43.06666667,38.23333333,37.16666667,4.966666667,0.0002022,0.0002022,N,N,N
A010976,N,R_18_M,Y,N,44,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A012452,N,R_18_M,Y,N,50,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.1,0.133333333,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013062,N,R_17_M,Y,N,55,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013076,N,R_18_M,Y,N,56,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.933333333,1.6,2.066666667,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013097,N,R_17_M,Y,N,57,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013098,N,R_17_M,Y,N,58,PRE-1949+1949,0.0002022,0.0002022,0.006666666999999999,0.016666667,0.666666667,1.8533333330000001,3.5,3.333333333,2.733333333,3.91,0.0002022,0.0002022,N,N,N
A013105,N,R_18_M,Y,N,59,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013135,N,R_17_M,Y,N,60,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.026666667,0.263333333,0.5066666670000001,0.52,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013151,N,R_17_M,Y,N,61,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013261,N,R_18_M,Y,N,65,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.133333333,0.15,0.3,0.2,0.313333333,0.21666666699999998,0.296666667,0.133333333,0.0002022,N,N,N
A013267,N,R_17_M,Y,N,66,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,1.4,4.766666667,10.43333333,14.1,5.6333333329999995,0.966666667,0.0002022,0.0002022,N,N,N
A013268,N,R_17_M,Y,N,67,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013269,N,R_24_M,Y,N,68,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013317,N,R_21_M,Y,N,70,PRE-1949+1949,0.0002022,0.0002022,0.0002022,6.0,13.0,13.0,13.0,13.0,13.0,7.0,0.0002022,0.0002022,N,N,N
A013384,N,R_18_M,Y,N,74,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.216666667,1.173333333,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013393,N,R_24_M,Y,N,75,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,5.233333333,12.03333333,17.16666667,17.2,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013453,N,R_17_M,Y,N,76,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,3.666666667,7.8666666670000005,10.63333333,10.7,10.7,2.366666667,3.0,0.0002022,N,N,N
A013639,N,R_16_M,Y,N,80,1950-1952,0.0002022,0.0002022,0.0002022,0.576666667,1.58,3.063333333,2.566666667,2.096666667,1.076666667,0.296666667,0.0002022,0.0002022,N,N,N
A013684B,N,R_17_M,Y,N,81,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.166666667,0.46,0.8766666670000001,0.8633333329999999,0.59,0.26,0.0002022,0.0002022,N,N,N
A013684A,N,R_18_M,Y,N,82,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,8.5,0.0002022,N,N,Y
A013890,N,R_16_M,Y,N,83,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013914,N,R_15_M,Y,N,84,1950-1952,0.0002022,0.0002022,0.233333333,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A013988,N,R_15_M,Y,N,87,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.34166666700000003,0.355,0.24833333300000002,0.0002022,0.0002022,0.0002022,N,N,N
A014043,N,R_14_M,Y,N,88,1950-1952,0.0002022,0.0002022,0.0002022,6.0,12.0,25.0,25.0,12.0,12.0,6.0,0.0002022,0.0002022,N,N,N
A014054,N,R_15_M,Y,N,89,1950-1952,0.0002022,0.034194999999999996,0.087451,0.155863,0.171207,0.6946495,1.5892625,1.092651,0.182995,0.186064,0.019366,0.0002022,N,N,N
A014055,N,R_15_M,Y,N,90,1950-1952,0.0002022,0.0002022,0.0002022,4.0,5.0,5.333333333,3.333333333,5.666666667,5.0,5.333333333,2.666666667,0.0002022,N,N,N
A014056,N,R_15_M,Y,N,91,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014050B,N,R_17_M,Y,N,92,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.03,0.03,0.03,0.03,0.03,0.0002022,0.0002022,N,N,N
A014050A,N,R_17_M,Y,N,93,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014061,N,R_17_M,Y,N,94,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.411233333,1.177466667,3.0554,2.8092666669999997,1.190066667,0.458533333,0.07666666700000001,0.0002022,N,N,N
