BASIN,FLOWS_TO,2022-08
R_14,R_14_M,2.66428924877839
R_14_M,R_15_M,0.0
R_15,R_15_M,0.7090447194329587
R_15_M,R_16_M,0.0
R_16,R_16_M,3.695627022499058
R_16_M,R_17_M,0.0
R_17,R_17_M,1.7994695531063727
R_17_M,R_18_M,0.0
R_18,R_18_M,4.442272598265582
R_18_M,R_19_M,0.0
R_19,R_19_M,1.622208373248133
R_19_M,R_21_M,0.0
R_20,R_21_M,12.069874883074682
R_21,R_21_M,7.342910086854959
R_21_M,R_21_M,0.0
R_22,R_14_M,50.42811989421679
R_23,R_24_M,4.023291627691561
R_24,R_24_M,4.023291627691561
R_24_M,R_18_M,0.0
R_25,R_24_M,0.0
R_26,R_25,0.0
R_27,R_26,61.5848311234763
R_28,R_25,10.044800191966917
