USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
S000093,0.00020219999999999998,0,0.00020219999999999998,0,R_27,10000000
S000549,0.00020219999999999998,0,0.00020219999999999998,0,R_25,10000000
S000632,0.00020219999999999998,0,0.00020219999999999998,0,R_26,10000000
S000652,1.2e-05,0,1.2e-05,0,R_14,10000000
S001181,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S002378,0.00020219999999999998,0,0.00020219999999999998,0,R_17,10000000
S002720,0.000128,0,0.000128,0,R_18,10000000
S002929,2.022e-05,0,2.022e-05,0,R_27,10000000
S003106,0.69,0,0.69,0,R_18,10000000
S004341,0.002148333,0,0.002148333,0,R_21,10000000
S004347,2.3033333330000003,0,2.3033333330000003,0,R_14_M,10000000
S004460,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S005225,1.055276,0,1.055276,0,R_15_M,10000000
S005226,1.044649333,0,1.044649333,0,R_15_M,10000000
S008502,0.00020219999999999998,0,0.00020219999999999998,0,R_18,10000000
S008582,0.000485667,0,0.000485667,0,R_20,10000000
S008583,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008584,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008585,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008586,0.00179,0,0.00179,0,R_20,10000000
S008587,0.00020219999999999998,0,0.00020219999999999998,0,R_20,10000000
S008588,0.003785,0,0.003785,0,R_20,10000000
S008589,0.065981,0,0.065981,0,R_20,10000000
S008590,0.003580667,0,0.003580667,0,R_20,10000000
S008591,0.015242,0,0.015242,0,R_20,10000000
S008592,0.011763667,0,0.011763667,0,R_20,10000000
S008593,0.258809667,0,0.258809667,0,R_20,10000000
S008661,0.08766666699999999,0,0.08766666699999999,0,R_15_M,10000000
S008664,0.00020219999999999998,0,0.00020219999999999998,0,R_15_M,10000000
S009168,0.00020219999999999998,0,0.00020219999999999998,0,R_16,10000000
S009324,0.093601,0,0.093601,0,R_20,10000000
S009689,1.843853712e-05,1,2.022e-05,8.810400000000003,R_24,10000000
S012930,0.00020219999999999998,0,0.00020219999999999998,0,R_18,10000000
S013563,0.33,0,0.33,0,R_16,10000000
S013709,0.021971,0,0.021971,0,R_16,10000000
S013760,0.001666667,0,0.001666667,0,R_16,10000000
S013814,0.97,0,0.97,0,R_16,10000000
S013850,0.225566667,0,0.225566667,0,R_21,10000000
S014058,1.3666666669999998,0,1.3666666669999998,0,R_16,10000000
S014059,2.266666667,0,2.266666667,0,R_14_M,10000000
S014070,14.855514797207611,1,17.73333333,16.228299999999997,R_23,10000000
S014075,14.51130501029368,1,15.91333333,8.810399999999998,R_24,10000000
S014076,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S014096,0.00020219999999999998,0,0.00020219999999999998,0,R_24_M,10000000
S014097,0.00020219999999999998,0,0.00020219999999999998,0,R_24_M,10000000
S014479,0.046,0,0.046,0,R_21,10000000
S014924,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S014925,0.533333333,0,0.533333333,0,R_16_M,10000000
S015118,2.63,0,2.63,0,R_14_M,10000000
S015273,0.22842,0,0.22842,0,R_24_M,10000000
S015460,0.00020219999999999998,0,0.00020219999999999998,0,R_24_M,10000000
S015520,3.0,0,3.0,0,R_15_M,10000000
S015821,0.00020219999999999998,0,0.00020219999999999998,0,R_28,10000000
S015823,0.075,0,0.075,0,R_15_M,10000000
S015828,1.296666667,0,1.296666667,0,R_16_M,10000000
S015844,0.22,0,0.22,0,R_21,10000000
S015862,2.022e-05,0,2.022e-05,0,R_17,10000000
S015865,4.0,0,4.0,0,R_15_M,10000000
S015872,0.00020219999999999998,0,0.00020219999999999998,0,R_25,10000000
S015885,0.045594800000000005,1,0.05,8.810399999999996,R_24,10000000
S015886,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S015887,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S015895,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S015906,0.00020219999999999998,0,0.00020219999999999998,0,R_18,10000000
S015908,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S015916,0.435888,0,0.435888,0,R_16,10000000
S015923,0.00020219999999999998,0,0.00020219999999999998,0,R_18,10000000
S015944,1.033333333,0,1.033333333,0,R_16_M,10000000
S015948,0.00020219999999999998,0,0.00020219999999999998,0,R_21,10000000
S015955,0.00020219999999999998,0,0.00020219999999999998,0,R_19,10000000
S015981,1.843853712e-05,1,2.022e-05,8.810400000000003,R_24,10000000
S015997,0.09118960000000001,1,0.1,8.810399999999996,R_24,10000000
S016025,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S016032,0.081861667,0,0.081861667,0,R_16_M,10000000
S016038,0.993141,0,0.993141,0,R_16_M,10000000
S016039,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016046,0.940353,0,0.940353,0,R_16_M,10000000
S016047,0.8201940000000001,0,0.8201940000000001,0,R_16_M,10000000
S016048,1.0,0,1.0,0,R_16_M,10000000
S016049,0.392605333,0,0.392605333,0,R_16_M,10000000
S016050,0.556351,0,0.556351,0,R_16_M,10000000
S016051,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016052,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016053,0.958889,0,0.958889,0,R_16_M,10000000
S016054,0.557152333,0,0.557152333,0,R_15_M,10000000
S016055,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016056,0.782462667,0,0.782462667,0,R_16_M,10000000
S016057,0.593614667,0,0.593614667,0,R_16_M,10000000
S016058,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016059,0.00020219999999999998,0,0.00020219999999999998,0,R_15_M,10000000
S016060,0.68498,0,0.68498,0,R_15_M,10000000
S016061,0.241121667,0,0.241121667,0,R_16_M,10000000
S016062,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016065,0.00020219999999999998,0,0.00020219999999999998,0,R_16_M,10000000
S016066,0.034,0,0.034,0,R_16_M,10000000
S016067,0.888323,0,0.888323,0,R_16_M,10000000
S016068,1.185725,0,1.185725,0,R_16_M,10000000
S016069,0.368979,0,0.368979,0,R_15_M,10000000
S016134,0.024127667,0,0.024127667,0,R_18,10000000
S016328,0.00018438537119999998,1,0.00020219999999999998,8.8104,R_24,10000000
S016628,0.020224,0,0.020224,0,R_22,10000000
S016682,0.00020219999999999998,0,0.00020219999999999998,0,R_24_M,10000000
S016683,0.00020219999999999998,0,0.00020219999999999998,0,R_24_M,10000000
S016699,0.000695667,0,0.000695667,0,R_28,10000000
S016700,0.005063333,0,0.005063333,0,R_28,10000000
S016731,0.202453,0,0.202453,0,R_24_M,10000000
S016778,0.0001693863774,1,0.00020219999999999998,16.228299999999994,R_23,10000000
S016779,0.0001693863774,1,0.00020219999999999998,16.228299999999994,R_23,10000000
S016853,0.00020219999999999998,0,0.00020219999999999998,0,R_27,10000000
S016892,0.00020219999999999998,0,0.00020219999999999998,0,R_14,10000000
S017038,1.634118667,0,1.634118667,0,R_16_M,10000000
