USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
A001029,3.49667,0,3.496666667,0,R_26,26.0
A001205,0.0,1,0.0002022,100.0,R_24,27.0
A004612,0.0007,0,0.0007,0,R_16,28.0
A006926,0.0,1,0.022730333,100.0,R_24,29.0
A007006,0.0002022,0,0.0002022,0,R_19,30.0
A009746,0.021482,0,0.021481999999999998,0,R_19,31.0
A009774,0.004603,0,0.004603,0,R_20,32.0
A009992,0.0002022,0,0.0002022,0,R_19,33.0
A010915,0.0002022,0,0.0002022,0,R_18,34.0
A011315,0.470159,0,0.47015933299999996,0,R_18,35.0
A011327,0.0002022,0,0.0002022,0,R_16,36.0
A011859,0.0,1,2.022e-05,100.0,R_24,37.0
A012100,0.0002022,0,0.0002022,0,R_27,38.0
A012330,0.0002022,0,0.0002022,0,R_18,39.0
A012483,0.0371337,0,0.037133667,0,R_25,40.0
A012510,0.0002022,0,0.0002022,0,R_25,41.0
A012773,0.0,1,0.0002022,100.0,R_24,42.0
A012877,0.0002022,0,0.0002022,0,R_18,43.0
A013163,0.0,1,0.0002022,100.0,R_24,44.0
A013221,0.0002022,0,0.0002022,0,R_27,45.0
A013256,0.0002022,0,0.0002022,0,R_25,46.0
A013269,0.0002022,0,0.0002022,0,R_24_M,47.0
A013301,3.3144,0,3.314398,0,R_25,48.0
A013330,0.0002022,0,0.0002022,0,R_26,49.0
A013359,5.65249,0,6.733333332999999,16.052128708715436,R_16,50.0
A013376,0.0,1,0.0002022,100.0,R_24,51.0
A013393,17.2,0,17.2,0,R_24_M,52.0
A013527,0.0002022,0,0.0002022,0,R_27,53.0
A013539,0.001074,0,0.001074,0,R_27,54.0
A013586,0.0002022,0,0.0002022,0,R_25,55.0
A013639,2.09667,0,2.096666667,0,R_16_M,56.0
A013890,0.0002022,0,0.0002022,0,R_16_M,57.0
A013914,0.0002022,0,0.0002022,0,R_15_M,58.0
A013958,0.0,1,0.0002022,100.0,R_23,59.0
A013975,0.0002022,0,0.0002022,0,R_27,60.0
A013988,0.355,0,0.355,0,R_15_M,61.0
A014043,12.0,0,12.0,0,R_14_M,62.0
A014054,1.09265,0,1.092651,0,R_15_M,64.0
A014055,5.66667,0,5.666666667,0,R_15_M,65.0
A014056,0.0002022,0,0.0002022,0,R_15_M,63.0
A014064,4.33333,0,4.333333333,0,R_15_M,68.0
A014066,3.22737,0,3.22736995,0,R_15_M,69.0
A014067,5.37732,0,5.377319272,0,R_15_M,67.0
A014068,25.4533,0,25.45333333,0,R_16_M,66.0
A014092,0.0002022,0,0.0002022,0,R_27,70.0
A014107,0.0,1,0.0002022,100.0,R_23,71.0
A014136,1.88705,0,1.8870506669999998,0,R_14_M,72.0
A014364,0.0,1,0.0002022,100.0,R_23,73.0
A014379,0.0,1,0.0002022,100.0,R_24,74.0
A014513,0.0002022,0,0.0002022,0,R_17,75.0
A014767,0.0002022,0,0.0002022,0,R_27,76.0
A014797,0.0002022,0,0.0002022,0,R_27,77.0
A014870,0.0,1,0.0002022,100.0,R_24,78.0
A014966,0.0002022,0,0.0002022,0,R_26,79.0
A015194,0.0,1,0.0002022,100.0,R_23,80.0
A015237,0.0002022,0,0.0002022,0,R_17,81.0
A015299,0.0,1,0.0002022,100.0,R_16,82.0
A015348,3.16667,0,3.166666667,0,R_15_M,83.0
A015515,0.0,1,0.0002022,100.0,R_23,84.0
A015603,0.0,1,0.0002022,100.0,R_23,85.0
A015624,0.0,1,0.0002022,100.0,R_16,86.0
A015685,0.0002022,0,0.0002022,0,R_25,87.0
A015720,0.0,1,0.0002022,100.0,R_24,88.0
A015724,0.0002022,0,0.0002022,0,R_24_M,89.0
A015759,2.15453,0,2.154532333,0,R_16_M,90.0
A015760,1.77878,0,1.778779,0,R_16_M,91.0
A015894,0.0002022,0,0.0002022,0,R_21,92.0
A015947,0.0,1,0.0002022,100.0,R_16,93.0
A016106,0.0,1,0.0002022,100.0,R_23,94.0
A016190,0.0002022,0,0.0002022,0,R_27,95.0
A016218,0.0002022,0,0.0002022,0,R_15,96.0
A016478,0.0002022,0,0.0002022,0,R_27,97.0
A016524,3.58333,0,3.583333333,0,R_15_M,98.0
A016527,0.0002022,0,0.0002022,0,R_27,99.0
A016545,0.0002022,0,0.0002022,0,R_20,100.0
A016777,0.051199,0,0.051199,0,R_15_M,101.0
A016904,0.0002022,0,0.0002022,0,R_27,102.0
A017056,3.03333,0,3.0333333330000003,0,R_15_M,103.0
A017081,0.0002022,0,0.0002022,0,R_24_M,104.0
A017098,0.0,1,0.0002022,100.0,R_16,105.0
A017237,0.0,1,0.0002022,100.0,R_16,106.0
A017263,0.0,1,0.333333333,100.0,R_16,107.0
A017477,0.0,1,0.0002022,100.0,R_23,109.0
A017479,0.0,1,0.0002022,100.0,R_16,108.0
A017551,0.0002022,0,0.0002022,0,R_16_M,110.0
A017689,1.56448,0,1.5644790000000002,0,R_15,111.0
A017795,0.0002022,0,0.0002022,0,R_22,112.0
A017833,0.0,1,2.022e-05,100.0,R_16,113.0
A017919,0.0002022,0,0.0002022,0,R_28,114.0
A017999,0.0,1,0.0002022,100.0,R_23,115.0
A018127,0.0,1,2.022e-05,100.0,R_16,116.0
A018192,0.0,1,0.0002022,100.0,R_24,117.0
A018235,0.0002022,0,0.0002022,0,R_15,118.0
A018277,0.0002022,0,0.0002022,0,R_27,119.0
A018522,0.0002022,0,0.0002022,0,R_18,120.0
A018736,0.0002022,0,0.0002022,0,R_21,121.0
A018849,0.0,1,0.066666667,100.0,R_24,122.0
A018958,0.0002022,0,0.0002022,0,R_27,123.0
A018963,0.0002022,0,0.0002022,0,R_27,124.0
A019013,0.0002022,0,0.0002022,0,R_28,125.0
A019089,0.0,1,0.0002022,100.0,R_16,126.0
A019241,0.0,1,0.0002022,100.0,R_16,127.0
A019351,0.0002022,0,0.0002022,0,R_14_M,10000.0
A019422,0.0002022,0,0.0002022,0,R_27,129.0
A019444,0.0,1,0.0002022,100.0,R_23,130.0
A019515,0.0002022,0,0.0002022,0,R_21,131.0
A019554,0.0,1,0.0002022,100.0,R_16,132.0
A019557,0.0,1,0.0002022,100.0,R_23,133.0
A019649,0.0002022,0,0.0002022,0,R_14,134.0
A019652,0.666667,0,0.666666667,0,R_28,135.0
A019720,0.0,1,0.0002022,100.0,R_16,136.0
A019798,0.0,1,0.0002022,100.0,R_23,137.0
A019806,0.0002022,0,0.0002022,0,R_26,138.0
A019891,0.0,1,0.0002022,100.0,R_23,139.0
A020005,0.0,1,0.0002022,100.0,R_16,140.0
A020015,0.0,1,0.0002022,100.0,R_16,141.0
A020071,0.0,1,0.0002022,100.0,R_23,142.0
A020078,0.0,1,0.0002022,100.0,R_23,143.0
A020114,0.0,1,0.0002022,100.0,R_16,144.0
A020127,0.0002022,0,0.0002022,0,R_27,145.0
A020129,0.0002022,0,0.0002022,0,R_14,146.0
A020134,0.0469,0,0.0469,0,R_21,147.0
A020147,0.0002022,0,0.0002022,0,R_25,148.0
A020261,0.0002022,0,0.0002022,0,R_20,149.0
A020264,0.0002022,0,0.0002022,0,R_17,150.0
A020384,0.0002022,0,0.0002022,0,R_21,151.0
A020401,0.0,1,0.0002022,100.0,R_23,152.0
A020435,0.0,1,0.0002022,100.0,R_24,153.0
A020491,0.0002022,0,0.0002022,0,R_25,154.0
A020493,0.0,1,0.0002022,100.0,R_16,155.0
A020509,0.0,1,0.0002022,100.0,R_23,205.0
A020557,0.0002022,0,0.0002022,0,R_17,156.0
A020573,0.0002022,0,0.0002022,0,R_15_M,157.0
A020583,0.0002022,0,0.0002022,0,R_16_M,159.0
A020584,0.0002022,0,0.0002022,0,R_20,158.0
A020634,0.0,1,0.283333333,100.0,R_23,160.0
A020728,0.0,1,0.0002022,100.0,R_16,161.0
A020733,0.0,1,0.0002022,100.0,R_16,162.0
A020769,0.0002022,0,0.0002022,0,R_17,163.0
A020788,0.0002022,0,0.0002022,0,R_17,164.0
A020798,0.0002022,0,0.0002022,0,R_18,165.0
A020920,0.0002022,0,0.0002022,0,R_26,166.0
A020951,0.0,1,0.0002022,100.0,R_16,167.0
A020979,0.0002022,0,0.0002022,0,R_17,168.0
A021015,0.0002022,0,0.0002022,0,R_19,169.0
A021052,0.0,1,0.06695366700000001,100.0,R_16,170.0
A021081,0.0,1,0.0002022,100.0,R_24,171.0
A021148,0.0002022,0,0.0002022,0,R_26,172.0
A021156,0.0002022,0,0.0002022,0,R_26,173.0
A021191,0.0,1,0.41700000000000004,100.0,R_16,174.0
A021210,0.0,1,0.004603333,100.0,R_16,175.0
A021271,0.03066,0,0.030660000000000007,0,R_21,176.0
A021355,0.0,1,0.0002022,100.0,R_23,177.0
A021360,0.55,0,0.55,0,R_16_M,178.0
A021658,0.0002022,0,0.0002022,0,R_18,179.0
A021691,0.0,1,0.0002022,100.0,R_23,180.0
A021817,0.0002022,0,0.0002022,0,R_27,181.0
A021886,0.0002022,0,0.0002022,0,R_15_M,182.0
A021919,0.0002022,0,0.0002022,0,R_18,183.0
A021977,2.022e-05,0,2.022e-05,0,R_21,184.0
A022038,0.0,1,0.0002022,100.0,R_24,185.0
A022090,2.022e-05,0,2.022e-05,0,R_15,186.0
A022141,2.022e-05,0,2.022e-05,0,R_15,187.0
A022151,0.0,1,0.0002022,100.0,R_16,188.0
A022237,0.0002022,0,0.0002022,0,R_15,189.0
A022273,0.0002022,0,0.0002022,0,R_16_M,190.0
A022342,0.0,1,0.0002022,100.0,R_24,191.0
A022359,3.66667,0,3.666666667,0,R_15_M,192.0
A022431,0.0002022,0,0.0002022,0,R_27,193.0
A022496,2.022e-05,0,2.022e-05,0,R_14,194.0
A022498,0.0,1,0.0002022,100.0,R_23,195.0
A022523,0.3027,0,0.3027,0,R_21,196.0
A022583,0.0002022,0,0.0002022,0,R_25,197.0
A022661,0.0002022,0,0.0002022,0,R_14_M,198.0
A022667,0.0002022,0,0.0002022,0,R_25,199.0
A022745,0.0,1,0.0002022,100.0,R_23,200.0
A022767,0.0002022,0,0.0002022,0,R_24_M,201.0
A022807,0.0002022,0,0.0002022,0,R_14_M,202.0
A022919,0.0,1,0.0002022,100.0,R_24,203.0
A022929,0.0002022,0,0.0002022,0,R_14_M,204.0
A022962,0.414667,0,0.41466666700000004,0,R_22,206.0
A023027,0.0002022,0,0.0002022,0,R_27,207.0
A023058,0.0002022,0,0.0002022,0,R_27,208.0
A023067,7.25,0,7.25,0,R_14_M,209.0
A023077,0.0,1,0.0002022,100.0,R_16,210.0
A023094,0.0,1,0.0002022,100.0,R_16,211.0
A023144,0.09,0,0.09,0,R_27,212.0
A023165,0.0002022,0,0.0002022,0,R_16_M,213.0
A023173,0.0002022,0,0.0002022,0,R_14,214.0
A023328,0.0002022,0,0.0002022,0,R_27,215.0
A023540,0.0002022,0,0.0002022,0,R_16_M,216.0
A023766,0.0002022,0,0.0002022,0,R_16_M,217.0
A023915,0.0,1,0.0002022,100.0,R_24,218.0
A023998,0.0,1,0.0002022,100.0,R_23,234.0
A024004,0.0002022,0,0.0002022,0,R_27,219.0
A024223,0.0,1,0.0002022,100.0,R_16,220.0
A024247,0.0002022,0,0.0002022,0,R_27,221.0
A024271A,0.0002022,0,0.0002022,0,R_24_M,222.0
A024271B,0.0002022,0,0.0002022,0,R_24_M,223.0
A024300A,0.0002022,0,0.0002022,0,R_14,224.0
A024301,0.0,1,0.0002022,100.0,R_24,225.0
A024412,0.0002022,0,0.0002022,0,R_25,226.0
A024544,0.0,1,0.0002022,100.0,R_16,227.0
A024569,0.0,1,0.0002022,100.0,R_23,228.0
A024644,0.0,1,0.0002022,100.0,R_24,229.0
A024688A,0.0002022,0,0.0002022,0,R_16_M,231.0
A024688B,0.0002022,0,0.0002022,0,R_16_M,230.0
A024706,0.0,1,0.0002022,100.0,R_23,232.0
A024761,0.0002022,0,0.0002022,0,R_18,233.0
A024780,0.0002022,0,0.0002022,0,R_18,235.0
A024782,0.0,1,0.0002022,100.0,R_16,236.0
A024783,0.0,1,0.0002022,100.0,R_24,237.0
A024817,0.0002022,0,0.0002022,0,R_28,239.0
A024827,0.0002022,0,0.0002022,0,R_21,240.0
A024884,0.119687,0,0.11968663,0,R_20,241.0
A025065,0.0,1,0.0002022,100.0,R_23,242.0
A025125,0.0,1,2.022e-05,100.0,R_16,243.0
A025137,0.0002022,0,0.0002022,0,R_21,244.0
A025325,0.0002022,0,0.0002022,0,R_18,247.0
A025367,0.0002022,0,0.0002022,0,R_17,248.0
A025623,0.0002022,0,0.0002022,0,R_17,251.0
A025674,0.0002022,0,0.0002022,0,R_21,252.0
A025773,0.0,1,0.0002022,100.0,R_24,253.0
A025830,0.236626,0,0.23662566699999998,0,R_21,255.0
A025831,0.0002022,0,0.0002022,0,R_21,254.0
A025869,0.0,1,0.0002022,100.0,R_24,256.0
A025940,0.0,1,2.022e-05,100.0,R_24,257.0
A025964,0.0002022,0,0.0002022,0,R_14,258.0
A025998,1.05285,0,1.563333333,32.65351810930779,R_15,259.0
A026113,0.0002022,0,0.0002022,0,R_21,260.0
A026228,0.0002022,0,0.0002022,0,R_21,261.0
A026240,0.0,1,0.0002022,100.0,R_24,263.0
A026241,0.0,1,0.0002022,100.0,R_24,262.0
A026298A,0.067,0,0.067,0,R_17,265.0
A026298B,4.28933,0,4.289333333,0,R_18,264.0
A026440,0.0,1,0.0002022,100.0,R_16,267.0
A026442,0.0,1,0.0002022,100.0,R_16,266.0
A026503,0.0,1,0.0002022,100.0,R_23,268.0
A026561,0.0,1,0.0002022,100.0,R_16,269.0
A026624,0.0002022,0,0.0002022,0,R_22,270.0
A026740,0.0002022,0,0.0002022,0,R_27,271.0
A026975,0.0002022,0,0.0002022,0,R_27,272.0
A026993,0.0,1,0.0002022,100.0,R_23,273.0
A027022,0.0002022,0,0.0002022,0,R_26,274.0
A027031,0.0,1,0.0002022,100.0,R_16,275.0
A027046,0.0,1,0.0002022,100.0,R_24,276.0
A027081,0.0002022,0,0.0002022,0,R_21,277.0
A027143,0.0002022,0,0.0002022,0,R_28,278.0
A027158,0.0,1,0.0002022,100.0,R_24,279.0
A027249,0.0002022,0,0.0002022,0,R_21,280.0
A027424,0.0002022,0,0.0002022,0,R_27,281.0
A027702,0.0,1,0.0002022,100.0,R_16,282.0
A027757,0.0002022,0,0.0002022,0,R_17,283.0
A027953,0.0,1,0.0002022,100.0,R_15,285.0
A028365,0.0002022,0,0.0002022,0,R_19,286.0
A028370,0.0002022,0,0.0002022,0,R_27,284.0
A028386,0.0,1,2.022e-05,100.0,R_24,287.0
A028402,0.0,1,0.0002022,100.0,R_16,288.0
A028828,0.0002022,0,0.0002022,0,R_21,289.0
A028860,0.0002022,0,0.0002022,0,R_21,290.0
A028878,0.000685333,0,0.000685333,0,R_16_M,291.0
A029044,0.0,1,0.0002022,100.0,R_24,292.0
A029070,0.0,1,0.0002022,100.0,R_23,293.0
A029199,0.0,1,0.0002022,100.0,R_15,294.0
A029272,1.48023,0,1.480226667,0,R_21,295.0
A029277,0.0,1,0.0002022,100.0,R_23,296.0
A029332,0.0002022,0,0.0002022,0,R_26,298.0
A029333,1e-05,0,1e-05,0,R_18,297.0
A029502,0.0002022,0,0.0002022,0,R_18,300.0
A029515,0.0002022,0,0.0002022,0,R_27,301.0
A029538,0.0,1,0.0002022,100.0,R_16,303.0
A029562,0.0002022,0,0.0002022,0,R_14,299.0
A029610,0.0002022,0,0.0002022,0,R_18,304.0
A029628,0.0002022,0,0.0002022,0,R_14,305.0
A029671,0.0002022,0,0.0002022,0,R_17,306.0
A029772,0.0,1,0.0002022,100.0,R_23,307.0
A029802,0.0002022,0,0.0002022,0,R_24_M,308.0
A029848,0.0,1,0.0002022,100.0,R_23,310.0
A029849,0.0,1,0.0002022,100.0,R_23,309.0
A029850,0.0,1,0.0002022,100.0,R_23,311.0
A029858,0.0,1,0.0002022,100.0,R_24,312.0
A029986,0.0,1,0.0002022,100.0,R_16,316.0
A030124,0.0002022,0,0.0002022,0,R_27,319.0
A030125,0.0002022,0,0.0002022,0,R_27,320.0
A030173,0.0,1,0.0002022,100.0,R_16,321.0
A030186,0.484186,0,0.48418599999999995,0,R_21,318.0
A030797,0.0002022,0,0.0002022,0,R_22,327.0
A030882,0.0002022,0,0.0002022,0,R_18,325.0
A030933,0.0,1,0.0002022,100.0,R_16,329.0
A031304,0.0002022,0,0.0002022,0,R_22,333.0
A031362,0.0002022,0,0.0002022,0,R_22,336.0
A031363,0.0002022,0,0.0002022,0,R_14,335.0
A031501,0.0,1,0.0002022,100.0,R_24,337.0
A031567,0.754096,0,0.754096333,0,R_21,339.0
