BASIN,FLOWS_TO,2022-08
R_14,R_14_M,1.165137416887705
R_14_M,R_15_M,0.0
R_15,R_15_M,0.310076893203986
R_15_M,R_16_M,0.0
R_16,R_16_M,1.6161583524571395
R_16_M,R_17_M,0.0
R_17,R_17_M,0.7869375698737524
R_17_M,R_18_M,0.0
R_18,R_18_M,1.9426787172704276
R_18_M,R_19_M,0.0
R_19,R_19_M,0.7094183465727559
R_19_M,R_21_M,0.0
R_20,R_21_M,5.2783543865860345
R_21,R_21_M,3.2111750985594614
R_21_M,R_21_M,0.0
R_22,R_14_M,22.05304449544713
R_23,R_24_M,1.759451462195345
R_24,R_24_M,1.759451462195345
R_24_M,R_18_M,0.0
R_25,R_24_M,0.0
R_26,R_25,0.0
R_27,R_26,26.932057428664393
R_28,R_25,4.39275598705647
