USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
S000114,N,R_22,N,N,48.0,PRE-1914,0.22,0.16,0.22,0.22,0.13,0.08,0.09,0.09,0.08,0.11,0.17,0.18,N,N,N
S000115,N,R_22,N,N,49.0,PRE-1914,0.11,0.08,0.11,0.11,0.09,0.05,0.05,0.05,0.05,0.05,0.08,0.09,N,N,N
A019649,N,R_14,N,N,174.0,1960-1970,2.0,0.0002022,1.0,1.0,1.0,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5,N,N,N
A020129,N,R_14,N,N,186.0,1960-1970,1.15,1.76,0.6,0.3,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.6,0.58,N,N,Y
A022496,N,R_14,N,N,236.0,1960-1970,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A024300A,N,R_14,N,N,273.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,122.3,36.96,N,N,Y
A025964,N,R_14,N,N,328.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A029562,N,R_14,N,N,378.0,1971-1990,2.9,0.03,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,5.93,6.06,N,N,Y
A029628,N,R_14,N,N,383.0,1971-1990,0.0002022,0.0002022,120.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A031363,N,R_14,N,N,419.0,1991-PRESENT,6.43,2.63,0.13,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.36,3.73,N,N,Y
L031802,N,R_14,N,N,433.0,1991-PRESENT,0.43,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.43,0.6,N,N,Y
A016218,N,R_15,N,N,133.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017689,N,R_15,N,N,150.0,1957-1959,0.0002022,0.03,0.11,0.32,0.16,0.74,2.29,1.56,1.33,0.2,0.02,0.0002022,N,N,N
A018235,N,R_15,N,N,157.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A022090,N,R_15,N,N,227.0,1960-1970,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A022141,N,R_15,N,N,228.0,1960-1970,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A022237,N,R_15,N,N,230.0,1960-1970,0.01,0.009718000000000001,0.007160667,0.003069,0.001534333,0.000102333,5.1e-05,0.0002022,0.0002022,0.0002022,0.003069,0.0005114669999999999,N,N,N
A023173,N,R_14,N,N,257.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.16,0.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A025998,N,R_15,N,N,329.0,1971-1990,0.0002022,0.0002022,0.32,0.57,0.26,0.64,1.37,1.56,1.06,0.49,0.0002022,0.0002022,N,N,N
A027953,N,R_15,N,N,360.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.33,0.13,N,N,Y
A029199,N,R_15,N,N,369.0,1971-1990,18.1,5.9,7.4,0.06,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.13,2.23,11.66,N,N,Y
D029862,N,R_15,N,N,391.0,1971-1990,0.003333333,0.006666666999999999,0.003333333,0.006666666999999999,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.003333333,N,N,Y
D030095,N,R_15,N,N,396.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D031681,N,R_15,N,N,428.0,1991-PRESENT,1.33,2.0,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.33,N,N,Y
D031803,N,R_15,N,N,432.0,1991-PRESENT,0.63,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.8,0.8,N,N,Y
A004612,N,R_16,N,N,34.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.000666667,0.0007,0.0007,0.0007,0.0007,0.0007,0.000666667,0.0002022,0.0002022,N,N,N
A011327,N,R_16,N,N,44.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013359,N,R_16,N,N,70.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,4.76,4.73,15.83,6.13,6.73,2.73,0.0002022,0.0002022,0.0002022,N,N,N
A015299,N,R_16,N,N,117.0,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A015624,N,R_16,N,N,121.0,1953-1954,1.0,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.66,3.66,N,N,Y
A015947,N,R_16,N,N,130.0,1953-1954,10.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,10.0,20.0,N,N,Y
A017098,N,R_16,N,N,144.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017237,N,R_16,N,N,145.0,1955-1956,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.0,10.7,N,N,Y
A017263,N,R_16,N,N,146.0,1955-1956,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,N,N,N
A017479,N,R_16,N,N,148.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017833,N,R_16,N,N,152.0,1957-1959,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A018127,N,R_16,N,N,155.0,1957-1959,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A019089,N,R_16,N,N,165.0,1957-1959,5.76,0.16,0.0002022,0.06,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5,9.3,11.33,N,N,Y
A019241,N,R_16,N,N,166.0,1960-1970,3.0,2.5,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.5,N,N,Y
A019554,N,R_16,N,N,172.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A019720,N,R_16,N,N,176.0,1960-1970,0.19,0.08,0.08,0.03,0.05,0.0002022,0.0002022,0.0002022,0.0002022,0.06,0.1,0.19,N,N,N
A020005,N,R_16,N,N,180.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020015,N,R_16,N,N,181.0,1960-1970,0.33,0.46,0.23,0.26,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.83,2.4,0.9,N,N,Y
A020114,N,R_16,N,N,184.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020493,N,R_16,N,N,195.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020728,N,R_16,N,N,201.0,1960-1970,3.33,3.0,1.33,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,N,N,Y
A020733,N,R_16,N,N,202.0,1960-1970,5.33,2.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.33,4.33,N,N,Y
A020951,N,R_16,N,N,207.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A021052,N,R_16,N,N,210.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.16,0.36,0.33,0.06,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A021191,N,R_16,N,N,214.0,1960-1970,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41,N,N,N
A021210,N,R_16,N,N,215.0,1960-1970,0.004603,0.001534333,0.001534333,0.004603333,0.004603333,0.004603333,0.004603333,0.004603333,0.004603333,0.004603333,0.004603333,0.001534333,N,N,N
A022151,N,R_16,N,N,229.0,1960-1970,5.96,0.23,3.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.06,8.53,N,N,Y
A023077,N,R_16,N,N,252.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023094,N,R_16,N,N,253.0,1960-1970,2.0,2.0,2.0,1.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,N,N,Y
A024223,N,R_16,N,N,265.0,1971-1990,1.0,1.0,1.0,0.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024544,N,R_16,N,N,276.0,1971-1990,8.96,0.33,0.46,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.2,2.73,N,N,Y
A024782,N,R_16,N,N,287.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A025125,N,R_16,N,N,308.0,1971-1990,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A026440,N,R_16,N,N,337.0,1971-1990,6.3,1.03,1.0,0.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.9,3.06,N,N,Y
A026442,N,R_16,N,N,338.0,1971-1990,184.7,32.13,16.0,11.7,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,7.36,33.43,N,N,Y
A026561,N,R_16,N,N,340.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A027031,N,R_16,N,N,346.0,1971-1990,3.35,3.35,3.35,3.35,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A027702,N,R_16,N,N,357.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.66,0.53,N,N,N
A028402,N,R_16,N,N,363.0,1971-1990,0.1,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.1,0.23,N,N,Y
A029538,N,R_16,N,N,381.0,1971-1990,0.1,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.6,1.76,N,N,Y
A029986,N,R_16,N,N,395.0,1991-PRESENT,5.33,3.66,4.33,1.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.33,N,N,Y
A030173,N,R_16,N,N,400.0,1991-PRESENT,0.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.86,2.86,N,N,Y
A030933,N,R_16,N,N,410.0,1991-PRESENT,4.96,4.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.06,1.0,N,N,Y
C003981,N,R_16,N,N,394.0,1991-PRESENT,3.0,1.66,1.66,1.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,N,N,Y
D029507,N,R_16,N,N,380.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D029831,N,R_16,N,N,413.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.73,N,N,Y
D030758,N,R_16,N,N,409.0,1991-PRESENT,0.3,0.2,0.04,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.02,0.1,0.15,N,N,Y
D031267,N,R_16,N,N,415.0,1991-PRESENT,0.43,0.43,0.43,0.43,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.43,0.43,0.43,N,N,Y
D031569,N,R_16,N,N,423.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D032058,N,R_16,N,N,434.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D032534,N,R_16,N,N,445.0,1991-PRESENT,0.01,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.01,0.01,0.01,N,N,N
D032725,N,R_16,N,N,449.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
L032735,N,R_16,N,N,450.0,1991-PRESENT,7.8,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S009040,N,R_16,N,N,25.0,PRE-1914,0.13,0.13,0.13,0.13,0.13,0.16,0.16,0.16,0.16,0.16,0.13,0.13,N,N,N
S009045,N,R_16,N,N,7.0,PRE-1914,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S027251,N,R_16,N,N,26.0,PRE-1914,0.2,0.2,0.2,0.2,0.27,0.5,0.5,0.5,0.5,0.5,0.5,0.5,N,N,N
S027799,N,R_16,N,N,24.0,PRE-1914,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,N,N,N
A014513,N,R_17,N,N,105.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,1.0,1.33,N,N,Y
A015237,N,R_17,N,N,116.0,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.0,4.0,N,N,Y
A020264,N,R_17,N,N,190.0,1960-1970,3.83,1.0,1.0,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.06,3.6,N,N,Y
A020557,N,R_17,N,N,196.0,1960-1970,12.9,2.63,1.66,0.4,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.03,4.73,N,N,Y
A020769,N,R_17,N,N,203.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020788,N,R_17,N,N,204.0,1960-1970,5.5,0.0002022,1.7,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.66,3.7,N,N,Y
A020979,N,R_17,N,N,208.0,1960-1970,0.22,0.08,0.05,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.23,0.51,N,N,Y
A025367,N,R_17,N,N,315.0,1971-1990,1.51,1.67,1.0,0.49,0.25,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.35,0.41,N,N,N
A025623,N,R_17,N,N,320.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.66,2.0,1.33,N,N,Y
A026298A,N,R_17,N,N,335.0,1971-1990,0.01,0.02,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.29,10.36,2.74,N,N,N
A027757,N,R_17,N,N,358.0,1971-1990,2.06,0.76,0.46,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.23,4.9,N,N,Y
A029671,N,R_17,N,N,384.0,1971-1990,0.66,0.24,0.15,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.7,1.56,N,N,Y
C003979,N,R_17,N,N,392.0,1991-PRESENT,1.0,1.0,0.66,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,N,N,Y
A010915,N,R_18,N,N,41.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A011315,N,R_18,N,N,43.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.07,0.2,0.24,0.47,0.11,0.03,0.0002022,0.0002022,N,N,N
A012330,N,R_18,N,N,47.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A012877,N,R_18,N,N,52.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A018522,N,R_18,N,N,159.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020798,N,R_18,N,N,205.0,1960-1970,1.66,1.66,1.0,0.33,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.33,1.0,1.33,N,N,N
A021658,N,R_18,N,N,219.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A021919,N,R_18,N,N,224.0,1960-1970,0.0002022,0.0002022,2.0,4.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024761,N,R_18,N,N,282.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024780,N,R_18,N,N,286.0,1971-1990,1.5,1.5,1.23,0.26,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A025325,N,R_18,N,N,313.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A026298B,N,R_18,N,N,336.0,1971-1990,0.0002022,0.0002022,0.0002022,0.5,1.75,3.37,6.42,4.28,2.77,1.01,0.0002022,0.0002022,N,N,N
A029333,N,R_18,N,N,373.0,1971-1990,0.0002022,0.0002022,0.00388081,0.0002022,0.0002022,1.67e-05,0.16,1e-05,2.6700000000000002e-05,0.0002022,0.0002022,0.0002022,N,N,N
A029502,N,R_18,N,N,377.0,1971-1990,1.0,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5,0.5,N,N,Y
A029610,N,R_18,N,N,382.0,1971-1990,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.5,N,N,Y
A030882,N,R_18,N,N,406.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D030353,N,R_18,N,N,402.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D031555,N,R_18,N,N,421.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
D031651,N,R_18,N,N,426.0,1991-PRESENT,0.21,0.21,0.21,0.21,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.21,0.21,N,N,Y
D032275,N,R_18,N,N,440.0,1991-PRESENT,1.83,1.7,1.96,0.86,0.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.53,1.03,N,N,N
