USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
S000652,Y,R_14,N,N,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,6e-06,1.2e-05,1.2e-05,1.2e-05,1.2e-05,6e-06,0.0002022,0.0002022,N,N,N
S016892,Y,R_14,N,N,10000000.0,RIPARIAN,3.43,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.1,3.03,N,N,Y
S019926,Y,R_15,N,N,10000000.0,RIPARIAN,5.25,0.55,3.21,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,5.2,12.34,N,N,Y
S009168,Y,R_16,N,N,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S013563,Y,R_16,N,N,10000000.0,RIPARIAN,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,N,N,N
S013709,Y,R_16,N,N,10000000.0,RIPARIAN,0.008502333,0.0068793330000000005,0.006263,0.007540666999999999,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.007531,N,N,N
S013760,Y,R_16,N,N,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0016666670000000001,0.002,0.0020666670000000003,0.002333333,0.002666667,0.0016666670000000001,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
S013814,Y,R_16,N,N,10000000.0,RIPARIAN,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,N,N,N
S014058,Y,R_16,N,N,10000000.0,RIPARIAN,0.0002022,0.0002022,0.06,0.2,0.0002022,0.76,0.86,1.36,1.63,0.63,0.0002022,0.0002022,N,N,N
S015916,Y,R_16,N,N,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.16,0.26,0.43,0.45,0.0002022,0.0002022,0.0002022,N,N,N
