BASIN,2022-07_ALLOCATIONS,2022-07_DEMAND,2022-07_FLOW,2022-07_PROPORTIONS
R_14,0.0,0.0,10.002272495511543,0
R_14_M,15.3502022,15.3502022,0.0,1
R_15,0.0,0.0,2.4186286034344304,0
R_15_M,29.32163782,29.32163782,0.0,1
R_16,0.0,0.0,13.313759321709151,0
R_16_M,30.9624264,30.9624264,0.0,1
R_17,0.0,0.0,6.860315711610744,0
R_17_M,60.226568533000005,60.226568533000005,0.0,1
R_18,0.0,0.0,17.14513827761696,0
R_18_M,5.752801978000001,5.752801978000001,0.0,1
R_19,0.0,0.0,5.651001409893528,0
R_19_M,2.0202022,2.0202022,0.0,1
R_20,0.0,0.0,61.57331136219989,0
R_21,0.0,0.0,30.085931506273145,0
R_21_M,0.006178693000000001,0.006178693000000001,0.0,1
R_22,0.0,0.0,140.31436500765628,0
R_23,0.0,0.0,12.059237008712788,0
R_24,0.0,0.0,25.361694327602148,0
R_24_M,13.07874502,13.07874502,0.0,1
R_25,0.0,0.0,0.0,0
R_26,0.0,0.0,0.0,0
R_27,0.0,0.0,158.9965756687643,0
R_28,0.0,0.0,32.10899001101503,0
