USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
A001205,0.0002022,0,0.00020219999999999998,0,R_24_M,32.0
A003633,0.0002022,0,0.00020219999999999998,0,R_17_M,33.0
A010795,43.06,0,43.06,0,R_18_M,40.0
A010976,0.0002022,0,0.00020219999999999998,0,R_18_M,42.0
A012452,0.1,0,0.1,0,R_18_M,48.0
A013062,0.0002022,0,0.00020219999999999998,0,R_17_M,53.0
A013076,2.06,0,2.06,0,R_18_M,54.0
A013097,0.0002022,0,0.00020219999999999998,0,R_17_M,55.0
A013098,3.5,0,3.5,0,R_17_M,56.0
A013105,0.0002022,0,0.00020219999999999998,0,R_18_M,57.0
A013135,0.5,0,0.5,0,R_17_M,58.0
A013151,0.0002022,0,0.00020219999999999998,0,R_17_M,59.0
A013163,0.0002022,0,0.00020219999999999998,0,R_24_M,60.0
A013261,0.2,0,0.2,0,R_18_M,63.0
A013267,10.43,0,10.43,0,R_17_M,64.0
A013268,0.0002022,0,0.00020219999999999998,0,R_17_M,65.0
A013269,0.0002022,0,0.00020219999999999998,0,R_24_M,66.0
A013317,13.0,0,13.0,0,R_21_M,68.0
A013376,0.0002022,0,0.00020219999999999998,0,R_24_M,71.0
A013384,4.21,0,4.21,0,R_18_M,72.0
A013393,17.16,0,17.16,0,R_24_M,73.0
A013453,10.63,0,10.63,0,R_17_M,74.0
A013639,2.56,0,2.56,0,R_16_M,78.0
A013684A,0.0002022,0,0.00020219999999999998,0,R_18_M,80.0
A013684B,0.87,0,0.87,0,R_17_M,79.0
A013890,0.0002022,0,0.00020219999999999998,0,R_16_M,81.0
A013914,0.0002022,0,0.00020219999999999998,0,R_15_M,82.0
A013988,0.34,0,0.34,0,R_15_M,85.0
A014043,25.0,0,25.0,0,R_14_M,86.0
A014050A,0.0002022,0,0.00020219999999999998,0,R_17_M,91.0
A014050B,0.03,0,0.03,0,R_17_M,87.0
A014054,1.58,0,1.58,0,R_15_M,88.0
A014055,3.33,0,3.33,0,R_15_M,89.0
A014056,0.0002022,0,0.00020219999999999998,0,R_15_M,90.0
A014061,3.05,0,3.05,0,R_17_M,92.0
A014064,4.16,0,4.16,0,R_15_M,93.0
A014066,2.22,0,2.22,0,R_15_M,94.0
A014067,5.04,0,5.04,0,R_15_M,95.0
A014068,33.33,0,33.33,0,R_16_M,96.0
A014136,1.82,0,1.82,0,R_14_M,99.0
A014178,0.0002022,0,0.00020219999999999998,0,R_18_M,100.0
A014208,0.0002022,0,0.00020219999999999998,0,R_17_M,101.0
A014333,16.16,0,16.16,0,R_17_M,102.0
A014379,0.0002022,0,0.00020219999999999998,0,R_24_M,104.0
A014604,0.03,0,0.03,0,R_18_M,106.0
A014747,2.56,0,2.56,0,R_17_M,107.0
A014762,0.0002022,0,0.00020219999999999998,0,R_17_M,108.0
A014925,5.2,0,5.2,0,R_17_M,112.0
A014942,0.0002022,0,0.00020219999999999998,0,R_17_M,113.0
A015348,3.26,0,3.26,0,R_15_M,118.0
A015720,0.0002022,0,0.00020219999999999998,0,R_24_M,123.0
A015724,0.1,0,0.1,0,R_24_M,124.0
A015736,0.0,1,820.0,100.0,R_18_M,9999.0
A015737,593.342,0,856.0,30.684345794392527,R_18_M,9998.0
A015759,1.23,0,1.23,0,R_16_M,127.0
A015760,1.31,0,1.31,0,R_16_M,128.0
A016440,0.0002022,0,0.00020219999999999998,0,R_17_M,134.0
A016457,0.0002022,0,0.00020219999999999998,0,R_17_M,135.0
A016524,2.65,0,2.65,0,R_15_M,137.0
A016777,0.08,0,0.08,0,R_15_M,140.0
A017056,3.52,0,3.52,0,R_15_M,142.0
A017081,0.1,0,0.1,0,R_24_M,143.0
A017551,0.0002022,0,0.00020219999999999998,0,R_16_M,149.0
A019351,0.0,1,85.0,100.0,R_14_M,10000.0
A019470,0.32,0,0.32,0,R_21_M,170.0
A020573,0.0002022,0,0.00020219999999999998,0,R_15_M,197.0
A020583,0.0002022,0,0.00020219999999999998,0,R_16_M,198.0
A021360,0.81,0,0.81,0,R_16_M,218.0
A021660,3.48,0,3.48,0,R_17_M,220.0
A021886,0.0002022,0,0.00020219999999999998,0,R_15_M,223.0
A022038,0.0002022,0,0.00020219999999999998,0,R_24_M,226.0
A022273,0.0002022,0,0.00020219999999999998,0,R_16_M,231.0
A022348,0.0002022,0,0.00020219999999999998,0,R_21_M,233.0
A022359,3.66,0,3.66,0,R_15_M,234.0
A022608,0.0002022,0,0.00020219999999999998,0,R_17_M,255.0
A022661,0.0002022,0,0.00020219999999999998,0,R_14_M,240.0
A022767,0.0002022,0,0.00020219999999999998,0,R_24_M,243.0
A022807,0.0002022,0,0.00020219999999999998,0,R_14_M,244.0
A022929,1.53e-05,0,1.53e-05,0,R_14_M,246.0
