USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
A019649,0.0002022,0,0.00020219999999999998,0,R_14,174.0
A020129,0.0002022,0,0.00020219999999999998,0,R_14,186.0
A022496,2.022e-05,0,2.022e-05,0,R_14,236.0
A023173,0.16,0,0.16,0,R_14,257.0
A024300A,0.0002022,0,0.00020219999999999998,0,R_14,273.0
A025964,0.0002022,0,0.00020219999999999998,0,R_14,328.0
A029562,0.0002022,0,0.00020219999999999998,0,R_14,378.0
A029628,0.0002022,0,0.00020219999999999998,0,R_14,383.0
A031363,0.0002022,0,0.00020219999999999998,0,R_14,419.0
L031802,0.0002022,0,0.00020219999999999998,0,R_14,433.0
A014043,25.0,0,25.0,0,R_14_M,86.0
A014136,1.82,0,1.82,0,R_14_M,99.0
A019351,0.0,1,85.0,100.0,R_14_M,10000.0
A022661,0.0,1,0.00020219999999999998,100.0,R_14_M,240.0
A022807,0.0,1,0.00020219999999999998,100.0,R_14_M,244.0
A022929,0.0,1,1.53e-05,100.0,R_14_M,246.0
A023067,0.0,1,7.25,100.0,R_14_M,251.0
A016218,0.0002022,0,0.00020219999999999998,0,R_15,133.0
A017689,2.29,0,2.29,0,R_15,150.0
A018235,0.0002022,0,0.00020219999999999998,0,R_15,157.0
A022090,2.022e-05,0,2.022e-05,0,R_15,227.0
A022141,2.022e-05,0,2.022e-05,0,R_15,228.0
A022237,5.1e-05,0,5.1e-05,0,R_15,230.0
A025998,1.37,0,1.37,0,R_15,329.0
A027953,0.0002022,0,0.00020219999999999998,0,R_15,360.0
A029199,0.0002022,0,0.00020219999999999998,0,R_15,369.0
D029862,0.0002022,0,0.00020219999999999998,0,R_15,391.0
D030095,0.0002022,0,0.00020219999999999998,0,R_15,396.0
D031681,0.0002022,0,0.00020219999999999998,0,R_15,428.0
D031803,0.0002022,0,0.00020219999999999998,0,R_15,432.0
A013914,0.0002022,0,0.00020219999999999998,0,R_15_M,82.0
A013988,0.34,0,0.34,0,R_15_M,85.0
A014054,1.58,0,1.58,0,R_15_M,88.0
A014055,3.33,0,3.33,0,R_15_M,89.0
A014056,0.0002022,0,0.00020219999999999998,0,R_15_M,90.0
A014064,4.16,0,4.16,0,R_15_M,93.0
A014066,2.22,0,2.22,0,R_15_M,94.0
A014067,5.04,0,5.04,0,R_15_M,95.0
A015348,3.26,0,3.26,0,R_15_M,118.0
A016524,2.65,0,2.65,0,R_15_M,137.0
A016777,0.08,0,0.08,0,R_15_M,140.0
A017056,1.17415,0,3.52,66.6434659090909,R_15_M,142.0
