BASIN,FLOWS_TO,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
R_14,R_14_M,4070.71515,810.2078256,361.1105482,426.2675377,90.9222648,116.4693584,17.5537095,9.8181765,6.8033021,5.3950384
R_14_M,R_15_M,0,0,0,0,0,0,0,0,0,0
R_15,R_15_M,1321.447218,276.9320814,103.1801094,99.4908552,17.2165196,26.1024652,4.2446258,2.6181804,1.8446271,1.5669413
R_15_M,R_16_M,0,0,0,0,0,0,0,0,0,0
R_16,R_16_M,5352.691316,988.3432663,429.3419162,528.7534326,94.6710231,165.2032163,23.3652766,13.6462736,9.8578459,7.9735494
R_16_M,R_17_M,0,0,0,0,0,0,0,0,0,0
R_17,R_17_M,2221.506235,465.7782601,246.8230068,338.7965107,59.1867448,81.0247495,12.0396629,6.6446245,4.5818157,3.6099154
R_17_M,R_18_M,0,0,0,0,0,0,0,0,0,0
R_18,R_18_M,9470.275862,1823.919673,700.9384633,972.4556716,172.8792452,218.776741,30.0892399,16.3437928,11.305779,8.9454497
R_18_M,R_19_M,0,0,0,0,0,0,0,0,0,0
R_19,R_19_M,2271.807034,324.9915595,158.5387571,356.2907161,51.8875752,66.9817819,9.91735,5.7322283,4.0462788,3.2727255
R_19_M,R_21_M,0,0,0,0,0,0,0,0,0,0
R_20,R_21_M,10862.03709,1787.919693,2603.106028,5515.0185,1920.613836,748.164884,108.0594456,43.9338605,25.586763,18.4264363
R_21,R_21_M,11615.06148,2121.856702,860.627633,1731.331294,422.0427466,363.3121999,52.7999714,25.6859365,16.859495,13.0313979
R_21_M,R_21_M,0,0,0,0,0,0,0,0,0,0
R_22,R_14_M,17228.42042,3290.993259,1683.866857,2247.251675,771.2921442,678.5649217,246.2478005,185.652792,139.636288,107.4247352
R_23,R_24_M,1673.790829,252.1982105,491.6427089,1017.956473,102.4263908,149.1767787,21.1636249,15.1338761,19.8148653,48.1586516
R_24,R_24_M,5812.57867,789.4408947,792.3764303,1455.985988,310.3138815,186.3668412,44.5090668,15.2330496,18.8826344,155.3850398
R_24_M,R_18_M,0,0,0,0,0,0,0,0,0,0
R_25,R_24_M,1090.531641,332.8857701,504.6741068,1074.525038,131.3850528,55.7751764,0,0,0,0
R_26,R_25,920.7862781,268.0064664,607.933555,1367.58273,131.4643916,234.0891294,0,0,0,0
R_27,R_26,4914.165933,745.8045547,1141.367977,2456.626769,571.3186988,979.83418,279.0345596,231.1535938,220.0461618,465.1832191
R_28,R_25,3106.510714,485.1369273,1035.728365,2358.04831,265.5469636,588.8327389,56.3503827,38.1222934,49.4677418,103.3586217
