USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A014043,N,R_14_M,Y,N,86.0,1950-1952,0.0002022,0.0002022,0.0002022,6.0,12.0,25.0,25.0,12.0,12.0,6.0,0.0002022,0.0002022,N,N,N
A014136,N,R_14_M,Y,N,99.0,1950-1952,0.0002022,0.0002022,0.05,0.27,0.12,0.54,1.82,1.88,1.18,0.05,0.004092,0.0002022,N,N,N
A019351,N,R_14_M,Y,N,10000.0,1960-1970,20872.66,3561.0,5227.66,4149.0,105.33,0.0002022,85.0,0.0002022,0.0002022,0.0002022,8.0,5651.0,N,N,N
A022661,N,R_14_M,Y,N,240.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A022807,N,R_14_M,Y,N,244.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A022929,N,R_14_M,Y,N,246.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.003687667,1.53e-05,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023067,N,R_14_M,Y,N,251.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,3.5,7.25,7.25,7.25,3.5,1.7,0.0002022,0.0002022,N,N,N
A013914,N,R_15_M,Y,N,82.0,1950-1952,0.0002022,0.0002022,0.23,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A013988,N,R_15_M,Y,N,85.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.34,0.35,0.24,0.0002022,0.0002022,0.0002022,N,N,N
A014054,N,R_15_M,Y,N,88.0,1950-1952,0.0002022,0.03,0.08,0.15,0.17,0.69,1.58,1.09,0.18,0.18,0.01,0.0002022,N,N,N
A014055,N,R_15_M,Y,N,89.0,1950-1952,0.0002022,0.0002022,0.0002022,4.0,5.0,5.33,3.33,5.66,5.0,5.33,2.66,0.0002022,N,N,N
A014056,N,R_15_M,Y,N,90.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014064,N,R_15_M,Y,N,93.0,1950-1952,0.0002022,0.0002022,1.0,1.33,1.83,3.66,4.16,4.33,3.31,2.35,0.0002022,0.0002022,N,N,N
A014066,N,R_15_M,Y,N,94.0,1950-1952,0.0002022,0.0002022,0.0002022,0.51,0.89,1.19,2.22,3.22,3.98,2.23,0.36,0.19,N,N,N
A014067,N,R_15_M,Y,N,95.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.02,2.89,5.04,5.37,5.61,3.95,0.0002022,0.0002022,N,N,N
A015348,N,R_15_M,Y,N,118.0,1953-1954,0.0002022,0.0002022,0.66,0.83,1.66,3.1,3.26,3.16,2.5,2.0,0.0002022,0.0002022,N,N,N
A016524,N,R_15_M,Y,N,137.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.63,2.65,3.58,2.73,2.52,0.93,0.0002022,N,N,N
A016777,N,R_15_M,Y,N,140.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.06,0.08,0.08,0.05,0.06,0.03,0.0002022,0.0002022,N,N,N
A017056,N,R_15_M,Y,N,142.0,1955-1956,0.0002022,0.0002022,0.0002022,0.006666666999999999,1.08,2.04,3.52,3.03,3.42,0.47,0.0002022,0.0002022,N,N,N
A020573,N,R_15_M,Y,N,197.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.66,5.0,5.0,N,N,Y
A021886,N,R_15_M,Y,N,223.0,1960-1970,0.28,0.33,0.21,0.07,0.08,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.15,0.25,N,N,N
A022359,N,R_15_M,Y,N,234.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.66,3.66,3.66,3.0,1.66,0.0002022,0.0002022,N,N,N
S004345,N,R_15_M,Y,N,1.0,PRE-1914,0.0002022,0.0002022,0.0002022,0.0002022,0.44,1.33,1.33,1.33,2.66,1.33,0.44,0.0002022,N,N,N
A013890,N,R_16_M,Y,N,81.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014068,N,R_16_M,Y,N,96.0,1950-1952,0.0002022,0.0002022,0.0002022,10.88,41.16,34.26,33.33,25.45,31.84,25.34,16.52,0.0002022,N,N,N
A013639,N,R_16_M,Y,N,78.0,1950-1952,0.0002022,0.0002022,0.0002022,0.57,1.58,3.06,2.56,2.09,1.07,0.29,0.0002022,0.0002022,N,N,N
A015759,N,R_16_M,Y,N,127.0,1953-1954,0.0002022,0.12,0.003046,0.15,0.33,0.3,1.23,2.15,2.05,0.03,0.000261,0.0002022,N,N,N
A015760,N,R_16_M,Y,N,128.0,1953-1954,0.0002022,0.005333333000000001,0.0002022,0.0002022,0.43,0.75,1.31,1.77,2.02,0.12,0.0002022,0.0002022,N,N,N
A017551,N,R_16_M,Y,N,149.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020583,N,R_16_M,Y,N,198.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,1.33,N,N,Y
A021360,N,R_16_M,Y,N,218.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.28,0.67,0.81,0.55,0.29,0.0002022,0.0002022,0.0002022,N,N,N
A022273,N,R_16_M,Y,N,231.0,1960-1970,3.16,2.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,2.33,N,N,Y
A023165,N,R_16_M,Y,N,256.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023540,N,R_16_M,Y,N,259.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023766,N,R_16_M,Y,N,262.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024688A,N,R_16_M,Y,N,279.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024688B,N,R_16_M,Y,N,280.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A028878,N,R_16_M,Y,N,366.0,1971-1990,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333,N,N,N
A003633,N,R_17_M,Y,N,33.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013062,N,R_17_M,Y,N,53.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013097,N,R_17_M,Y,N,55.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013098,N,R_17_M,Y,N,56.0,PRE-1949+1949,0.0002022,0.0002022,0.006666666999999999,0.01,0.66,1.85,3.5,3.33,2.73,3.91,0.0002022,0.0002022,N,N,N
A013135,N,R_17_M,Y,N,58.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.02,0.26,0.5,0.52,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013151,N,R_17_M,Y,N,59.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013267,N,R_17_M,Y,N,64.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,1.4,4.76,10.43,14.1,5.63,0.96,0.0002022,0.0002022,N,N,N
A013268,N,R_17_M,Y,N,65.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013453,N,R_17_M,Y,N,74.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,3.66,7.86,10.63,10.7,10.7,2.36,3.0,0.0002022,N,N,N
A013684B,N,R_17_M,Y,N,79.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.16,0.46,0.87,0.86,0.59,0.26,0.0002022,0.0002022,N,N,N
A014050A,N,R_17_M,Y,N,91.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014050B,N,R_17_M,Y,N,87.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.03,0.03,0.03,0.03,0.03,0.0002022,0.0002022,N,N,N
A014061,N,R_17_M,Y,N,92.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.41,1.17,3.05,2.8,1.19,0.45,0.07,0.0002022,N,N,N
A014208,N,R_17_M,Y,N,101.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014333,N,R_17_M,Y,N,102.0,1950-1952,0.0002022,0.0002022,0.0002022,0.63,0.0002022,4.56,16.16,25.0,3.63,0.0002022,0.0002022,0.0002022,N,N,N
A014747,N,R_17_M,Y,N,107.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,2.33,0.86,2.56,0.66,0.5,0.1,0.0002022,0.0002022,N,N,N
A014762,N,R_17_M,Y,N,108.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014925,N,R_17_M,Y,N,112.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.33,4.8,5.2,4.56,1.33,0.13,0.0002022,0.0002022,N,N,N
A014942,N,R_17_M,Y,N,113.0,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A016440,N,R_17_M,Y,N,134.0,1955-1956,0.0002022,0.0002022,2.0,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A016457,N,R_17_M,Y,N,135.0,1955-1956,0.0002022,0.3,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.89,0.34,0.0002022,N,N,Y
A021660,N,R_17_M,Y,N,220.0,1960-1970,0.0002022,0.0002022,0.006666666999999999,0.003333333,0.14,1.33,3.48,2.38,1.38,1.47,0.27,0.0002022,N,N,N
A022608,N,R_17_M,Y,N,255.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023639,N,R_17_M,Y,N,260.0,1960-1970,0.0002022,0.0002022,0.0002022,0.83,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
