BASIN,FLOWS_TO,2022-07
R_14,R_14_M,10.002272495511544
R_14_M,R_15_M,0.0
R_15,R_15_M,2.4186286034344304
R_15_M,R_16_M,0.0
R_16,R_16_M,13.313759321709153
R_16_M,R_17_M,0.0
R_17,R_17_M,6.860315711610744
R_17_M,R_18_M,0.0
R_18,R_18_M,17.14513827761696
R_18_M,R_19_M,0.0
R_19,R_19_M,5.651001409893529
R_19_M,R_21_M,0.0
R_20,R_21_M,61.57331136219989
R_21,R_21_M,30.085931506273145
R_21_M,R_21_M,0.0
R_22,R_14_M,140.31436500765628
R_23,R_24_M,12.059237008712788
R_24,R_24_M,25.36169432760215
R_24_M,R_18_M,0.0
R_25,R_24_M,0.0
R_26,R_25,0.0
R_27,R_26,158.9965756687643
R_28,R_25,32.10899001101503
