BASIN,R_01,R_02,R_02_M,R_03,R_03_M,R_04,R_04_M,R_05,R_05_M,R_06,R_06_M,R_07,R_08,R_09,R_09_M,R_10,R_10_M,R_11,R_12,R_12_M,R_13,R_13_M
R_01,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_02,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_02_M,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_03,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_03_M,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_04,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_04_M,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_05,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_05_M,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_06,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
R_06_M,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
R_07,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
R_08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
R_09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
R_09_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
R_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
R_10_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
R_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
R_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
R_12_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
R_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R_13_M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
