USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
A001983,2.022e-05,0,2.022e-05,0,R_04_M,21.0
A002928,0.0002022,0,0.0002022,0,R_13_M,22.0
A003421,0.0002022,0,0.0002022,0,R_04_M,23.0
A003565,3.60833,0,3.608333333,0,R_06_M,24.0
A003601,2.26333,0,2.2633333330000003,0,R_04_M,25.0
A004308,2.16,0,2.16,0,R_05_M,26.0
A004832,10.4667,0,10.46666667,0,R_04_M,27.0
A006854,0.0002022,0,0.0002022,0,R_05_M,28.0
A006855,3.15333,0,3.153333333,0,R_05_M,29.0
A008974,0.0002022,0,0.0002022,0,R_09_M,30.0
A011383,19.4533,0,19.45333333,0,R_02_M,31.0
A011846,4.33333,0,4.333333333,0,R_09_M,32.0
A012919A,0.0,1,0.0002022,100.0,R_03_M,10000.0
A012919B,24.7481,0,1228.916667,97.98618566542721,R_03_M,33.0
A012958,0.0,1,43.33,100.0,R_04_M,35.0
A013030A,0.0,1,0.0002022,100.0,R_06_M,36.0
A013030B,0.0,1,27.20333333,100.0,R_06_M,37.0
A013126A,0.0,1,1.956666667,100.0,R_10_M,39.0
A013126B,0.0,1,2.0,100.0,R_10_M,38.0
A013182A01,0.0,1,3.0,100.0,R_12_M,40.0
A013182A02,0.0,1,1.4,100.0,R_12_M,41.0
A013182B,0.0,1,6.0,100.0,R_12_M,42.0
A013217,0.0,1,89.86,100.0,R_12_M,43.0
A013270,0.0,1,8.316666667,100.0,R_04_M,44.0
A013277,0.0,1,3.266666667,100.0,R_09_M,45.0
A013281A01,0.0,1,17.68,100.0,R_12_M,260.0
A013281A02,0.0,1,13.64,100.0,R_12_M,261.0
A013281A03,0.0,1,3.566666667,100.0,R_12_M,259.0
A013281B,0.0,1,0.0002022,100.0,R_12_M,46.0
A013287,0.0,1,2.866666667,100.0,R_04_M,49.0
A013288,0.0,1,7.733333332999999,100.0,R_04_M,47.0
A013289,0.0,1,1.4,100.0,R_09_M,48.0
A013331,0.0,1,1.76292421,100.0,R_12_M,50.0
A013391,0.0,1,0.0002022,100.0,R_12_M,51.0
A013468,0.0,1,0.491022,100.0,R_12_M,52.0
A013474,0.0,1,6.55,100.0,R_10_M,53.0
A013528,0.0,1,3.69,100.0,R_05_M,55.0
A013529,0.0,1,1.036666667,100.0,R_02_M,54.0
A013557,0.0,1,0.0002022,100.0,R_02_M,56.0
A013579,0.0,1,0.883839667,100.0,R_12_M,57.0
A013661,0.0,1,27.79666667,100.0,R_06_M,58.0
A013706,0.0,1,1.534666667,100.0,R_02_M,59.0
A013749,0.0,1,0.0002022,100.0,R_06_M,60.0
A013753,0.0,1,0.005566666999999999,100.0,R_06_M,62.0
A013755,0.0,1,5.52,100.0,R_06_M,61.0
A013758,0.0,1,5.3,100.0,R_09_M,63.0
A013789,0.0,1,0.0002022,100.0,R_10_M,64.0
A013810,0.0,1,2.313333333,100.0,R_09_M,65.0
A013811,0.0,1,3.833333333,100.0,R_09_M,66.0
A013831,0.0,1,1.466666667,100.0,R_10_M,67.0
A013832,0.0,1,1.173333333,100.0,R_10_M,68.0
A013862,0.0,1,1.104798333,100.0,R_09_M,70.0
A013863,0.0,1,0.0002022,100.0,R_09_M,69.0
A013864,0.0,1,0.0002022,100.0,R_09_M,71.0
A013874,0.0,1,8.916049333,100.0,R_12_M,72.0
A013932,0.0,1,1.8666666669999998,100.0,R_09_M,73.0
A013933,0.0,1,0.0002022,100.0,R_10_M,74.0
A013973,0.0,1,0.7584873329999999,100.0,R_04_M,75.0
A013974,0.0,1,0.0002022,100.0,R_04_M,76.0
A013984,0.0,1,4.856666667,100.0,R_10_M,80.0
A013985,0.0,1,1.166666667,100.0,R_10_M,78.0
A013987,0.0,1,0.0002022,100.0,R_09_M,77.0
A013989,0.0,1,0.485361,100.0,R_12_M,79.0
A014030,0.0,1,2.5,100.0,R_10_M,81.0
A014033,0.0,1,10.16666667,100.0,R_10_M,83.0
A014034,0.0,1,6.966666667,100.0,R_10_M,82.0
A014044A,0.0,1,5.366666667,100.0,R_10_M,84.0
A014044B,0.0,1,2.666666667,100.0,R_10_M,85.0
A014045,0.0,1,0.0002022,100.0,R_09_M,86.0
A014047,0.0,1,0.016056,100.0,R_12_M,88.0
A014048,0.0,1,8.57,100.0,R_10_M,89.0
A014049,0.0,1,14.48,100.0,R_10_M,87.0
A014051,0.0,1,7.543112,100.0,R_10_M,90.0
A014065,0.0,1,0.0002022,100.0,R_10_M,91.0
A014144,0.0,1,0.0002022,100.0,R_09_M,92.0
A014160,0.0,1,0.0002022,100.0,R_04_M,93.0
A014172,0.0,1,0.0002022,100.0,R_09_M,94.0
A014206,0.0,1,0.75,100.0,R_05_M,95.0
A014215,0.0,1,1.84,100.0,R_09_M,96.0
A014245,0.0,1,0.0002022,100.0,R_09_M,98.0
A014246,0.0,1,1.593666667,100.0,R_09_M,97.0
A014259A,0.0,1,12.0,100.0,R_02_M,99.0
A014304,0.0,1,0.0002022,100.0,R_05_M,100.0
A014339,0.0,1,0.0002022,100.0,R_12_M,101.0
A014393,0.0,1,5.933333332999999,100.0,R_09_M,102.0
