USER,2022-08_ALLOCATIONS,2022-08_CURTAILMENT,2022-08_DEMAND,2022-08_SHORTAGE_%,BASIN,PRIORITY
S002379,0.0,1,0.00020219999999999998,100.0,R_12_M,10000000
S008071,0.0,1,28.53333333,100.0,R_02_M,10000000
S008074,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S008075,0.0,1,2.022e-05,100.0,R_05_M,10000000
S008082,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S008128,0.0,1,13.342716,100.0,R_12_M,10000000
S008163,0.0,1,0.6333333329999999,100.0,R_06_M,10000000
S008184,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S008596,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S011330,0.0,1,2.563333333,100.0,R_12_M,10000000
S011331,0.0,1,2.833333333,100.0,R_12_M,10000000
S013153,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S013696,0.0,1,8.2,100.0,R_09_M,10000000
S014005,0.0,1,34.70333333,100.0,R_09_M,10000000
S014057,0.0,1,3.366666667,100.0,R_10_M,10000000
S014060,0.0,1,0.00020219999999999998,100.0,R_13_M,10000000
S014061,0.0,1,1.133333333,100.0,R_13_M,10000000
S014062,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014063,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014064,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014065,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014066,0.0,1,0.021,100.0,R_10_M,10000000
S014071,0.0,1,0.166666667,100.0,R_09_M,10000000
S014072,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S014073,0.0,1,2.2,100.0,R_09_M,10000000
S014074,0.0,1,0.8666666670000001,100.0,R_09_M,10000000
S014077,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S014078,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S014079,0.0,1,6.2,100.0,R_09_M,10000000
S014086,0.0,1,23.43333333,100.0,R_10_M,10000000
S014087,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014088,0.0,1,0.8,100.0,R_10_M,10000000
S014089,0.0,1,6.166666667,100.0,R_10_M,10000000
S014092,0.0,1,9.666666667000001,100.0,R_10_M,10000000
S014094,0.0,1,10.6,100.0,R_10_M,10000000
S014200,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S014205,0.0,1,0.001074,100.0,R_13_M,10000000
S014313,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S014322,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S014373,0.0,1,3.066666667,100.0,R_02_M,10000000
S014374,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S014392,0.0,1,9.353333333,100.0,R_10_M,10000000
S014393,0.0,1,6.1166666670000005,100.0,R_10_M,10000000
S014851,0.0,1,16.46666667,100.0,R_12_M,10000000
S014922,0.0,1,10.3,100.0,R_13_M,10000000
S014923,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S014946,0.0,1,11.64,100.0,R_12_M,10000000
S015023,0.0,1,1.752746,100.0,R_02_M,10000000
S015035,0.0,1,20.76666667,100.0,R_10_M,10000000
S015036,0.0,1,0.1,100.0,R_10_M,10000000
S015037,0.0,1,1.8,100.0,R_10_M,10000000
S015038,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015041,0.0,1,4.116666667,100.0,R_06_M,10000000
S015042,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015043,0.0,1,1.25,100.0,R_06_M,10000000
S015044,0.0,1,7.023333332999999,100.0,R_12_M,10000000
S015047,0.0,1,0.84,100.0,R_06_M,10000000
S015093,0.0,1,0.081333333,100.0,R_10_M,10000000
S015094,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015107,0.0,1,2.0,100.0,R_10_M,10000000
S015147,0.0,1,0.036827,100.0,R_02_M,10000000
S015184,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015199,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015200,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015201,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015202,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015203,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S015206,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S015208,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S015228,0.0,1,69.92566667,100.0,R_04_M,10000000
S015238,0.0,1,1.333333333,100.0,R_05_M,10000000
S015246,0.0,1,1.066666667,100.0,R_10_M,10000000
S015313,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015314,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015315,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015316,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015317,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015318,0.0,1,15.3,100.0,R_06_M,10000000
S015335,0.0,1,0.0276,100.0,R_12_M,10000000
S015336,0.0,1,4.868333333,100.0,R_10_M,10000000
S015337,0.0,1,4.868333333,100.0,R_10_M,10000000
S015338,0.0,1,0.12,100.0,R_10_M,10000000
S015349,0.0,1,0.9,100.0,R_06_M,10000000
S015362,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S015472,0.0,1,6.903333333,100.0,R_10_M,10000000
S015477,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015478,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015479,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015480,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S015522,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015532,0.0,1,2.022e-05,100.0,R_04_M,10000000
S015677,0.0,1,3.066666667,100.0,R_05_M,10000000
S015690,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S015691,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S015751,0.0,1,0.083333333,100.0,R_10_M,10000000
S015752,0.0,1,2.873333333,100.0,R_10_M,10000000
S015753,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015800,0.0,1,2.022e-05,100.0,R_04_M,10000000
S015805,0.0,1,3.0,100.0,R_05_M,10000000
S015806,0.0,1,2.333333333,100.0,R_05_M,10000000
S015816,0.0,1,1.104798333,100.0,R_09_M,10000000
S015874,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S015884,0.0,1,0.198714,100.0,R_09_M,10000000
S015924,0.0,1,2.963333333,100.0,R_06_M,10000000
S015935,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015942,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015945,0.0,1,0.566666667,100.0,R_10_M,10000000
S015951,0.0,1,3.966666667,100.0,R_10_M,10000000
S015952,0.0,1,0.0095135,100.0,R_13_M,10000000
S015962,0.0,1,4.9,100.0,R_10_M,10000000
S015963,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015964,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S015990,0.0,1,1.42,100.0,R_09_M,10000000
S016021,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S016022,0.0,1,0.24,100.0,R_10_M,10000000
S016023,0.0,1,5.4,100.0,R_10_M,10000000
S016024,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S016045,0.0,1,1.5314006669999998,100.0,R_09_M,10000000
S016063,0.0,1,3.9,100.0,R_10_M,10000000
S016064,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S016093,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S016118,0.0,1,1.4333333330000002,100.0,R_10_M,10000000
S016164,0.0,1,1.466666667,100.0,R_10_M,10000000
S016165,0.0,1,0.1,100.0,R_10_M,10000000
S016166,0.0,1,6.533333333,100.0,R_10_M,10000000
S016167,0.0,1,0.1,100.0,R_10_M,10000000
S016329,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S016352,0.0,1,1.933333333,100.0,R_05_M,10000000
S016366,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S016367,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S016368,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S016369,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S016370,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S016632,0.0,1,0.87,100.0,R_12_M,10000000
S016633,0.0,1,2.7433333330000003,100.0,R_12_M,10000000
S016671,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S016707,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S016812,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S017039,0.0,1,1.436077333,100.0,R_10_M,10000000
S017040,0.0,1,0.290662667,100.0,R_13_M,10000000
S017041,0.0,1,0.00020219999999999998,100.0,R_13_M,10000000
S017348,0.0,1,3.333333333,100.0,R_02_M,10000000
S017791,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S017987,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S017990,0.0,1,0.7666666670000001,100.0,R_09_M,10000000
S017992,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S017993,0.0,1,0.173333333,100.0,R_09_M,10000000
S017995,0.0,1,9.283333333,100.0,R_09_M,10000000
S018130,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S018136,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S018139,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S018154,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S018277,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S018387,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S018467,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S018470,0.0,1,0.372053333,100.0,R_10_M,10000000
S018473,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S018490,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S018710,0.0,1,4.233333333,100.0,R_09_M,10000000
S018787,0.0,1,0.514222333,100.0,R_10_M,10000000
S019196,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S019291,0.0,1,9.022333332999999,100.0,R_05_M,10000000
S019932,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S020083,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020086,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020090,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020091,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020094,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020098,0.0,1,4.0,100.0,R_10_M,10000000
S020102,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S020356,0.0,1,0.666666667,100.0,R_10_M,10000000
S020709,0.0,1,10.125,100.0,R_04_M,10000000
S020788,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S021309,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S021381,0.0,1,17.0,100.0,R_04_M,10000000
S021384,0.0,1,4.333333333,100.0,R_04_M,10000000
S021385,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000
S021388,0.0,1,0.175333333,100.0,R_02_M,10000000
S021470,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S021471,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S021472,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S021473,0.0,1,0.933333333,100.0,R_10_M,10000000
S021475,0.0,1,32.19533333,100.0,R_04_M,10000000
S021480,0.0,1,4.45,100.0,R_09_M,10000000
S022008,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S022009,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S022012,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S022013,0.0,1,3.7,100.0,R_09_M,10000000
S022014,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S022156,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S022335,0.0,1,0.350333333,100.0,R_02_M,10000000
S022407,0.0,1,2.022e-05,100.0,R_13_M,10000000
S022408,0.0,1,2.022e-05,100.0,R_13_M,10000000
S022409,0.0,1,0.288693333,100.0,R_13_M,10000000
S022410,0.0,1,0.642713333,100.0,R_13_M,10000000
S022411,0.0,1,0.00020219999999999998,100.0,R_13_M,10000000
S022464,0.0,1,2.2423263330000003,100.0,R_09_M,10000000
S022465,0.0,1,0.00020219999999999998,100.0,R_13_M,10000000
S022523,0.0,1,0.043333333,100.0,R_09_M,10000000
S022725,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S022726,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S022868,0.0,1,1.6633333330000002,100.0,R_09_M,10000000
S022869,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S022870,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S022886,0.0,1,0.0003333330000000001,100.0,R_13_M,10000000
S022889,0.0,1,4.633333333,100.0,R_10_M,10000000
S022890,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000
S023470,0.0,1,2.103333333,100.0,R_02_M,10000000
S023695,0.0,1,5.366666667,100.0,R_09_M,10000000
S023696,0.0,1,3.3,100.0,R_09_M,10000000
S023697,0.0,1,4.6,100.0,R_09_M,10000000
S023954,0.0,1,0.00020219999999999998,100.0,R_12_M,10000000
S023955,0.0,1,16.43333333,100.0,R_12_M,10000000
S023956,0.0,1,1.0,100.0,R_10_M,10000000
S024104,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000
S024370,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S024444,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S024466,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S024467,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000
S024481,0.0,1,0.6111346670000001,100.0,R_13_M,10000000
S024509,0.0,1,1.4,100.0,R_09_M,10000000
S024597,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000
S024681,0.0,1,3.5333333330000003,100.0,R_09_M,10000000
S024682,0.0,1,0.566666667,100.0,R_09_M,10000000
S024728,0.0,1,0.00020219999999999998,100.0,R_12_M,10000000
S025481,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S025482,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000
S025489,0.0,1,10.13333333,100.0,R_09_M,10000000
S025611,0.0,1,37.23333333,100.0,R_09_M,10000000
S026091,0.0,1,0.014005000000000002,100.0,R_02_M,10000000
S026123,0.0,1,0.290820333,100.0,R_13_M,10000000
