USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
A002723,0.0002022,0,0.00020219999999999998,0,R_01,55.0
A004307,0.0002022,0,0.00020219999999999998,0,R_01,60.0
A006464,0.0002022,0,0.00020219999999999998,0,R_01,63.0
A006642,0.0002022,0,0.00020219999999999998,0,R_01,64.0
A006805A,0.0002022,0,0.00020219999999999998,0,R_01,65.0
A009832A,0.008235,0,0.008235,0,R_01,69.0
A009832B,0.0002022,0,0.00020219999999999998,0,R_01,70.0
A015610,2.022e-05,0,2.022e-05,0,R_01,194.0
A015663,0.0002022,0,0.00020219999999999998,0,R_01,195.0
A016347,0.0002022,0,0.00020219999999999998,0,R_01,225.0
A017091A,0.0002022,0,0.00020219999999999998,0,R_01,246.0
A017091B,0.0002022,0,0.00020219999999999998,0,R_01,247.0
A017091C,0.0002022,0,0.00020219999999999998,0,R_01,248.0
A017240,0.33,0,0.33,0,R_01,253.0
A017868,0.0002022,0,0.00020219999999999998,0,R_01,263.0
A018274A,0.0002022,0,0.00020219999999999998,0,R_01,275.0
A018274B,0.0002022,0,0.00020219999999999998,0,R_01,276.0
A018328,0.0002022,0,0.00020219999999999998,0,R_01,277.0
A018648,0.66,0,0.66,0,R_01,279.0
A019336,0.0002022,0,0.00020219999999999998,0,R_01,286.0
A020657,0.0002022,0,0.00020219999999999998,0,R_01,296.0
A020791,0.0002022,0,0.00020219999999999998,0,R_01,299.0
A020872,0.0002022,0,0.00020219999999999998,0,R_01,303.0
A020963,4.66,0,4.66,0,R_01,307.0
A021121,2.022e-05,0,2.022e-05,0,R_01,309.0
A021429A,0.0002022,0,0.00020219999999999998,0,R_01,317.0
A021429B,0.0002022,0,0.00020219999999999998,0,R_01,318.0
A021429C,0.45,0,0.45,0,R_01,319.0
A021596,9.2e-05,0,9.2e-05,0,R_01,325.0
A021809,2.33,0,2.33,0,R_01,333.0
A021950,0.0002022,0,0.00020219999999999998,0,R_01,346.0
A021966,0.0002022,0,0.00020219999999999998,0,R_01,347.0
A022277,0.0002022,0,0.00020219999999999998,0,R_01,354.0
A023282,0.0002022,0,0.00020219999999999998,0,R_01,383.0
A023337,0.0002022,0,0.00020219999999999998,0,R_01,387.0
A023399,0.0002022,0,0.00020219999999999998,0,R_01,391.0
A023408,0.0002022,0,0.00020219999999999998,0,R_01,392.0
A023451,0.0002022,0,0.00020219999999999998,0,R_01,394.0
A023488,0.0002022,0,0.00020219999999999998,0,R_01,396.0
A023489,0.66,0,0.66,0,R_01,397.0
A023536,0.0002022,0,0.00020219999999999998,0,R_01,400.0
A023558,0.0002022,0,0.00020219999999999998,0,R_01,402.0
A023605,0.0002022,0,0.00020219999999999998,0,R_01,404.0
A023615,0.0002022,0,0.00020219999999999998,0,R_01,405.0
A023654A,0.0002022,0,0.00020219999999999998,0,R_01,407.0
A023654B,3.66,0,3.66,0,R_01,408.0
A023707,0.33,0,0.33,0,R_01,419.0
A023737,0.0002022,0,0.00020219999999999998,0,R_01,420.0
A023748,0.0002022,0,0.00020219999999999998,0,R_01,421.0
A023792,0.0002022,0,0.00020219999999999998,0,R_01,422.0
A023802,0.0002022,0,0.00020219999999999998,0,R_01,425.0
A023836,0.0002022,0,0.00020219999999999998,0,R_01,428.0
A023868,0.0002022,0,0.00020219999999999998,0,R_01,431.0
A023869,0.0002022,0,0.00020219999999999998,0,R_01,760.0
A023895,0.0002022,0,0.00020219999999999998,0,R_01,433.0
A023949,0.0002022,0,0.00020219999999999998,0,R_01,438.0
A024010,2.22,0,2.22,0,R_01,439.0
A024025,0.0002022,0,0.00020219999999999998,0,R_01,443.0
