USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
S008080,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S008659,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S008824,2.022e-05,0,2.022e-05,0,R_01,10000000.0
S010433,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S010522,2.022e-05,0,2.022e-05,0,R_01,10000000.0
S011135,0.26,0,0.26,0,R_01,10000000.0
S014016,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S014292,0.13,0,0.13,0,R_01,10000000.0
S014293,0.04,0,0.04,0,R_01,10000000.0
S014861,0.53,0,0.53,0,R_01,10000000.0
S014862,0.26,0,0.26,0,R_01,10000000.0
S014863,0.13,0,0.13,0,R_01,10000000.0
S014864,0.53,0,0.53,0,R_01,10000000.0
S014865,0.53,0,0.53,0,R_01,10000000.0
S014866,0.13,0,0.13,0,R_01,10000000.0
S014996,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S015303,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S015353,0.21,0,0.21,0,R_01,10000000.0
S015641,2.06,0,2.06,0,R_01,10000000.0
S015746,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S016896,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S016897,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S017203,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S017742,2.022e-05,0,2.022e-05,0,R_01,10000000.0
S017745,2.022e-05,0,2.022e-05,0,R_01,10000000.0
S017748,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S017751,0.0015,0,0.0015,0,R_01,10000000.0
S018479,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000.0
S018503,2.022e-05,0,2.022e-05,0,R_01,10000000.0
