USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A002723,N,R_01,N,Y,55.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A004307,N,R_01,N,Y,60.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006464,N,R_01,N,Y,63.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006642,N,R_01,N,Y,64.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006805A,N,R_01,N,Y,65.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A009832A,N,R_01,N,Y,69.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0065980000000000006,0.006444666999999999,0.008235,0.008286,0.009564666999999999,0.00035800000000000003,0.0002022,0.0002022,N,N,N
A009832B,N,R_01,N,Y,70.0,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A015610,N,R_01,N,Y,194.0,1953-1954,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A015663,N,R_01,N,Y,195.0,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A016347,N,R_01,N,Y,225.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017091A,N,R_01,N,Y,246.0,1955-1956,2.0,2.0,2.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,N,N,Y
A017091B,N,R_01,N,Y,247.0,1955-1956,8.97,10.61,5.3,2.63,1.73,0.0002022,0.0002022,0.01,0.24,0.0002022,1.73,2.67,N,N,N
A017091C,N,R_01,N,Y,248.0,1955-1956,4.5,1.0,2.66,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A017240,N,R_01,N,Y,253.0,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.33,0.33,0.33,0.33,0.0002022,0.0002022,0.0002022,N,N,N
A017868,N,R_01,N,Y,263.0,1957-1959,0.0002022,0.0002022,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A018274A,N,R_01,N,Y,275.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A018274B,N,R_01,N,Y,276.0,1957-1959,1.8,0.0002022,0.75,1.25,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.1,N,N,Y
A018328,N,R_01,N,Y,277.0,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A018648,N,R_01,N,Y,279.0,1957-1959,0.25,0.25,0.5,0.7,0.73,0.5,0.66,0.5,0.4,0.21,0.1,0.06,N,N,N
A019336,N,R_01,N,Y,286.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A020657,N,R_01,N,Y,296.0,1960-1970,8.73,7.48,4.13,2.4,1.42,0.4,0.0002022,0.01,0.24,0.0002022,1.73,3.14,N,N,N
A020791,N,R_01,N,Y,299.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.1,0.0002022,0.2,N,N,Y
A020872,N,R_01,N,Y,303.0,1960-1970,3.8,1.86,1.53,1.4,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.36,1.0,N,N,N
A020963,N,R_01,N,Y,307.0,1960-1970,0.0002022,1.5,3.33,6.5,5.66,4.33,4.66,4.0,2.66,2.33,1.66,0.0002022,N,N,N
A021121,N,R_01,N,Y,309.0,1960-1970,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A021429A,N,R_01,N,Y,317.0,1960-1970,68.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,27.33,N,N,Y
A021429B,N,R_01,N,Y,318.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A021429C,N,R_01,N,Y,319.0,1960-1970,1.12,1.12,0.02,0.02,0.45,0.45,0.45,0.45,0.45,1.55,1.55,2.22,N,N,N
A021596,N,R_01,N,Y,325.0,1960-1970,0.0002022,0.0002022,4.6e-05,4.6e-05,4.6e-05,9.2e-05,9.2e-05,9.2e-05,9.2e-05,0.0002022,0.0002022,0.0002022,N,N,N
A021809,N,R_01,N,Y,333.0,1960-1970,0.0002022,1.0,5.48,6.53,2.66,1.83,2.33,1.0,1.0,0.0002022,0.0002022,0.0002022,N,N,N
A021950,N,R_01,N,Y,346.0,1960-1970,7.33,6.0,5.66,3.66,3.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.33,N,N,N
A021966,N,R_01,N,Y,347.0,1960-1970,1.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.48,0.61,N,N,Y
A022277,N,R_01,N,Y,354.0,1960-1970,0.0002022,0.0002022,0.0002022,0.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023282,N,R_01,N,Y,383.0,1960-1970,0.33,0.33,5.0,5.0,3.83,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023337,N,R_01,N,Y,387.0,1960-1970,8.29,6.23,4.13,2.4,1.42,0.0002022,0.0002022,0.01,0.01,0.0002022,1.73,2.97,N,N,N
A023399,N,R_01,N,Y,391.0,1960-1970,6.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023408,N,R_01,N,Y,392.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.93,N,N,Y
A023451,N,R_01,N,Y,394.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023488,N,R_01,N,Y,396.0,1960-1970,1.66,0.56,0.8,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.46,0.93,N,N,Y
A023489,N,R_01,N,Y,397.0,1960-1970,0.25,0.3,0.9,0.62,0.66,0.66,0.66,0.5,0.48,0.45,0.35,0.35,N,N,N
A023536,N,R_01,N,Y,400.0,1960-1970,1.33,1.66,2.66,2.0,1.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023558,N,R_01,N,Y,402.0,1960-1970,3.0,3.16,2.83,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.33,0.66,N,N,Y
A023605,N,R_01,N,Y,404.0,1960-1970,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023615,N,R_01,N,Y,405.0,1960-1970,4.93,4.23,1.03,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.8,5.0,N,N,Y
A023654A,N,R_01,N,Y,407.0,1960-1970,0.0002022,0.0002022,0.0002022,0.24,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A023654B,N,R_01,N,Y,408.0,1960-1970,3.66,4.0,5.6,5.66,4.33,5.33,3.66,2.66,2.66,2.0,0.0002022,0.0002022,N,N,N
A023707,N,R_01,N,Y,419.0,1971-1990,0.66,1.33,2.0,0.66,0.33,0.33,0.33,0.33,0.0002022,0.0002022,0.0002022,0.66,N,N,N
A023737,N,R_01,N,Y,420.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023748,N,R_01,N,Y,421.0,1971-1990,10.0,10.16,11.33,5.46,4.73,1.33,0.0002022,0.0002022,0.0002022,0.0002022,2.33,7.0,N,N,N
A023792,N,R_01,N,Y,422.0,1971-1990,0.0002022,0.0002022,1.0,1.0,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A023802,N,R_01,N,Y,425.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023836,N,R_01,N,Y,428.0,1971-1990,3.0,0.66,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,2.33,N,N,Y
A023868,N,R_01,N,Y,431.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023869,N,R_01,N,Y,760.0,1991-PRESENT,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023895,N,R_01,N,Y,433.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A023949,N,R_01,N,Y,438.0,1971-1990,2.0,1.33,0.0002022,3.2,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024010,N,R_01,N,Y,439.0,1971-1990,0.0002022,0.0002022,0.01,0.65,0.13,1.33,2.22,1.85,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A024025,N,R_01,N,Y,443.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024028,N,R_01,N,Y,444.0,1971-1990,22.33,3.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,6.0,N,N,Y
A024044,N,R_01,N,Y,445.0,1971-1990,3.65,4.62,2.15,1.46,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.49,0.46,N,N,Y
A024056,N,R_01,N,Y,449.0,1971-1990,10.33,10.33,9.0,6.0,3.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A024104,N,R_01,N,Y,451.0,1971-1990,2.0,2.0,1.0,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.0,N,N,Y
A024126,N,R_01,N,Y,452.0,1971-1990,4.33,4.0,4.33,3.33,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.66,N,N,N
A024130,N,R_01,N,Y,453.0,1971-1990,19.33,9.66,4.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.33,N,N,Y
A024344,N,R_01,N,Y,471.0,1971-1990,2.0,0.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.5,1.5,N,N,Y
A024405,N,R_01,N,Y,478.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024425,N,R_01,N,Y,480.0,1971-1990,18.73,24.9,22.58,27.7,14.23,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.76,2.76,N,N,N
A024488,N,R_01,N,Y,482.0,1971-1990,1.63,0.04,0.61,0.1,0.07,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.43,0.1,N,N,N
A024502,N,R_01,N,Y,483.0,1971-1990,1.66,1.33,0.4,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A024725,N,R_01,N,Y,496.0,1971-1990,3.33,3.33,4.0,4.33,1.0,0.66,0.66,0.66,0.66,0.66,0.33,0.0002022,N,N,N
A024774,N,R_01,N,Y,499.0,1971-1990,0.13,0.13,0.13,0.13,0.0002022,0.41,0.41,0.41,0.41,0.41,0.12,0.12,N,N,N
A024805,N,R_01,N,Y,504.0,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A024959,N,R_01,N,Y,529.0,1971-1990,0.76,0.73,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.45,N,N,Y
A024996,N,R_01,N,Y,537.0,1971-1990,0.9,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A025334,N,R_01,N,Y,557.0,1971-1990,8.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A025600,N,R_01,N,Y,561.0,1971-1990,22.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,11.33,N,N,Y
A025740,N,R_01,N,Y,568.0,1971-1990,8.6,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
