USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
S016896,Y,R_01,N,Y,10000000.0,RIPARIAN,0.06,0.0002022,0.0002022,0.13,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.23,0.46,N,N,Y
S008080,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S008659,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S008824,Y,R_01,N,Y,10000000.0,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S010433,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S010522,Y,R_01,N,Y,10000000.0,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S011135,Y,R_01,N,Y,10000000.0,RIPARIAN,0.46,0.46,0.46,0.43,0.15,0.26,0.26,0.26,0.26,0.26,0.39,0.62,N,N,N
S014016,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,2.83,4.16,2.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S014292,Y,R_01,N,Y,10000000.0,RIPARIAN,0.03,0.03,0.06,0.13,0.13,0.13,0.13,0.13,0.13,0.06,0.03,0.03,N,N,N
S014293,Y,R_01,N,Y,10000000.0,RIPARIAN,0.06,0.06,0.06,0.07,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.06,N,N,N
S014861,Y,R_01,N,Y,10000000.0,RIPARIAN,0.66,0.66,0.66,0.66,0.66,0.66,0.53,0.53,0.53,0.53,0.53,0.53,N,N,N
S014862,Y,R_01,N,Y,10000000.0,RIPARIAN,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.13,0.13,0.13,0.26,0.26,N,N,N
S014863,Y,R_01,N,Y,10000000.0,RIPARIAN,0.26,0.26,0.26,0.26,0.26,0.13,0.13,0.13,0.13,0.13,0.13,0.17,N,N,N
S014864,Y,R_01,N,Y,10000000.0,RIPARIAN,0.66,0.66,0.66,0.66,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,N,N,N
S014865,Y,R_01,N,Y,10000000.0,RIPARIAN,0.66,0.66,0.66,0.66,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,N,N,N
S014866,Y,R_01,N,Y,10000000.0,RIPARIAN,0.26,0.26,0.26,0.26,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,N,N,N
S014996,Y,R_01,N,Y,10000000.0,RIPARIAN,3.31,0.0002022,0.0002022,8.83,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S015303,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.01,0.03,0.01,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
S015353,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0032045000000000003,0.004881,0.0081165,0.01,0.09,0.13,0.21,0.21,0.13,0.06,0.01,0.00407999999999999,N,N,N
S015641,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0006,0.0006,2.06,2.06,2.06,0.0002022,0.0002022,0.0002022,N,N,N
S015746,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.16,1.08,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S016897,Y,R_01,N,Y,10000000.0,RIPARIAN,0.46,0.0002022,0.06,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
S017203,Y,R_01,N,Y,10000000.0,RIPARIAN,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
S017742,Y,R_01,N,Y,10000000.0,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S017745,Y,R_01,N,Y,10000000.0,RIPARIAN,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
S017748,Y,R_01,N,Y,10000000.0,RIPARIAN,0.21,0.16,0.1,0.29,0.08,0.01,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
