BASIN,2022-07_ALLOCATIONS,2022-07_AVAILABLE_FLOW,2022-07_DEMAND
R_01,0.0,0.0,0.0
R_02,0.0,0.0,0.0
R_02_M,225.66660313000003,4264.702947585764,225.66660313300002
R_03,0.0,0.0,0.0
R_03_M,992.4308087999999,4264.702947585764,992.4308087999999
R_04,0.0,0.0,0.0
R_04_M,526.54303148,4264.702947585764,526.54303148
R_05,0.0,0.0,0.0
R_05_M,396.9336396,4264.702947585764,396.9336396
R_06,0.0,0.0,0.0
R_06_M,334.36920626999995,4264.702947585764,334.369206267
R_07,0.0,0.0,0.0
R_08,0.0,0.0,0.0
R_09,0.0,0.0,0.0
R_09_M,300.98689501999996,4264.702947585764,300.98689501999996
R_10,0.0,0.0,0.0
R_10_M,120.4922242,4264.702947585764,120.4922242
R_11,0.0,0.0,0.0
R_12,0.0,0.0,0.0
R_12_M,305.4642462,4264.702947585764,305.4642462
R_13,0.0,0.0,0.0
R_13_M,28.55491592,4264.702947585764,28.55491592
