BASIN,2022-07_ALLOCATIONS,2022-07_DEMAND,2022-07_FLOW,2022-07_PROPORTIONS
R_01,0.0,0.0,0.0,0
R_02,0.0,0.0,0.0,0
R_02_M,0.0,40.12107166,0.0,0
R_03,0.0,0.0,0.0,0
R_03_M,0.0,0.0,0.0,0
R_04,0.0,0.0,0.0,0
R_04_M,0.0,144.01188046000001,0.0,0
R_05,0.0,0.0,0.0,0
R_05_M,0.0,19.60204222,0.0,0
R_06,0.0,0.0,0.0,0
R_06_M,0.0,50.775075220000005,0.0,0
R_07,0.0,0.0,0.0,0
R_08,0.0,0.0,0.0,0
R_09,0.0,0.0,0.0,0
R_09_M,0.0,86.3422242,0.0,0
R_10,0.0,0.0,0.0,0
R_10_M,0.0,117.19727919999995,0.0,0
R_11,0.0,0.0,0.0,0
R_12,0.0,0.0,0.0,0
R_12_M,0.0,63.2406066,0.0,0
R_13,0.0,0.0,0.0,0
R_13_M,0.0,11.405939072999999,0.0,0
