USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
A001983,2.022e-05,0,2.022e-05,0,R_04_M,54.0
A002928,0.0002022,0,0.00020219999999999998,0,R_13_M,56.0
A003421,0.0002022,0,0.00020219999999999998,0,R_04_M,57.0
A003565,2.9,0,2.9,0,R_06_M,58.0
A003601,4.86,0,4.86,0,R_04_M,59.0
A004308,2.61,0,2.61,0,R_05_M,61.0
A004832,16.33,0,16.33,0,R_04_M,62.0
A006854,0.0002022,0,0.00020219999999999998,0,R_05_M,66.0
A006855,4.01,0,4.01,0,R_05_M,67.0
A008974,0.0002022,0,0.00020219999999999998,0,R_09_M,68.0
A011383,10.19,0,10.19,0,R_02_M,71.0
A011846,3.66,0,3.66,0,R_09_M,72.0
A012919A,0.0002022,0,0.00020219999999999998,0,R_03_M,10000.0
A012919B,992.43,0,992.43,0,R_03_M,76.0
A012958,18.31,0,18.31,0,R_04_M,78.0
A013030A,0.0002022,0,0.00020219999999999998,0,R_06_M,79.0
A013030B,18.37,0,18.37,0,R_06_M,80.0
A013126A,1.54,0,1.54,0,R_10_M,81.0
A013126B,1.4,0,1.4,0,R_10_M,82.0
A013182A01,2.83,0,2.83,0,R_12_M,84.0
A013182A02,1.2,0,1.2,0,R_12_M,85.0
A013182B,5.06,0,5.06,0,R_12_M,86.0
A013217,88.45,0,88.45,0,R_12_M,87.0
A013270,14.84,0,14.84,0,R_04_M,88.0
A013277,0.26,0,0.26,0,R_09_M,89.0
A013281A01,17.64,0,17.64,0,R_12_M,474.0
A013281A02,11.43,0,11.43,0,R_12_M,475.0
A013281A03,3.03,0,3.03,0,R_12_M,476.0
A013281B,0.0002022,0,0.00020219999999999998,0,R_12_M,90.0
A013287,4.53,0,4.53,0,R_04_M,91.0
A013288,9.7,0,9.7,0,R_04_M,92.0
A013289,2.5,0,2.5,0,R_09_M,93.0
A013331,1.41,0,1.41,0,R_12_M,94.0
A013391,0.0002022,0,0.00020219999999999998,0,R_12_M,95.0
A013468,0.58,0,0.58,0,R_12_M,96.0
A013474,4.48,0,4.48,0,R_10_M,97.0
A013528,4.9,0,4.9,0,R_05_M,98.0
A013529,4.22,0,4.22,0,R_02_M,99.0
A013557,0.0,0,0.0,0,R_02_M,101.0
A013579,0.88,0,0.88,0,R_12_M,103.0
A013661,25.71,0,25.71,0,R_06_M,105.0
A013706,1.53,0,1.53,0,R_02_M,107.0
A013749,2.43,0,2.43,0,R_06_M,110.0
A013753,0.00556667,0,0.005566666999999999,0,R_06_M,111.0
A013755,12.33,0,12.33,0,R_06_M,112.0
A013758,5.3,0,5.3,0,R_09_M,113.0
A013789,0.0002022,0,0.00020219999999999998,0,R_10_M,114.0
A013810,0.49,0,0.49,0,R_09_M,115.0
A013811,3.5,0,3.5,0,R_09_M,116.0
A013831,1.43,0,1.43,0,R_10_M,117.0
A013832,1.47,0,1.47,0,R_10_M,118.0
A013862,1.1,0,1.1,0,R_09_M,119.0
A013863,0.0002022,0,0.00020219999999999998,0,R_09_M,120.0
A013864,0.8,0,0.8,0,R_09_M,121.0
A013874,7.37,0,7.37,0,R_12_M,122.0
A013932,1.2,0,1.2,0,R_09_M,123.0
A013933,0.0002022,0,0.00020219999999999998,0,R_10_M,124.0
A013973,0.78,0,0.78,0,R_04_M,126.0
A013974,0.0002022,0,0.00020219999999999998,0,R_04_M,127.0
A013984,4.75,0,4.75,0,R_10_M,128.0
A013985,1.56,0,1.56,0,R_10_M,129.0
A013987,0.0002022,0,0.00020219999999999998,0,R_09_M,130.0
A013989,0.48,0,0.48,0,R_12_M,131.0
A014030,2.63,0,2.63,0,R_10_M,132.0
A014033,11.1,0,11.1,0,R_10_M,133.0
A014034,5.56,0,5.56,0,R_10_M,134.0
A014044A,3.86,0,3.86,0,R_10_M,135.0
A014044B,2.33,0,2.33,0,R_10_M,136.0
A014045,0.0002022,0,0.00020219999999999998,0,R_09_M,137.0
A014047,0.01,0,0.01,0,R_12_M,138.0
A014048,8.57,0,8.57,0,R_10_M,139.0
A014049,14.48,0,14.48,0,R_10_M,140.0
A014051,7.58,0,7.58,0,R_10_M,141.0
A014065,0.0002022,0,0.00020219999999999998,0,R_10_M,142.0
A014144,0.0002022,0,0.00020219999999999998,0,R_09_M,143.0
A014160,0.0002022,0,0.00020219999999999998,0,R_04_M,144.0
A014172,0.0002022,0,0.00020219999999999998,0,R_09_M,145.0
A014206,0.75,0,0.75,0,R_05_M,146.0
A014215,2.45,0,2.45,0,R_09_M,147.0
A014245,0.0002022,0,0.00020219999999999998,0,R_09_M,148.0
A014246,1.17,0,1.17,0,R_09_M,149.0
A014259A,12.0,0,12.0,0,R_02_M,150.0
A014304,0.0002022,0,0.00020219999999999998,0,R_05_M,151.0
A014339,0.0002022,0,0.00020219999999999998,0,R_12_M,152.0
A014393,5.46,0,5.46,0,R_09_M,153.0
A014459,2.66,0,2.66,0,R_12_M,154.0
A014467,0.0002022,0,0.00020219999999999998,0,R_09_M,156.0
A014492,0.0002022,0,0.00020219999999999998,0,R_09_M,157.0
A014539,0.0002022,0,0.00020219999999999998,0,R_05_M,158.0
A014624,0.0002022,0,0.00020219999999999998,0,R_04_M,159.0
A014715,0.0002022,0,0.00020219999999999998,0,R_12_M,160.0
A014720,4.53,0,4.53,0,R_10_M,161.0
A014750,0.3,0,0.3,0,R_12_M,164.0
A014777,0.63,0,0.63,0,R_10_M,165.0
A014826,0.0002022,0,0.00020219999999999998,0,R_13_M,166.0
A014855,9.79,0,9.79,0,R_10_M,169.0
A014856,0.0002022,0,0.00020219999999999998,0,R_10_M,170.0
A014875,6.66,0,6.66,0,R_10_M,172.0
A014880,1.21,0,1.21,0,R_09_M,173.0
A014916A,4.95,0,4.95,0,R_04_M,175.0
A014916B,2.05,0,2.05,0,R_04_M,176.0
A014997A,8.88,0,8.88,0,R_05_M,177.0
A014997B,2.51,0,2.51,0,R_05_M,178.0
A015157,5.86,0,5.86,0,R_05_M,180.0
A015158A,2.022e-05,0,2.022e-05,0,R_04_M,181.0
A015158B,2.022e-05,0,2.022e-05,0,R_04_M,182.0
A015168,7.69,0,7.69,0,R_04_M,183.0
A015233,0.0002022,0,0.00020219999999999998,0,R_12_M,185.0
A015277,2.7,0,2.7,0,R_10_M,186.0
A015329A,0.0002022,0,0.00020219999999999998,0,R_04_M,188.0
A015329B,0.0083,0,0.0083,0,R_04_M,189.0
A015370,2.12,0,2.12,0,R_12_M,190.0
A015397,1.59,0,1.59,0,R_09_M,191.0
A015399,0.0002022,0,0.00020219999999999998,0,R_09_M,192.0
A015664A,0.0002022,0,0.00020219999999999998,0,R_09_M,196.0
A015664B,2.99,0,2.99,0,R_09_M,197.0
A015664C,1.66,0,1.66,0,R_09_M,198.0
A015677,0.26,0,0.26,0,R_04_M,199.0
A015678,2.022e-05,0,2.022e-05,0,R_04_M,200.0
A015704,171.1,0,171.1,0,R_04_M,201.0
A015721,61.46,0,61.46,0,R_05_M,202.0
A015726,0.0002022,0,0.00020219999999999998,0,R_10_M,203.0
A015727,0.0002022,0,0.00020219999999999998,0,R_09_M,204.0
A015728A,0.0002022,0,0.00020219999999999998,0,R_12_M,205.0
A015728B,3.4,0,3.4,0,R_12_M,206.0
A015729,1.56,0,1.56,0,R_10_M,207.0
A015743,0.11,0,0.11,0,R_06_M,208.0
A015779,6.0,0,6.0,0,R_13_M,209.0
A015780,85.0,0,85.0,0,R_05_M,210.0
A015781,3.18,0,3.18,0,R_05_M,211.0
A015782,6.33,0,6.33,0,R_05_M,212.0
A015796,0.0002022,0,0.00020219999999999998,0,R_04_M,213.0
A015983,1.49,0,1.49,0,R_09_M,215.0
A015984,0.73,0,0.73,0,R_09_M,216.0
A016155,9.28,0,9.28,0,R_04_M,220.0
A016249,41.32,0,41.32,0,R_06_M,221.0
A016308,2.33,0,2.33,0,R_05_M,222.0
A016319,0.0002022,0,0.00020219999999999998,0,R_09_M,223.0
A016334,1.0,0,1.0,0,R_09_M,224.0
A016357,1.66,0,1.66,0,R_09_M,226.0
A016398,12.33,0,12.33,0,R_09_M,228.0
A016405,0.0002022,0,0.00020219999999999998,0,R_10_M,229.0
A016416,0.0002022,0,0.00020219999999999998,0,R_04_M,230.0
A016472,0.0002022,0,0.00020219999999999998,0,R_02_M,233.0
A016525,0.06,0,0.06,0,R_10_M,234.0
A016557,52.0,0,52.0,0,R_06_M,235.0
A016561,11.21,0,11.21,0,R_06_M,236.0
A016655,0.16,0,0.16,0,R_06_M,237.0
A016670,0.0002022,0,0.00020219999999999998,0,R_06_M,238.0
A016671,4.57,0,4.57,0,R_06_M,239.0
A016673,6.63,0,6.63,0,R_10_M,240.0
A016758,2.87,0,2.87,0,R_05_M,241.0
A016821,1.17,0,1.17,0,R_10_M,242.0
A017100,0.51,0,0.51,0,R_12_M,249.0
A017121,117.18,0,117.18,0,R_12_M,250.0
A017145,0.0002022,0,0.00020219999999999998,0,R_06_M,251.0
A017232,0.0002022,0,0.00020219999999999998,0,R_04_M,252.0
A017366,0.83,0,0.83,0,R_05_M,255.0
A017508,30.0,0,30.0,0,R_02_M,256.0
A017587,0.0002022,0,0.00020219999999999998,0,R_04_M,257.0
A017622,1.64,0,1.64,0,R_05_M,258.0
A017624,0.0002022,0,0.00020219999999999998,0,R_05_M,259.0
A017632,7.22,0,7.22,0,R_13_M,260.0
A017881,6.37,0,6.37,0,R_02_M,265.0
A017885,5.06,0,5.06,0,R_06_M,266.0
A017911A,6.26,0,6.26,0,R_05_M,267.0
A017911B,7.96,0,7.96,0,R_05_M,268.0
