USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
S002379,0.0,1,0.00020219999999999998,100.0,R_12_M,10000000.0
S008071,0.0,1,29.06,100.0,R_02_M,10000000.0
S008074,0.0,1,0.00020219999999999998,100.0,R_06_M,10000000.0
S008075,0.0,1,2.022e-05,100.0,R_05_M,10000000.0
S008082,0.0,1,0.00020219999999999998,100.0,R_05_M,10000000.0
S008128,0.0,1,13.81,100.0,R_12_M,10000000.0
S008184,0.0,1,0.56,100.0,R_02_M,10000000.0
S008596,0.0,1,3.22,100.0,R_04_M,10000000.0
S011330,0.0,1,1.76,100.0,R_12_M,10000000.0
S011331,0.0,1,2.19,100.0,R_12_M,10000000.0
S013153,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000.0
S013696,0.0,1,8.2,100.0,R_09_M,10000000.0
S014005,0.0,1,11.53,100.0,R_09_M,10000000.0
S014057,0.0,1,2.73,100.0,R_10_M,10000000.0
S014060,0.0,1,0.00020219999999999998,100.0,R_13_M,10000000.0
S014061,0.0,1,2.63,100.0,R_13_M,10000000.0
S014062,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014063,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014064,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014065,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014066,0.0,1,0.02,100.0,R_10_M,10000000.0
S014071,0.0,1,0.1,100.0,R_09_M,10000000.0
S014072,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000.0
S014073,0.0,1,2.8,100.0,R_09_M,10000000.0
S014074,0.0,1,0.86,100.0,R_09_M,10000000.0
S014077,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000.0
S014078,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000.0
S014079,0.0,1,3.8,100.0,R_09_M,10000000.0
S014086,0.0,1,21.26,100.0,R_10_M,10000000.0
S014087,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014088,0.0,1,0.5,100.0,R_10_M,10000000.0
S014089,0.0,1,6.73,100.0,R_10_M,10000000.0
S014092,0.0,1,7.53,100.0,R_10_M,10000000.0
S014094,0.0,1,5.23,100.0,R_10_M,10000000.0
S014200,0.0,1,0.00020219999999999998,100.0,R_09_M,10000000.0
S014205,0.0,1,0.001074,100.0,R_13_M,10000000.0
S014313,0.0,0,0.0,0.0,R_02_M,10000000.0
S014322,0.0,1,0.00020219999999999998,100.0,R_04_M,10000000.0
S014373,0.0,1,1.33,100.0,R_02_M,10000000.0
S014374,0.0,1,0.00020219999999999998,100.0,R_02_M,10000000.0
S014392,0.0,1,9.35,100.0,R_10_M,10000000.0
S014393,0.0,1,6.11,100.0,R_10_M,10000000.0
S014851,0.0,1,14.0,100.0,R_12_M,10000000.0
S014922,0.0,1,6.8,100.0,R_13_M,10000000.0
S014923,0.0,1,0.00020219999999999998,100.0,R_10_M,10000000.0
S014946,0.0,1,9.76,100.0,R_12_M,10000000.0
S015023,0.0,1,1.51,100.0,R_02_M,10000000.0
