BASIN,FLOWS_TO,2022-06
R_01,R_04_MSRR,75.23260744
R_02,R_02_MSRR,46.92864466
R_02_MSRR,R_03_MSRR,0
R_03,R_03_MSRR,7.398302815
R_03_MSRR,R_04_MSRR,0
R_04,R_04_MSRR,39.60968022
R_04_MSRR,R_05_MSRR,0
R_05,R_05_MSRR,34.27417497
R_05_MSRR,R_06_MSRR,0
R_06,R_06_MSRR,76.52185592
R_06_MSRR,R_09_MSRR,0
R_07,R_08,6.743761279
R_08,R_09_MSRR,20.17178006
R_09,R_09_MSRR,25.36844316
R_09_MSRR,R_10_MSRR,0
R_10,R_10_MSRR,11.80158224
R_10_MSRR,R_12_MSRR,0
R_11,R_12_MSRR,17.73212525
R_12,R_12_MSRR,17.27592963
R_12_MSRR,R_13_MSRR,0
R_13,R_13_MSRR,1.19007552
R_13_MSRR,R_13_MSRR,0
