USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
S002059,0.00020219999999999998,0,0.00020219999999999998,0,R_06,10000000
S002341,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S004241,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S004997,0.00020219999999999998,0,0.00020219999999999998,0,R_12,10000000
S006298,0.00020219999999999998,0,0.00020219999999999998,0,R_09,10000000
S006491,0.165,0,0.165,0,R_09,10000000
S008080,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000
S008081,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S008118,0.00020219999999999998,0,0.00020219999999999998,0,R_09,10000000
S008121,0.00020219999999999998,0,0.00020219999999999998,0,R_09,10000000
S008122,0.00020219999999999998,0,0.00020219999999999998,0,R_09,10000000
S008348,0.00020219999999999998,0,0.00020219999999999998,0,R_06,10000000
S008384,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S008392,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S008451,0.00020219999999999998,0,0.00020219999999999998,0,R_02,10000000
S008453,0.00020219999999999998,0,0.00020219999999999998,0,R_02,10000000
S008659,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000
S008703,0.00020219999999999998,0,0.00020219999999999998,0,R_12,10000000
S008765,0.99,0,0.99,0,R_05,10000000
S008766,1.01,0,1.01,0,R_05,10000000
S008824,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000
S008910,0.000767167,0,0.000767167,0,R_04,10000000
S009525,0.145,0,0.145,0,R_05,10000000
S010433,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000
S010522,0.00020219999999999998,0,0.00020219999999999998,0,R_01,10000000
S010843,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S010889,0.001666667,0,0.001666667,0,R_04,10000000
S010997,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S010999,0.00020219999999999998,0,0.00020219999999999998,0,R_12,10000000
S011135,0.13,0,0.13,0,R_01,10000000
S012241,0.01,0,0.01,0,R_12,10000000
S012429,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S012430,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S012431,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S012432,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S012433,0.00020219999999999998,0,0.00020219999999999998,0,R_04,10000000
S012484,0.00020219999999999998,0,0.00020219999999999998,0,R_12,10000000
S012533,0.00020219999999999998,0,0.00020219999999999998,0,R_07,10000000
S012593,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S012594,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S012595,0.00020219999999999998,0,0.00020219999999999998,0,R_06,10000000
S012597,0.00020219999999999998,0,0.00020219999999999998,0,R_05,10000000
S012749,0.125,0,0.125,0,R_05,10000000
