USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A001983,N,R_04_MSRR,Y,Y,54,PRE-1949+1949,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,0.0002022,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A003421,N,R_04_MSRR,Y,Y,57,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A003565,N,R_06_MSRR,Y,Y,58,PRE-1949+1949,0.03,0.0002022,0.0002022,0.006670000000000001,0.1,0.09,2.9,3.6,0.21,0.16,0.0002022,0.0002022,N,N,N
A003601,N,R_04_MSRR,Y,Y,59,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.16,4.86,2.26,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A004308,N,R_05_MSRR,Y,Y,61,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.345,2.61,2.16,1.3,0.0002022,0.0002022,0.0002022,N,N,N
A004832,N,R_04_MSRR,Y,Y,62,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.165,16.33,10.46,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A006854,N,R_05_MSRR,Y,Y,66,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006855,N,R_05_MSRR,Y,Y,67,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.18,1.235,4.01,3.15,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A008974,N,R_09_MSRR,Y,Y,68,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A011383,N,R_02_MSRR,Y,Y,71,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.33,10.19,19.45,21.71,9.6,0.0002022,0.0002022,N,N,N
A011846,N,R_09_MSRR,Y,Y,72,PRE-1949+1949,0.0002022,0.0002022,0.66,2.5,3.0,1.665,3.66,4.33,2.66,3.33,2.33,0.0002022,N,N,N
A012919A,N,R_03_MSRR,Y,Y,10000,SCWA + RRFC (1949),9523.33,4503.33,8425.33,12960.66,1804.33,0.0002022,0.0002022,0.0002022,0.0002022,592.33,1159.33,5230.33,N,N,N
A012919B,N,R_03_MSRR,Y,Y,76,SCWA + RRFC (1949),25.36,40.55,100.77,73.16,147.08,222.44,992.43,1228.91,833.22,522.38,193.65,55.67,N,N,N
A012958,N,R_04_MSRR,Y,Y,78,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,2.0,9.215,18.31,43.33,20.1,0.0002022,0.0002022,0.0002022,N,N,N
A013030A,N,R_06_MSRR,Y,Y,79,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013030B,N,R_06_MSRR,Y,Y,80,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.03,18.37,27.2,15.83,4.5,0.0002022,0.0002022,N,N,N
A013126A,N,R_10_MSRR,Y,Y,81,PRE-1949+1949,0.0002022,0.08,0.2,0.06,0.24,0.415,1.54,1.95,0.78,0.0002022,0.0002022,0.0002022,N,N,N
A013126B,N,R_10_MSRR,Y,Y,82,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.1,0.365,1.4,2.0,1.66,0.0002022,0.0002022,0.0002022,N,N,N
A013182A01,N,R_12_MSRR,Y,Y,84,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.33,1.375,2.83,3.0,3.33,0.74,0.0002022,0.0002022,N,N,N
A013182A02,N,R_12_MSRR,Y,Y,85,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.3,0.33,1.2,1.4,1.1,0.6,0.0002022,0.0002022,N,N,N
A013182B,N,R_12_MSRR,Y,Y,86,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,1.2,1.38,5.06,6.0,4.63,2.46,0.0002022,0.0002022,N,N,N
A013217,N,R_12_MSRR,Y,Y,87,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,31.66,38.78,88.45,89.86,78.44,69.19,0.0002022,0.0002022,N,N,N
A013270,N,R_04_MSRR,Y,Y,88,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,6.87,14.84,8.31,6.16,0.0002022,0.0002022,0.0002022,N,N,N
A013277,N,R_09_MSRR,Y,Y,89,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.33,0.0002022,0.115,0.26,3.26,2.13,0.0002022,0.0002022,0.0002022,N,N,N
A013281A01,N,R_12_MSRR,Y,Y,474,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,5.0,7.83,17.64,17.68,17.08,6.57,0.0002022,0.0002022,N,N,N
A013281A02,N,R_12_MSRR,Y,Y,475,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,1.66,5.125,11.43,13.64,10.17,7.87,0.0002022,0.0002022,N,N,N
A013281A03,N,R_12_MSRR,Y,Y,476,1971-1990,0.0002022,0.0002022,0.0002022,0.0002022,0.7,0.815,3.03,3.56,2.73,1.46,0.0002022,0.0002022,N,N,N
A013281B,N,R_12_MSRR,Y,Y,90,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013287,N,R_04_MSRR,Y,Y,91,PRE-1949+1949,0.0002022,0.0002022,1.03,1.53,2.66,1.4,4.53,2.86,1.3,1.03,0.0002022,0.0002022,N,N,N
A013288,N,R_04_MSRR,Y,Y,92,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.38,9.7,7.73,6.5,8.9,0.0002022,0.0002022,N,N,N
A013289,N,R_09_MSRR,Y,Y,93,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.55,2.5,1.4,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013331,N,R_12_MSRR,Y,Y,94,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.2,0.14,0.165,1.41,1.76,1.18,0.94,0.14,0.0002022,N,N,N
A013391,N,R_12_MSRR,Y,Y,95,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013468,N,R_12_MSRR,Y,Y,96,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.29,0.29,0.58,0.49,0.54,0.39,0.0002022,0.0002022,N,N,N
A013474,N,R_10_MSRR,Y,Y,97,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.41,0.875,4.48,6.55,6.38,0.45,0.29,0.0002022,N,N,N
A013528,N,R_05_MSRR,Y,Y,98,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.44,1.36,4.9,3.69,2.41,1.11,0.0002022,0.0002022,N,N,N
A013529,N,R_02_MSRR,Y,Y,99,1950-1952,0.0002022,0.0002022,3.83,3.0,3.31,1.85,4.22,1.03,2.54,3.58,0.0002022,0.0002022,N,N,N
A013706,N,R_02_MSRR,Y,Y,107,1950-1952,0.0002022,0.0002022,0.0002022,1.26,1.26,0.63,1.53,1.53,1.53,1.26,0.0002022,0.0002022,N,N,N
A013749,N,R_06_MSRR,Y,Y,110,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,2.2,0.0002022,2.43,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013753,N,R_06_MSRR,Y,Y,111,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.002783334,0.00557,0.00557,0.00233,0.0002022,0.0002022,0.0002022,N,N,N
A013755,N,R_06_MSRR,Y,Y,112,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.97,2.29,12.33,5.52,7.83,0.35,0.0002022,0.0002022,N,N,N
A013758,N,R_09_MSRR,Y,Y,113,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.65,5.3,5.3,5.3,0.0002022,0.0002022,0.0002022,N,N,N
A013789,N,R_10_MSRR,Y,Y,114,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013810,N,R_09_MSRR,Y,Y,115,1950-1952,0.43,0.38,0.36,0.45,0.55,0.225,0.49,2.31,0.63,0.35,0.17,0.31,N,N,N
