Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1/1/2022,545.90,401.10,49.90,162.20,316.80,622.60,55.66,140.00,170.40,88.90,186.90,199.60,8.74,121.20,35.65,154.40,63.18,234.30,66.88,316.30,324.90,560.60,39.80,186.11,9.58,12.90,154.06,64.88
1/2/2022,476.60,361.40,44.51,140.90,280.90,552.10,50.88,127.50,153.00,80.59,168.90,180.50,7.70,108.60,32.85,139.10,57.53,215.70,59.53,283.30,292.90,494.50,36.23,166.00,9.53,11.72,135.18,58.24
1/3/2022,444.00,375.40,41.88,135.20,261.90,595.60,69.08,199.70,162.10,147.70,185.50,230.40,14.98,144.00,51.12,259.00,103.80,326.10,74.39,316.80,285.10,495.70,33.14,149.06,9.58,10.86,119.58,52.58
1/4/2022,733.10,443.60,53.88,242.90,354.40,710.60,56.82,161.60,207.30,96.79,221.40,214.30,9.04,136.80,38.80,171.90,64.81,344.10,100.40,334.70,453.60,632.20,191.53,405.15,225.92,159.87,467.59,510.17
1/5/2022,544.80,376.40,46.91,185.70,300.40,580.70,52.23,144.10,165.10,87.94,169.10,179.40,8.00,118.30,35.42,153.80,59.52,254.50,67.22,316.60,318.90,528.90,46.12,180.20,16.65,19.20,150.98,73.26
1/6/2022,439.20,325.10,39.74,135.70,253.70,499.80,48.20,130.30,142.10,78.99,155.20,163.10,7.00,103.80,32.36,137.30,54.02,231.60,59.73,259.00,287.50,452.30,31.62,143.46,12.58,13.93,127.24,60.33
1/7/2022,508.30,388.60,43.05,177.10,274.20,517.60,50.71,147.90,155.40,84.56,150.60,161.90,7.36,108.90,33.45,142.70,57.83,237.70,63.81,397.70,315.60,467.00,58.38,180.73,33.71,30.47,153.65,100.66
1/8/2022,445.60,308.60,44.04,176.10,262.30,495.40,44.58,123.60,141.20,72.20,149.80,151.60,6.08,99.43,29.97,124.60,49.31,227.00,61.37,288.60,306.40,438.70,67.61,188.17,42.50,36.61,157.67,115.05
1/9/2022,372.50,287.90,36.40,122.40,224.70,428.70,41.48,113.20,123.90,66.72,132.70,137.30,5.50,89.12,28.06,114.40,45.77,201.00,50.85,252.30,259.40,384.50,27.62,122.02,10.14,10.47,98.40,45.09
1/10/2022,333.10,266.30,33.27,108.80,207.30,396.80,38.62,104.90,115.30,61.47,124.50,128.10,4.95,82.19,26.25,105.00,42.74,187.80,46.57,230.20,240.70,353.60,25.73,112.17,9.90,9.69,89.10,41.56
