BASIN,FLOWS_TO,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10
R_01,R_04_M,15889.37982,2023.793945,969.4804666,3132.494171,850.5714401,581.4740652,81.2429312,43.5768359,29.3156866,22.7107315
R_02,R_02_M,13401.63241,2766.702634,1087.298585,1742.597403,462.6245428,390.9022676,53.8115411,29.1173396,20.1322205,15.9470988
R_02_M,R_03_M,0,0,0,0,0,0,0,0,0,0
R_03,R_03_M,1590.465254,297.0047978,117.5999363,240.4957375,67.7355005,47.9801393,8.1123923,4.4231381,3.0148744,2.3206599
R_03_M,R_04_M,0,0,0,0,0,0,0,0,0,0
R_04,R_04_M,5112.175743,635.9401514,635.9599861,2506.828394,546.5054891,459.0146274,40.8396473,20.5289145,13.8049512,10.8495809
R_04_M,R_05_M,0,0,0,0,0,0,0,0,0,0
R_05,R_05_M,10219.13496,2108.071585,822.1879844,1353.956291,330.7832919,242.9949097,38.479318,21.421476,14.9156944,11.90082
R_05_M,R_06_M,0,0,0,0,0,0,0,0,0,0
R_06,R_06_M,19731.36121,3653.25422,1508.964472,2630.894443,668.0723654,535.7550817,84.5156567,45.9768346,31.6363465,25.0710608
R_06_M,R_09_M,0,0,0,0,0,0,0,0,0,0
R_07,R_08,1891.456827,315.0345401,116.5288625,182.1420501,45.818157,48.6743538,8.0925576,4.3437993,2.9157009,2.2413211
R_08,R_09_M,5153.669936,946.9284127,542.3600368,949.2292379,127.4379475,238.7304492,26.6380021,15.0347026,10.8297462,8.7867721
R_09,R_09_M,5687.659729,1084.640735,630.7037906,1124.429143,213.8379007,274.5519174,32.2512222,18.1487505,12.6347039,10.0760276
R_09_M,R_10_M,0,0,0,0,0,0,0,0,0,0
R_10,R_10_M,3126.96029,572.4096073,268.760185,398.0625943,60.495835,112.9387818,14.3206534,8.2115658,5.95041,4.8793362
R_10_M,R_12_M,0,0,0,0,0,0,0,0,0,0
R_11,R_12_M,6408.135372,1470.108295,593.2162076,667.0012916,136.2842237,174.3668477,21.7785006,11.90082,8.3504087,6.6842939
R_12,R_12_M,6500.684082,1273.923277,520.5418668,539.3451624,100.0660615,137.8709997,21.5999883,13.090902,9.6396642,7.9140453
R_12_M,R_13_M,0,0,0,0,0,0,0,0,0,0
R_13,R_13_M,252.8329209,28.4032904,19.4181713,36.5355174,5.7123936,10.9685891,1.4876025,0.8925615,0.595041,0.6148757
R_13_M,R_13_M,0,0,0,0,0,0,0,0,0,0
R_14,R_14_M,4070.71515,810.2078256,361.1105482,426.2675377,90.9222648,116.4693584,17.5537095,9.8181765,6.8033021,5.3950384
R_14_M,R_15_M,0,0,0,0,0,0,0,0,0,0
R_15,R_15_M,1321.447218,276.9320814,103.1801094,99.4908552,17.2165196,26.1024652,4.2446258,2.6181804,1.8446271,1.5669413
R_15_M,R_16_M,0,0,0,0,0,0,0,0,0,0
R_16,R_16_M,5352.691316,988.3432663,429.3419162,528.7534326,94.6710231,165.2032163,23.3652766,13.6462736,9.8578459,7.9735494
R_16_M,R_17_M,0,0,0,0,0,0,0,0,0,0
R_17,R_17_M,2221.506235,465.7782601,246.8230068,338.7965107,59.1867448,81.0247495,12.0396629,6.6446245,4.5818157,3.6099154
R_17_M,R_18_M,0,0,0,0,0,0,0,0,0,0
R_18,R_18_M,9470.275862,1823.919673,700.9384633,972.4556716,172.8792452,218.776741,30.0892399,16.3437928,11.305779,8.9454497
R_18_M,R_19_M,0,0,0,0,0,0,0,0,0,0
R_19,R_19_M,2271.807034,324.9915595,158.5387571,356.2907161,51.8875752,66.9817819,9.91735,5.7322283,4.0462788,3.2727255
R_19_M,R_21_M,0,0,0,0,0,0,0,0,0,0
R_20,R_21_M,10862.03709,1787.919693,2603.106028,5515.0185,1920.613836,748.164884,108.0594456,43.9338605,25.586763,18.4264363
R_21,R_21_M,11615.06148,2121.856702,860.627633,1731.331294,422.0427466,363.3121999,52.7999714,25.6859365,16.859495,13.0313979
R_21_M,R_21_M,0,0,0,0,0,0,0,0,0,0
R_22,R_14_M,17228.42042,3290.993259,1683.866857,2247.251675,771.2921442,678.5649217,246.2478005,185.652792,139.636288,107.4247352
R_23,R_24_M,1673.790829,252.1982105,491.6427089,1017.956473,102.4263908,149.1767787,21.1636249,15.1338761,19.8148653,48.1586516
R_24,R_24_M,5812.57867,789.4408947,792.3764303,1455.985988,310.3138815,186.3668412,44.5090668,15.2330496,18.8826344,155.3850398
R_24_M,R_18_M,0,0,0,0,0,0,0,0,0,0
R_25,R_24_M,1090.531641,332.8857701,504.6741068,1074.525038,131.3850528,55.7751764,0,0,0,0
R_26,R_25,920.7862781,268.0064664,607.933555,1367.58273,131.4643916,234.0891294,0,0,0,0
R_27,R_26,4914.165933,745.8045547,1141.367977,2456.626769,571.3186988,979.83418,279.0345596,231.1535938,220.0461618,465.1832191
R_28,R_25,3106.510714,485.1369273,1035.728365,2358.04831,265.5469636,588.8327389,56.3503827,38.1222934,49.4677418,103.3586217
