Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1/1/2022,545.9,401.1,49.9,162.2,316.8,622.6,55.66,140,170.4,88.9,186.9,199.6,8.74,121.2,35.65,154.4,63.18,234.3,66.88,316.3,324.9,560.6,39.8,186.11,9.58,12.9,154.06,64.88
1/2/2022,476.6,361.4,44.51,140.9,280.9,552.1,50.88,127.5,153,80.59,168.9,180.5,7.7,108.6,32.85,139.1,57.53,215.7,59.53,283.3,292.9,494.5,36.23,166,9.53,11.72,135.18,58.24
1/3/2022,444,375.4,41.88,135.2,261.9,595.6,69.08,199.7,162.1,147.7,185.5,230.4,14.98,144,51.12,259,103.8,326.1,74.39,316.8,285.1,495.7,33.14,149.06,9.58,10.86,119.58,52.58
1/4/2022,733.1,443.6,53.88,242.9,354.4,710.6,56.82,161.6,207.3,96.79,221.4,214.3,9.04,136.8,38.8,171.9,64.81,344.1,100.4,334.7,453.6,632.2,191.53,405.15,225.92,159.87,467.59,510.17
1/5/2022,544.8,376.4,46.91,185.7,300.4,580.7,52.23,144.1,165.1,87.94,169.1,179.4,8,118.3,35.42,153.8,59.52,254.5,67.22,316.6,318.9,528.9,46.12,180.2,16.65,19.2,150.98,73.26
1/6/2022,439.2,325.1,39.74,135.7,253.7,499.8,48.2,130.3,142.1,78.99,155.2,163.1,7,103.8,32.36,137.3,54.02,231.6,59.73,259,287.5,452.3,31.62,143.46,12.58,13.93,127.24,60.33
1/7/2022,508.3,388.6,43.05,177.1,274.2,517.6,50.71,147.9,155.4,84.56,150.6,161.9,7.36,108.9,33.45,142.7,57.83,237.7,63.81,397.7,315.6,467,58.38,180.73,33.71,30.47,153.65,100.66
1/8/2022,445.6,308.6,44.04,176.1,262.3,495.4,44.58,123.6,141.2,72.2,149.8,151.6,6.08,99.43,29.97,124.6,49.31,227,61.37,288.6,306.4,438.7,67.61,188.17,42.5,36.61,157.67,115.05
1/9/2022,372.5,287.9,36.4,122.4,224.7,428.7,41.48,113.2,123.9,66.72,132.7,137.3,5.5,89.12,28.06,114.4,45.77,201,50.85,252.3,259.4,384.5,27.62,122.02,10.14,10.47,98.4,45.09
1/10/2022,333.1,266.3,33.27,108.8,207.3,396.8,38.62,104.9,115.3,61.47,124.5,128.1,4.95,82.19,26.25,105,42.74,187.8,46.57,230.2,240.7,353.6,25.73,112.17,9.9,9.69,89.1,41.56
1/11/2022,297.6,247.6,30.45,96.45,191.4,367.1,36.02,97.38,106.9,57.04,116.7,119.5,4.5,75.8,24.59,97.39,39.95,176.2,42.61,210,222.4,324.1,23.7,102.35,9.49,9.1,80.12,37.58
1/12/2022,271.2,232.6,28.27,87.5,178.2,340.8,33.52,90.5,99.56,53.45,110.1,112.3,4.14,70.36,23.21,90.61,37.68,165.4,39.2,193,207.2,298.2,21.82,93.1,9.08,8.73,71.8,34.11
1/13/2022,246.3,218.5,26.25,79.08,166.4,318.2,31.45,84.67,93.16,50.07,104.2,105.7,3.8,65.67,21.93,84.64,35.56,156.9,36.39,178.6,193.8,276.4,20.33,85.32,9.01,8.39,65.13,31.84
