,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
0,A002723,0.00020219999999999998,0,0.0002022,0.0,R_01,55
2,A004307,0.00020219999999999998,0,0.0002022,0.0,R_01,60
3,A006464,0.00020219999999999998,0,0.0002022,0.0,R_01,63
4,A006642,0.00020219999999999998,0,0.0002022,0.0,R_01,64
5,A006805A,0.00020219999999999998,0,0.0002022,0.0,R_01,65
6,A009832A,0.00322233,0,0.0032223340000000003,0.0,R_01,69
7,A009832B,0.00020219999999999998,0,0.0002022,0.0,R_01,70
32,A015610,0.00020219999999999998,0,0.0002022,0.0,R_01,194
33,A015663,0.00020219999999999998,0,0.0002022,0.0,R_01,195
38,A016347,0.00020219999999999998,0,0.0002022,0.0,R_01,225
45,A017091A,0.00020219999999999998,0,0.0002022,0.0,R_01,246
46,A017091B,0.00020219999999999998,0,0.0002022,0.0,R_01,247
47,A017091C,0.00020219999999999998,0,0.0002022,0.0,R_01,248
48,A017240,0.165,0,0.165,0.0,R_01,253
52,A017868,0.00020219999999999998,0,0.0002022,0.0,R_01,263
57,A018274A,0.00020219999999999998,0,0.0002022,0.0,R_01,275
58,A018274B,0.00020219999999999998,0,0.0002022,0.0,R_01,276
59,A018328,0.00020219999999999998,0,0.0002022,0.0,R_01,277
60,A018648,0.25,0,0.25,0.0,R_01,279
65,A019336,0.00020219999999999998,0,0.0002022,0.0,R_01,286
71,A020657,0.2,0,0.2,0.0,R_01,296
73,A020791,0.00020219999999999998,0,0.0002022,0.0,R_01,299
77,A020872,0.00020219999999999998,0,0.0002022,0.0,R_01,303
81,A020963,2.165,0,2.165,0.0,R_01,307
83,A021121,0.00020219999999999998,0,0.0002022,0.0,R_01,309
88,A021429A,0.00020219999999999998,0,0.0002022,0.0,R_01,317
89,A021429B,0.00020219999999999998,0,0.0002022,0.0,R_01,318
90,A021429C,0.225,0,0.225,0.0,R_01,319
94,A021596,4.6e-05,0,4.6e-05,0.0,R_01,325
101,A021809,0.915,0,0.915,0.0,R_01,333
106,A021950,0.00020219999999999998,0,0.0002022,0.0,R_01,346
107,A021966,0.00020219999999999998,0,0.0002022,0.0,R_01,347
112,A022277,0.00020219999999999998,0,0.0002022,0.0,R_01,354
125,A023282,0.00020219999999999998,0,0.0002022,0.0,R_01,383
128,A023337,0.00020219999999999998,0,0.0002022,0.0,R_01,387
129,A023399,0.00020219999999999998,0,0.0002022,0.0,R_01,391
130,A023408,0.00020219999999999998,0,0.0002022,0.0,R_01,392
131,A023451,0.00020219999999999998,0,0.0002022,0.0,R_01,394
133,A023488,0.00020219999999999998,0,0.0002022,0.0,R_01,396
134,A023489,0.33,0,0.33,0.0,R_01,397
135,A023536,0.00020219999999999998,0,0.0002022,0.0,R_01,400
137,A023558,0.00020219999999999998,0,0.0002022,0.0,R_01,402
138,A023605,0.00020219999999999998,0,0.0002022,0.0,R_01,404
139,A023615,0.00020219999999999998,0,0.0002022,0.0,R_01,405
140,A023654A,0.00020219999999999998,0,0.0002022,0.0,R_01,407
141,A023654B,2.665,0,2.665,0.0,R_01,408
148,A023707,0.165,0,0.165,0.0,R_01,419
149,A023737,0.00020219999999999998,0,0.0002022,0.0,R_01,420
150,A023748,0.665,0,0.665,0.0,R_01,421
151,A023792,0.00020219999999999998,0,0.0002022,0.0,R_01,422
154,A023802,0.00020219999999999998,0,0.0002022,0.0,R_01,425
156,A023836,0.00020219999999999998,0,0.0002022,0.0,R_01,428
159,A023868,0.00020219999999999998,0,0.0002022,0.0,R_01,431
160,A023869,0.00020219999999999998,0,0.0002022,0.0,R_01,760
162,A023895,0.00020219999999999998,0,0.0002022,0.0,R_01,433
164,A023949,0.00020219999999999998,0,0.0002022,0.0,R_01,438
165,A024010,0.665,0,0.665,0.0,R_01,439
167,A024025,0.00020219999999999998,0,0.0002022,0.0,R_01,443
168,A024028,0.00020219999999999998,0,0.0002022,0.0,R_01,444
169,A024044,0.00020219999999999998,0,0.0002022,0.0,R_01,445
171,A024056,0.00020219999999999998,0,0.0002022,0.0,R_01,449
172,A024104,0.00020219999999999998,0,0.0002022,0.0,R_01,451
173,A024126,0.00020219999999999998,0,0.0002022,0.0,R_01,452
174,A024130,0.00020219999999999998,0,0.0002022,0.0,R_01,453
178,A024344,0.00020219999999999998,0,0.0002022,0.0,R_01,471
182,A024405,0.00020219999999999998,0,0.0002022,0.0,R_01,478
184,A024425,0.00020219999999999998,0,0.0002022,0.0,R_01,480
186,A024488,0.00020219999999999998,0,0.0002022,0.0,R_01,482
187,A024502,0.00020219999999999998,0,0.0002022,0.0,R_01,483
194,A024725,0.33,0,0.33,0.0,R_01,496
195,A024774,0.205,0,0.205,0.0,R_01,499
197,A024805,0.00020219999999999998,0,0.0002022,0.0,R_01,504
204,A024959,0.00020219999999999998,0,0.0002022,0.0,R_01,529
209,A024996,0.00020219999999999998,0,0.0002022,0.0,R_01,537
217,A025334,0.00020219999999999998,0,0.0002022,0.0,R_01,557
220,A025600,0.00020219999999999998,0,0.0002022,0.0,R_01,561
221,A025740,0.00020219999999999998,0,0.0002022,0.0,R_01,568
225,A025823A01,0.00020219999999999998,0,0.0002022,0.0,R_01,574
226,A025823A02,0.00020219999999999998,0,0.0002022,0.0,R_01,575
227,A025823A03,0.00020219999999999998,0,0.0002022,0.0,R_01,576
228,A025823B,0.00020219999999999998,0,0.0002022,0.0,R_01,577
233,A026022A,0.00020219999999999998,0,0.0002022,0.0,R_01,584
234,A026022B,0.00020219999999999998,0,0.0002022,0.0,R_01,585
235,A026055A,0.00020219999999999998,0,0.0002022,0.0,R_01,586
236,A026055B,0.00020219999999999998,0,0.0002022,0.0,R_01,587
237,A026079,0.00020219999999999998,0,0.0002022,0.0,R_01,588
238,A026110,0.00020219999999999998,0,0.0002022,0.0,R_01,589
240,A026143,0.00020219999999999998,0,0.0002022,0.0,R_01,591
245,A026201,0.00020219999999999998,0,0.0002022,0.0,R_01,596
247,A026250,0.00020219999999999998,0,0.0002022,0.0,R_01,598
254,A026927,0.00020219999999999998,0,0.0002022,0.0,R_01,606
256,A027036,0.00020219999999999998,0,0.0002022,0.0,R_01,608
259,A027301,0.00020219999999999998,0,0.0002022,0.0,R_01,611
261,A027460,0.00107417,0,0.001074167,0.0,R_01,614
265,A027791,0.00020219999999999998,0,0.0002022,0.0,R_01,622
270,A028127,0.00020219999999999998,0,0.0002022,0.0,R_01,630
274,A028632,0.00020219999999999998,0,0.0002022,0.0,R_01,634
275,A028633,0.00020219999999999998,0,0.0002022,0.0,R_01,635
276,A028635,0.00020219999999999998,0,0.0002022,0.0,R_01,636
277,A028636,0.015,0,0.015,0.0,R_01,637
278,A028640,0.00020219999999999998,0,0.0002022,0.0,R_01,638
279,A028641,0.00020219999999999998,0,0.0002022,0.0,R_01,639
280,A028642,0.00020219999999999998,0,0.0002022,0.0,R_01,640
281,A028643,0.00020219999999999998,0,0.0002022,0.0,R_01,641
282,A028647,0.00020219999999999998,0,0.0002022,0.0,R_01,642
283,A028648,0.00118925,0,0.00118925,0.0,R_01,643
284,A028649,0.00020219999999999998,0,0.0002022,0.0,R_01,644
