,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
6,S008080,0.0002022,0,0.0002022,0.0,R_01,10000000
16,S008659,0.0002022,0,0.0002022,0.0,R_01,10000000
20,S008824,0.0002022,0,0.0002022,0.0,R_01,10000000
23,S010433,0.0002022,0,0.0002022,0.0,R_01,10000000
24,S010522,0.0002022,0,0.0002022,0.0,R_01,10000000
29,S011135,0.13,0,0.13,0.0,R_01,10000000
51,S014016,0.0002022,0,0.0002022,0.0,R_01,10000000
56,S014292,0.065,0,0.065,0.0,R_01,10000000
57,S014293,0.035,0,0.035,0.0,R_01,10000000
62,S014861,0.33,0,0.33,0.0,R_01,10000000
63,S014862,0.13,0,0.13,0.0,R_01,10000000
64,S014863,0.065,0,0.065,0.0,R_01,10000000
65,S014864,0.265,0,0.265,0.0,R_01,10000000
66,S014865,0.265,0,0.265,0.0,R_01,10000000
67,S014866,0.065,0,0.065,0.0,R_01,10000000
77,S014996,0.0002022,0,0.0002022,0.0,R_01,10000000
78,S015303,0.005,0,0.005,0.0,R_01,10000000
79,S015353,0.065,0,0.065,0.0,R_01,10000000
85,S015641,0.0003,0,0.0003,0.0,R_01,10000000
91,S015746,0.0002022,0,0.0002022,0.0,R_01,10000000
138,S016897,0.0002022,0,0.0002022,0.0,R_01,10000000
146,S017203,0.0002022,0,0.0002022,0.0,R_01,10000000
151,S017742,0.0002022,0,0.0002022,0.0,R_01,10000000
152,S017745,0.0002022,0,0.0002022,0.0,R_01,10000000
153,S017748,0.005,0,0.005,0.0,R_01,10000000
154,S017751,0.225,0,0.225,0.0,R_01,10000000
170,S018479,0.0002022,0,0.0002022,0.0,R_01,10000000
174,S018503,0.0002022,0,0.0002022,0.0,R_01,10000000
176,S019039,1.42,0,1.42,0.0,R_01,10000000
182,S019386,0.0002022,0,0.0002022,0.0,R_01,10000000
183,S019394,0.0002022,0,0.0002022,0.0,R_01,10000000
184,S019594,0.055,0,0.055,0.0,R_01,10000000
192,S019924,0.165,0,0.165,0.0,R_01,10000000
193,S019943,0.0002022,0,0.0002022,0.0,R_01,10000000
195,S020148,0.0002022,0,0.0002022,0.0,R_01,10000000
196,S020152,0.0002022,0,0.0002022,0.0,R_01,10000000
205,S020523,0.0038333340000000003,0,0.0038333340000000003,0.0,R_01,10000000
206,S020527,0.005,0,0.005,0.0,R_01,10000000
207,S020627,1.665,0,1.665,0.0,R_01,10000000
212,S021321,0.29,0,0.29,0.0,R_01,10000000
214,S021352,0.0002022,0,0.0002022,0.0,R_01,10000000
215,S021386,0.0002022,0,0.0002022,0.0,R_01,10000000
224,S021482,0.0002022,0,0.0002022,0.0,R_01,10000000
225,S021483,0.0002022,0,0.0002022,0.0,R_01,10000000
226,S021484,0.0002022,0,0.0002022,0.0,R_01,10000000
227,S021487,0.0002022,0,0.0002022,0.0,R_01,10000000
243,S022130,0.0002022,0,0.0002022,0.0,R_01,10000000
244,S022312,0.0002022,0,0.0002022,0.0,R_01,10000000
271,S023462,0.0002022,0,0.0002022,0.0,R_01,10000000
272,S023681,0.0002022,0,0.0002022,0.0,R_01,10000000
273,S023685,0.0002022,0,0.0002022,0.0,R_01,10000000
284,S023959,0.0002022,0,0.0002022,0.0,R_01,10000000
285,S023960,0.025,0,0.025,0.0,R_01,10000000
303,S025576,0.395,0,0.395,0.0,R_01,10000000
304,S026053,0.0002022,0,0.0002022,0.0,R_01,10000000
305,S026054,0.0002022,0,0.0002022,0.0,R_01,10000000
307,S026284,0.0018414999999999998,0,0.0018414999999999998,0.0,R_01,10000000
309,S026323,0.0002022,0,0.0002022,0.0,R_01,10000000
317,S026687,0.005,0,0.005,0.0,R_01,10000000
318,S026690,0.01,0,0.01,0.0,R_01,10000000
319,S026692,0.003,0,0.003,0.0,R_01,10000000
322,S026792,0.0002022,0,0.0002022,0.0,R_01,10000000
323,S026794,0.0002022,0,0.0002022,0.0,R_01,10000000
338,S027190,0.0002022,0,0.0002022,0.0,R_01,10000000
343,S027379,0.065,0,0.065,0.0,R_01,10000000
347,S027502,0.0002022,0,0.0002022,0.0,R_01,10000000
357,S028118,0.0002022,0,0.0002022,0.0,R_01,10000000
363,S028364,0.0002022,0,0.0002022,0.0,R_01,10000000
14,S008451,0.0002022,0,0.0002022,0.0,R_02,10000000
15,S008453,0.0002022,0,0.0002022,0.0,R_02,10000000
49,S013947,2.0,0,2.0,0.0,R_02,10000000
58,S014313,0.0002022,0,0.0002022,0.0,R_02,10000000
116,S016698,0.0002022,0,0.0002022,0.0,R_02,10000000
117,S016708,0.0002022,0,0.0002022,0.0,R_02,10000000
140,S016911,0.35,0,0.35,0.0,R_02,10000000
149,S017474,0.0002022,0,0.0002022,0.0,R_02,10000000
181,S019287,0.0002022,0,0.0002022,0.0,R_02,10000000
216,S021387,0.01,0,0.01,0.0,R_02,10000000
268,S022895,0.0002022,0,0.0002022,0.0,R_02,10000000
290,S024188,0.18,0,0.18,0.0,R_02,10000000
296,S024452,9.67,0,9.67,0.0,R_02,10000000
308,S026314,0.0002022,0,0.0002022,0.0,R_02,10000000
328,S026992,0.0002022,0,0.0002022,0.0,R_02,10000000
329,S027032,0.0002022,0,0.0002022,0.0,R_02,10000000
330,S027035,0.015,0,0.015,0.0,R_02,10000000
336,S027137,0.000614,0,0.000614,0.0,R_02,10000000
361,S028307,0.0002022,0,0.0002022,0.0,R_02,10000000
1,S008071,4.28768424,1,9.18,53.2932,R_02_MSRR,10000000
6,S008184,0.17748584,1,0.38,53.2932,R_02_MSRR,10000000
35,S014373,1.05790902,1,2.265,53.2932,R_02_MSRR,10000000
36,S014374,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
42,S015023,0.34796566,1,0.745,53.2932,R_02_MSRR,10000000
54,S015147,0.007006019999999999,1,0.015,53.29320000000001,R_02_MSRR,10000000
111,S016093,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
127,S016707,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
128,S016812,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
130,S017348,0.62120044,1,1.33,53.29320000000001,R_02_MSRR,10000000
139,S018277,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
140,S018387,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
164,S021388,0.01634738,1,0.035,53.2932,R_02_MSRR,10000000
176,S022156,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
177,S022335,0.1284437,1,0.275,53.29320000000001,R_02_MSRR,10000000
188,S023470,0.21718662,1,0.465,53.29320000000001,R_02_MSRR,10000000
195,S024104,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
209,S026091,0.00233534,1,0.005,53.2932,R_02_MSRR,10000000
211,S026633,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
212,S026879,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
213,S027405,9.44411496e-05,1,0.0002022,53.2932,R_02_MSRR,10000000
362,S028309,0.0002022,0,0.0002022,0.0,R_03,10000000
2,S004241,0.0002022,0,0.0002022,0.0,R_04,10000000
13,S008392,0.0002022,0,0.0002022,0.0,R_04,10000000
21,S008910,0.000767167,0,0.000767167,0.0,R_04,10000000
25,S010843,0.0002022,0,0.0002022,0.0,R_04,10000000
26,S010889,0.0016666670000000001,0,0.0016666670000000001,0.0,R_04,10000000
31,S012429,0.0002022,0,0.0002022,0.0,R_04,10000000
32,S012430,0.0002022,0,0.0002022,0.0,R_04,10000000
33,S012431,0.0002022,0,0.0002022,0.0,R_04,10000000
34,S012432,0.0002022,0,0.0002022,0.0,R_04,10000000
35,S012433,0.0002022,0,0.0002022,0.0,R_04,10000000
43,S012751,0.0002022,0,0.0002022,0.0,R_04,10000000
44,S013187,0.0002022,0,0.0002022,0.0,R_04,10000000
50,S013977,0.18,0,0.18,0.0,R_04,10000000
60,S014724,0.0002022,0,0.0002022,0.0,R_04,10000000
61,S014749,0.0002022,0,0.0002022,0.0,R_04,10000000
82,S015414,0.0002022,0,0.0002022,0.0,R_04,10000000
84,S015621,0.355,0,0.355,0.0,R_04,10000000
150,S017657,0.0023,0,0.0023,0.0,R_04,10000000
185,S019643,0.0002022,0,0.0002022,0.0,R_04,10000000
245,S022313,0.0002022,0,0.0002022,0.0,R_04,10000000
246,S022314,0.0002022,0,0.0002022,0.0,R_04,10000000
294,S024410,0.05,0,0.05,0.0,R_04,10000000
300,S024552,0.01,0,0.01,0.0,R_04,10000000
316,S026678,0.002557334,0,0.002557334,0.0,R_04,10000000
339,S027304,0.065,0,0.065,0.0,R_04,10000000
340,S027305,0.01,0,0.01,0.0,R_04,10000000
342,S027372,0.01,0,0.01,0.0,R_04,10000000
344,S027382,0.004637167,0,0.004637167,0.0,R_04,10000000
346,S027491,0.01,0,0.01,0.0,R_04,10000000
7,S008596,0.19616856,1,0.42,53.2932,R_04_MSRR,10000000
10,S013153,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
34,S014322,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
60,S015228,12.1320913,1,25.975,53.2932,R_04_MSRR,10000000
74,S015362,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
81,S015532,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
88,S015800,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
119,S016366,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
120,S016367,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
121,S016368,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
122,S016369,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
123,S016370,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
158,S020709,10.35022688,1,22.16,53.29320000000001,R_04_MSRR,10000000
161,S021381,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
162,S021384,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
163,S021385,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
169,S021475,6.03451856,1,12.92,53.29320000000001,R_04_MSRR,10000000
210,S026217,0.92712998,1,1.985,53.29320000000001,R_04_MSRR,10000000
215,S028323,9.44411496e-05,1,0.0002022,53.2932,R_04_MSRR,10000000
1,S002341,0.0002022,0,0.0002022,0.0,R_05,10000000
7,S008081,0.0002022,0,0.0002022,0.0,R_05,10000000
12,S008384,0.0002022,0,0.0002022,0.0,R_05,10000000
18,S008765,0.99,0,0.99,0.0,R_05,10000000
19,S008766,1.01,0,1.01,0.0,R_05,10000000
22,S009525,0.145,0,0.145,0.0,R_05,10000000
27,S010997,0.0002022,0,0.0002022,0.0,R_05,10000000
38,S012593,0.0002022,0,0.0002022,0.0,R_05,10000000
39,S012594,0.0002022,0,0.0002022,0.0,R_05,10000000
41,S012597,0.0002022,0,0.0002022,0.0,R_05,10000000
42,S012749,0.125,0,0.125,0.0,R_05,10000000
80,S015403,0.0002022,0,0.0002022,0.0,R_05,10000000
81,S015404,0.0002022,0,0.0002022,0.0,R_05,10000000
86,S015689,0.0002022,0,0.0002022,0.0,R_05,10000000
90,S015745,0.08,0,0.08,0.0,R_05,10000000
