BASIN,FLOWS_TO,2022-07,2022-08,2022-09,2022-10
R_01,R_04_M,81.2429312,43.5768359,29.3156866,22.7107315
R_02,R_02_M,53.8115411,29.1173396,20.1322205,15.9470988
R_02_M,R_03_M,0,0,0,0
R_03,R_03_M,8.1123923,4.4231381,3.0148744,2.3206599
R_03_M,R_04_M,0,0,0,0
R_04,R_04_M,40.8396473,20.5289145,13.8049512,10.8495809
R_04_M,R_05_M,0,0,0,0
R_05,R_05_M,38.479318,21.421476,14.9156944,11.90082
R_05_M,R_06_M,0,0,0,0
R_06,R_06_M,84.5156567,45.9768346,31.6363465,25.0710608
R_06_M,R_09_M,0,0,0,0
R_07,R_08,8.0925576,4.3437993,2.9157009,2.2413211
R_08,R_09_M,26.6380021,15.0347026,10.8297462,8.7867721
R_09,R_09_M,32.2512222,18.1487505,12.6347039,10.0760276
R_09_M,R_10_M,0,0,0,0
R_10,R_10_M,14.3206534,8.2115658,5.95041,4.8793362
R_10_M,R_12_M,0,0,0,0
R_11,R_12_M,21.7785006,11.90082,8.3504087,6.6842939
R_12,R_12_M,21.5999883,13.090902,9.6396642,7.9140453
R_12_M,R_13_M,0,0,0,0
R_13,R_13_M,1.4876025,0.8925615,0.595041,0.6148757
R_13_M,R_13_M,0,0,0,0
