USER,RIPARIAN,BASIN,MAINSTEM,UPPER_RUSSIAN,PRIORITY,PRIORITY_CLASS,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,NULL_DEMAND,ZERO_DEMAND,MAY_SEPT_ZERO_DEMAND
A002723,N,R_01,N,Y,55,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A002928,N,R_13,N,Y,56,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A004307,N,R_01,N,Y,60,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006464,N,R_01,N,Y,63,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006642,N,R_01,N,Y,64,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A006805A,N,R_01,N,Y,65,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A009832A,N,R_01,N,Y,69,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0066,0.0032223340000000003,0.00824,0.00829,0.009559999999999999,0.00035800000000000003,0.0002022,0.0002022,N,N,N
A009832B,N,R_01,N,Y,70,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A012232,N,R_05,N,Y,73,PRE-1949+1949,36.3,1.1,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.63,0.0002022,4.93,29.8,31.16,N,N,N
A012525,N,R_11,N,Y,74,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A012850,N,R_12,N,Y,278,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A012951,N,R_09,N,Y,77,PRE-1949+1949,0.0002022,0.0002022,6.33,9.0,4.66,3.665,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A013161,N,R_11,N,Y,83,PRE-1949+1949,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.01,0.02,0.03,0.01,0.0002022,0.0002022,0.0002022,N,N,N
A013695,N,R_11,N,Y,106,1950-1952,14.06,13.7,7.33,6.13,0.06,0.18,0.0002022,0.0002022,0.0002022,0.0002022,0.83,24.33,N,N,N
A013716,N,R_12,N,Y,108,1950-1952,9.3,1.7,3.86,2.6,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.13,26.7,N,N,Y
A013729,N,R_11,N,Y,109,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,1.2,1.715,3.73,5.0,5.16,2.26,0.0002022,0.0002022,N,N,N
A013967,N,R_12,N,Y,125,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.66,0.33,0.66,0.66,0.66,0.0002022,0.0002022,0.0002022,N,N,N
A014466,N,R_12,N,Y,155,1950-1952,0.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.03,0.0002022,0.0002022,0.6,0.77,N,N,N
A014735,N,R_12,N,Y,162,1950-1952,29.5,22.83,4.66,3.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.33,4.83,N,N,Y
A014749,N,R_12,N,Y,163,1950-1952,0.16,0.0002022,0.16,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,8.16,0.0002022,N,N,Y
A014826,N,R_13,N,Y,166,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,62.5,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A014841,N,R_12,N,Y,167,1950-1952,0.03,0.0002022,0.1,0.06,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.06,0.93,N,N,Y
A014842,N,R_12,N,Y,168,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A014872,N,R_12,N,Y,171,1950-1952,0.73,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.46,1.53,N,N,Y
A014904,N,R_11,N,Y,174,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A015075,N,R_12,N,Y,179,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A015187,N,R_04,N,Y,184,1953-1954,0.03,0.03,0.03,0.03,0.03,0.015,0.03,0.03,0.03,0.03,0.03,0.03,N,N,N
A015314,N,R_12,N,Y,187,1953-1954,1.33,1.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.33,1.41,2.83,4.0,N,N,N
A015521,N,R_12,N,Y,193,1953-1954,27.66,1.16,26.0,5.96,0.9,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.63,N,N,N
A015610,N,R_01,N,Y,194,1953-1954,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,0.0002022,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,2.022e-05,Y,N,N
A015663,N,R_01,N,Y,195,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013533,N,R_12,N,Y,100,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A013578,N,R_11,N,Y,102,1950-1952,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.00042199999999999996,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,0.0008439999999999999,N,N,N
A013633,N,R_06,N,Y,104,1950-1952,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A015854,N,R_09,N,Y,214,1953-1954,46.46,0.0002022,9.73,1.53,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,1.23,14.53,N,N,Y
A016077,N,R_11,N,Y,217,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A016086,N,R_02,N,Y,218,1953-1954,14.9,14.9,14.9,14.9,9.93,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,9.93,14.9,N,N,N
A016141,N,R_08,N,Y,219,1953-1954,0.0002022,0.0002022,0.0002022,0.0002022,0.05,0.025,0.05,0.05,0.05,0.0002022,0.0002022,0.0002022,N,N,N
A016347,N,R_01,N,Y,225,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A016381,N,R_02,N,Y,227,1955-1956,18.4,18.4,18.4,18.4,6.13,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,12.26,18.4,N,N,N
A016443,N,R_06,N,Y,231,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A016467,N,R_11,N,Y,232,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,3.53,5.93,N,N,Y
A016825,N,R_06,N,Y,243,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.03,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A016961,N,R_10,N,Y,244,1955-1956,21.6,16.1,4.86,8.9,0.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,8.53,13.4,N,N,N
A016973,N,R_06,N,Y,245,1955-1956,6.0,5.35,4.0,2.66,1.33,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A017091A,N,R_01,N,Y,246,1955-1956,2.0,2.0,2.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,2.0,N,N,Y
A017091B,N,R_01,N,Y,247,1955-1956,8.97,10.61,5.3,2.63,1.73,0.0002022,0.0002022,0.01,0.24,0.0002022,1.73,2.67,N,N,N
A017091C,N,R_01,N,Y,248,1955-1956,4.5,1.0,2.66,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A017240,N,R_01,N,Y,253,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.165,0.33,0.33,0.33,0.0002022,0.0002022,0.0002022,N,N,N
A017271,N,R_02,N,Y,254,1955-1956,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017642,N,R_04,N,Y,261,1957-1959,0.0002022,0.0002022,0.0002022,3.0,4.0,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,N
A017745,N,R_09,N,Y,262,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017868,N,R_01,N,Y,263,1957-1959,0.0002022,0.0002022,1.66,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,N,Y
A017871,N,R_02,N,Y,264,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,N,Y,Y
A017978,N,R_12,N,Y,269,1957-1959,0.0002022,0.0002022,0.0002022,0.0002022,0.0002022,4.23,8.46,8.46,8.46,8.46,8.46,0.0002022,N,N,N
