USER,2022-07_ALLOCATIONS,2022-07_CURTAILMENT,2022-07_DEMAND,2022-07_SHORTAGE_%,BASIN,PRIORITY
A002723,0.0002022,0,0.00020219999999999998,0,R_01,55
A004307,0.0002022,0,0.00020219999999999998,0,R_01,60
A006464,0.0002022,0,0.00020219999999999998,0,R_01,63
A006642,0.0002022,0,0.00020219999999999998,0,R_01,64
A006805A,0.0002022,0,0.00020219999999999998,0,R_01,65
A009832A,0.008235,0,0.008235,0,R_01,69
A009832B,0.0002022,0,0.00020219999999999998,0,R_01,70
A012232,0.0002022,0,0.00020219999999999998,0,R_05,73
A012525,0.0,1,0.00020219999999999998,100.0,R_11,74
A012850,0.0002022,0,0.00020219999999999998,0,R_12,278
A012951,0.666667,0,0.666666667,0,R_09,77
A013161,0.0,1,0.0264,100.0,R_11,83
A013533,0.0002022,0,0.00020219999999999998,0,R_12,100
A013578,0.0,1,0.0008439999999999999,100.0,R_11,102
A013633,0.0002022,0,0.00020219999999999998,0,R_06,104
A013695,0.0,1,0.00020219999999999998,100.0,R_11,106
A013716,0.0002022,0,0.00020219999999999998,0,R_12,108
A013729,0.0,1,3.733333333,100.0,R_11,109
A013967,0.666667,0,0.666666667,0,R_12,125
A014466,0.0388725,0,0.0388725,0,R_12,155
A014735,0.0002022,0,0.00020219999999999998,0,R_12,162
A014749,0.0002022,0,0.00020219999999999998,0,R_12,163
A014841,0.0002022,0,0.00020219999999999998,0,R_12,167
A014842,0.0002022,0,0.00020219999999999998,0,R_12,168
A014872,0.0002022,0,0.00020219999999999998,0,R_12,171
A014904,0.0,1,0.00020219999999999998,100.0,R_11,174
A015075,0.0002022,0,0.00020219999999999998,0,R_12,179
A015187,0.038054,0,0.038054,0,R_04,184
A015314,0.0002022,0,0.00020219999999999998,0,R_12,187
A015521,0.0002022,0,0.00020219999999999998,0,R_12,193
A015610,2.022e-05,0,2.022e-05,0,R_01,194
A015663,0.0002022,0,0.00020219999999999998,0,R_01,195
A015854,0.0002022,0,0.00020219999999999998,0,R_09,214
A016077,0.0,1,0.00020219999999999998,100.0,R_11,217
A016086,0.0002022,0,0.00020219999999999998,0,R_02,218
A016141,0.0519667,0,0.051966667,0,R_08,219
A016347,0.0002022,0,0.00020219999999999998,0,R_01,225
A016381,0.0002022,0,0.00020219999999999998,0,R_02,227
A016443,0.0002022,0,0.00020219999999999998,0,R_06,231
A016467,0.0,1,0.00020219999999999998,100.0,R_11,232
A016825,0.0002022,0,0.00020219999999999998,0,R_06,243
A016961,0.0,1,0.00020219999999999998,100.0,R_10,244
A016973,0.0002022,0,0.00020219999999999998,0,R_06,245
A017091A,0.0002022,0,0.00020219999999999998,0,R_01,246
A017091B,0.0002022,0,0.00020219999999999998,0,R_01,247
A017091C,0.0002022,0,0.00020219999999999998,0,R_01,248
A017240,0.334367,0,0.334366667,0,R_01,253
A017271,0.0002022,0,0.00020219999999999998,0,R_02,254
A017642,0.0002022,0,0.00020219999999999998,0,R_04,261
A017745,0.0002022,0,0.00020219999999999998,0,R_09,262
A017868,0.0002022,0,0.00020219999999999998,0,R_01,263
A017871,0.0002022,0,0.00020219999999999998,0,R_02,264
