,USER,2022-06_ALLOCATIONS,2022-06_CURTAILMENT,2022-06_DEMAND,2022-06_SHORTAGE_%,BASIN,PRIORITY
0,S002059,0.0002022,0,0.0002022,0.0,R_06,10000000
1,S002341,0.0002022,0,0.0002022,0.0,R_05,10000000
2,S004241,0.0002022,0,0.0002022,0.0,R_04,10000000
3,S004997,0.0002022,0,0.0002022,0.0,R_12,10000000
4,S006298,0.0002022,0,0.0002022,0.0,R_09,10000000
5,S006491,0.165,0,0.165,0.0,R_09,10000000
6,S008080,0.0002022,0,0.0002022,0.0,R_01,10000000
7,S008081,0.0002022,0,0.0002022,0.0,R_05,10000000
8,S008118,0.0002022,0,0.0002022,0.0,R_09,10000000
9,S008121,0.0002022,0,0.0002022,0.0,R_09,10000000
10,S008122,0.0002022,0,0.0002022,0.0,R_09,10000000
11,S008348,0.0002022,0,0.0002022,0.0,R_06,10000000
12,S008384,0.0002022,0,0.0002022,0.0,R_05,10000000
13,S008392,0.0002022,0,0.0002022,0.0,R_04,10000000
14,S008451,0.0002022,0,0.0002022,0.0,R_02,10000000
15,S008453,0.0002022,0,0.0002022,0.0,R_02,10000000
16,S008659,0.0002022,0,0.0002022,0.0,R_01,10000000
17,S008703,0.0002022,0,0.0002022,0.0,R_12,10000000
18,S008765,0.99,0,0.99,0.0,R_05,10000000
19,S008766,1.01,0,1.01,0.0,R_05,10000000
20,S008824,0.0002022,0,0.0002022,0.0,R_01,10000000
21,S008910,0.000767167,0,0.000767167,0.0,R_04,10000000
22,S009525,0.145,0,0.145,0.0,R_05,10000000
23,S010433,0.0002022,0,0.0002022,0.0,R_01,10000000
24,S010522,0.0002022,0,0.0002022,0.0,R_01,10000000
25,S010843,0.0002022,0,0.0002022,0.0,R_04,10000000
26,S010889,0.0016666670000000001,0,0.0016666670000000001,0.0,R_04,10000000
27,S010997,0.0002022,0,0.0002022,0.0,R_05,10000000
28,S010999,0.0002022,0,0.0002022,0.0,R_12,10000000
29,S011135,0.13,0,0.13,0.0,R_01,10000000
30,S012241,0.01,0,0.01,0.0,R_12,10000000
31,S012429,0.0002022,0,0.0002022,0.0,R_04,10000000
32,S012430,0.0002022,0,0.0002022,0.0,R_04,10000000
33,S012431,0.0002022,0,0.0002022,0.0,R_04,10000000
34,S012432,0.0002022,0,0.0002022,0.0,R_04,10000000
35,S012433,0.0002022,0,0.0002022,0.0,R_04,10000000
36,S012484,0.0002022,0,0.0002022,0.0,R_12,10000000
37,S012533,0.0002022,0,0.0002022,0.0,R_07,10000000
38,S012593,0.0002022,0,0.0002022,0.0,R_05,10000000
39,S012594,0.0002022,0,0.0002022,0.0,R_05,10000000
40,S012595,0.0002022,0,0.0002022,0.0,R_06,10000000
41,S012597,0.0002022,0,0.0002022,0.0,R_05,10000000
42,S012749,0.125,0,0.125,0.0,R_05,10000000
43,S012751,0.0002022,0,0.0002022,0.0,R_04,10000000
44,S013187,0.0002022,0,0.0002022,0.0,R_04,10000000
45,S013246,1.01,0,1.01,0.0,R_09,10000000
46,S013724,0.0002022,0,0.0002022,0.0,R_10,10000000
47,S013792,0.015,0,0.015,0.0,R_08,10000000
48,S013793,0.005,0,0.005,0.0,R_08,10000000
49,S013947,2.0,0,2.0,0.0,R_02,10000000
50,S013977,0.18,0,0.18,0.0,R_04,10000000
51,S014016,0.0002022,0,0.0002022,0.0,R_01,10000000
52,S014060,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
53,S014061,0.34391907,1,1.23,72.0391,R_13,10000000
54,S014230,1.67,0,1.67,0.0,R_10,10000000
55,S014231,2.0,0,2.0,0.0,R_10,10000000
56,S014292,0.065,0,0.065,0.0,R_01,10000000
57,S014293,0.035,0,0.035,0.0,R_01,10000000
58,S014313,0.0002022,0,0.0002022,0.0,R_02,10000000
59,S014554,0.00191725,0,0.00191725,0.0,R_06,10000000
60,S014724,0.0002022,0,0.0002022,0.0,R_04,10000000
61,S014749,0.0002022,0,0.0002022,0.0,R_04,10000000
62,S014861,0.33,0,0.33,0.0,R_01,10000000
63,S014862,0.13,0,0.13,0.0,R_01,10000000
64,S014863,0.065,0,0.065,0.0,R_01,10000000
65,S014864,0.265,0,0.265,0.0,R_01,10000000
66,S014865,0.265,0,0.265,0.0,R_01,10000000
67,S014866,0.065,0,0.065,0.0,R_01,10000000
68,S014922,0.60115935,1,2.15,72.03909999999998,R_13,10000000
69,S014973,0.01,0,0.01,0.0,R_11,10000000
70,S014974,0.01,0,0.01,0.0,R_11,10000000
71,S014975,0.01,0,0.01,0.0,R_11,10000000
72,S014976,0.01,0,0.01,0.0,R_11,10000000
73,S014977,0.01,0,0.01,0.0,R_11,10000000
74,S014978,0.0033666670000000003,0,0.0033666670000000003,0.0,R_11,10000000
75,S014979,0.0033666670000000003,0,0.0033666670000000003,0.0,R_11,10000000
76,S014980,0.0033666670000000003,0,0.0033666670000000003,0.0,R_11,10000000
77,S014996,0.0002022,0,0.0002022,0.0,R_01,10000000
78,S015303,0.005,0,0.005,0.0,R_01,10000000
79,S015353,0.065,0,0.065,0.0,R_01,10000000
80,S015403,0.0002022,0,0.0002022,0.0,R_05,10000000
81,S015404,0.0002022,0,0.0002022,0.0,R_05,10000000
82,S015414,0.0002022,0,0.0002022,0.0,R_04,10000000
83,S015549,0.0002022,0,0.0002022,0.0,R_08,10000000
84,S015621,0.355,0,0.355,0.0,R_04,10000000
85,S015641,0.0003,0,0.0003,0.0,R_01,10000000
86,S015689,0.0002022,0,0.0002022,0.0,R_05,10000000
87,S015721,0.0002022,0,0.0002022,0.0,R_11,10000000
88,S015722,0.0002022,0,0.0002022,0.0,R_11,10000000
89,S015723,0.0002022,0,0.0002022,0.0,R_11,10000000
90,S015745,0.08,0,0.08,0.0,R_05,10000000
91,S015746,0.0002022,0,0.0002022,0.0,R_01,10000000
92,S015758,0.34,0,0.34,0.0,R_11,10000000
93,S015759,0.0005,0,0.0005,0.0,R_11,10000000
94,S015790,0.265,0,0.265,0.0,R_06,10000000
95,S015813,0.295,0,0.295,0.0,R_12,10000000
96,S015830,0.0002022,0,0.0002022,0.0,R_06,10000000
97,S015831,0.0002022,0,0.0002022,0.0,R_06,10000000
98,S015833,0.0002022,0,0.0002022,0.0,R_12,10000000
99,S015840,0.0002022,0,0.0002022,0.0,R_12,10000000
100,S015850,0.0002022,0,0.0002022,0.0,R_12,10000000
101,S015863,0.0002022,0,0.0002022,0.0,R_12,10000000
102,S015871,0.0002022,0,0.0002022,0.0,R_08,10000000
103,S015903,0.0002022,0,0.0002022,0.0,R_09,10000000
104,S015910,0.0002022,0,0.0002022,0.0,R_12,10000000
105,S015950,0.0002022,0,0.0002022,0.0,R_09,10000000
106,S015953,0.0002022,0,0.0002022,0.0,R_12,10000000
107,S015965,1.475,0,1.475,0.0,R_10,10000000
108,S015989,0.0002022,0,0.0002022,0.0,R_11,10000000
109,S016044,0.0002022,0,0.0002022,0.0,R_09,10000000
110,S016304,2.805,0,2.805,0.0,R_10,10000000
111,S016363,0.0002022,0,0.0002022,0.0,R_05,10000000
112,S016364,0.0002022,0,0.0002022,0.0,R_05,10000000
113,S016399,0.0002022,0,0.0002022,0.0,R_12,10000000
114,S016670,0.45,0,0.45,0.0,R_06,10000000
115,S016690,0.002872,0,0.002872,0.0,R_08,10000000
116,S016698,0.0002022,0,0.0002022,0.0,R_02,10000000
117,S016708,0.0002022,0,0.0002022,0.0,R_02,10000000
118,S016773,0.0002022,0,0.0002022,0.0,R_12,10000000
119,S016774,0.43,0,0.43,0.0,R_12,10000000
120,S016775,0.0002022,0,0.0002022,0.0,R_12,10000000
121,S016776,0.0002022,0,0.0002022,0.0,R_12,10000000
122,S016777,0.0002022,0,0.0002022,0.0,R_12,10000000
123,S016781,0.0002022,0,0.0002022,0.0,R_05,10000000
124,S016782,0.0002022,0,0.0002022,0.0,R_05,10000000
125,S016783,0.0002022,0,0.0002022,0.0,R_05,10000000
126,S016790,0.0002022,0,0.0002022,0.0,R_12,10000000
127,S016819,0.0002022,0,0.0002022,0.0,R_06,10000000
128,S016836,0.0002022,0,0.0002022,0.0,R_06,10000000
129,S016837,0.0002022,0,0.0002022,0.0,R_06,10000000
130,S016838,0.0002022,0,0.0002022,0.0,R_06,10000000
131,S016839,0.0002022,0,0.0002022,0.0,R_06,10000000
132,S016840,0.0002022,0,0.0002022,0.0,R_06,10000000
133,S016841,0.0002022,0,0.0002022,0.0,R_06,10000000
134,S016842,0.0002022,0,0.0002022,0.0,R_06,10000000
135,S016885,0.0002022,0,0.0002022,0.0,R_06,10000000
136,S016886,0.0002022,0,0.0002022,0.0,R_06,10000000
137,S016887,0.0002022,0,0.0002022,0.0,R_06,10000000
138,S016897,0.0002022,0,0.0002022,0.0,R_01,10000000
139,S016901,0.0002022,0,0.0002022,0.0,R_12,10000000
140,S016911,0.35,0,0.35,0.0,R_02,10000000
141,S017040,0.057319845,1,0.205,72.03909999999998,R_13,10000000
142,S017041,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
143,S017049,0.0002022,0,0.0002022,0.0,R_06,10000000
144,S017050,0.0002022,0,0.0002022,0.0,R_06,10000000
145,S017052,0.0002022,0,0.0002022,0.0,R_06,10000000
146,S017203,0.0002022,0,0.0002022,0.0,R_01,10000000
147,S017309,0.0002022,0,0.0002022,0.0,R_06,10000000
148,S017312,0.0002022,0,0.0002022,0.0,R_06,10000000
149,S017474,0.0002022,0,0.0002022,0.0,R_02,10000000
150,S017657,0.0023,0,0.0023,0.0,R_04,10000000
151,S017742,0.0002022,0,0.0002022,0.0,R_01,10000000
152,S017745,0.0002022,0,0.0002022,0.0,R_01,10000000
153,S017748,0.005,0,0.005,0.0,R_01,10000000
154,S017751,0.225,0,0.225,0.0,R_01,10000000
155,S017975,0.0002022,0,0.0002022,0.0,R_10,10000000
156,S018130,0.0002022,0,0.0002022,0.0,R_06,10000000
157,S018133,0.0002022,0,0.0002022,0.0,R_06,10000000
158,S018151,0.0002022,0,0.0002022,0.0,R_06,10000000
159,S018154,0.0002022,0,0.0002022,0.0,R_06,10000000
160,S018187,0.035,0,0.035,0.0,R_06,10000000
161,S018193,0.0002022,0,0.0002022,0.0,R_06,10000000
162,S018208,0.0002022,0,0.0002022,0.0,R_06,10000000
163,S018211,0.0002022,0,0.0002022,0.0,R_10,10000000
164,S018214,0.0002022,0,0.0002022,0.0,R_06,10000000
165,S018217,0.0002022,0,0.0002022,0.0,R_06,10000000
166,S018220,0.0002022,0,0.0002022,0.0,R_06,10000000
167,S018223,0.025,0,0.025,0.0,R_06,10000000
168,S018474,0.0002022,0,0.0002022,0.0,R_06,10000000
169,S018477,0.0002022,0,0.0002022,0.0,R_06,10000000
170,S018479,0.0002022,0,0.0002022,0.0,R_01,10000000
171,S018480,0.0002022,0,0.0002022,0.0,R_06,10000000
172,S018483,0.0002022,0,0.0002022,0.0,R_08,10000000
173,S018486,0.0002022,0,0.0002022,0.0,R_08,10000000
174,S018503,0.0002022,0,0.0002022,0.0,R_01,10000000
175,S018763,0.0002022,0,0.0002022,0.0,R_10,10000000
176,S019039,1.42,0,1.42,0.0,R_01,10000000
177,S019202,0.0002022,0,0.0002022,0.0,R_10,10000000
178,S019214,0.0002022,0,0.0002022,0.0,R_10,10000000
179,S019220,0.0002022,0,0.0002022,0.0,R_06,10000000
180,S019235,0.0002022,0,0.0002022,0.0,R_09,10000000
181,S019287,0.0002022,0,0.0002022,0.0,R_02,10000000
182,S019386,0.0002022,0,0.0002022,0.0,R_01,10000000
183,S019394,0.0002022,0,0.0002022,0.0,R_01,10000000
184,S019594,0.055,0,0.055,0.0,R_01,10000000
185,S019643,0.0002022,0,0.0002022,0.0,R_04,10000000
186,S019738,0.0002022,0,0.0002022,0.0,R_12,10000000
187,S019893,0.0002022,0,0.0002022,0.0,R_09,10000000
188,S019908,0.0002022,0,0.0002022,0.0,R_12,10000000
189,S019911,0.0002022,0,0.0002022,0.0,R_12,10000000
190,S019914,0.0002022,0,0.0002022,0.0,R_12,10000000
191,S019917,0.0002022,0,0.0002022,0.0,R_12,10000000
192,S019924,0.165,0,0.165,0.0,R_01,10000000
193,S019943,0.0002022,0,0.0002022,0.0,R_01,10000000
194,S020069,0.09,0,0.09,0.0,R_05,10000000
195,S020148,0.0002022,0,0.0002022,0.0,R_01,10000000
196,S020152,0.0002022,0,0.0002022,0.0,R_01,10000000
197,S020175,0.6,0,0.6,0.0,R_09,10000000
198,S020240,0.0002022,0,0.0002022,0.0,R_09,10000000
199,S020289,0.0002022,0,0.0002022,0.0,R_10,10000000
200,S020290,0.0002022,0,0.0002022,0.0,R_10,10000000
201,S020291,0.0002022,0,0.0002022,0.0,R_10,10000000
202,S020293,0.0002022,0,0.0002022,0.0,R_10,10000000
203,S020294,0.0002022,0,0.0002022,0.0,R_10,10000000
204,S020433,0.0002022,0,0.0002022,0.0,R_11,10000000
205,S020523,0.0038333340000000003,0,0.0038333340000000003,0.0,R_01,10000000
206,S020527,0.005,0,0.005,0.0,R_01,10000000
207,S020627,1.665,0,1.665,0.0,R_01,10000000
208,S021071,0.0002022,0,0.0002022,0.0,R_11,10000000
209,S021080,0.0002022,0,0.0002022,0.0,R_06,10000000
210,S021081,0.0002022,0,0.0002022,0.0,R_12,10000000
211,S021082,0.0002022,0,0.0002022,0.0,R_12,10000000
212,S021321,0.29,0,0.29,0.0,R_01,10000000
213,S021339,0.0002022,0,0.0002022,0.0,R_05,10000000
214,S021352,0.0002022,0,0.0002022,0.0,R_01,10000000
215,S021386,0.0002022,0,0.0002022,0.0,R_01,10000000
216,S021387,0.01,0,0.01,0.0,R_02,10000000
217,S021394,0.0002022,0,0.0002022,0.0,R_06,10000000
218,S021395,0.0002022,0,0.0002022,0.0,R_06,10000000
219,S021396,0.0002022,0,0.0002022,0.0,R_06,10000000
220,S021397,0.0002022,0,0.0002022,0.0,R_06,10000000
221,S021398,0.0002022,0,0.0002022,0.0,R_05,10000000
222,S021399,0.0002022,0,0.0002022,0.0,R_06,10000000
223,S021466,0.000225,0,0.000225,0.0,R_05,10000000
224,S021482,0.0002022,0,0.0002022,0.0,R_01,10000000
225,S021483,0.0002022,0,0.0002022,0.0,R_01,10000000
226,S021484,0.0002022,0,0.0002022,0.0,R_01,10000000
227,S021487,0.0002022,0,0.0002022,0.0,R_01,10000000
228,S021985,0.001833334,0,0.001833334,0.0,R_05,10000000
229,S021986,0.59,0,0.59,0.0,R_05,10000000
230,S021993,0.0002022,0,0.0002022,0.0,R_08,10000000
231,S021994,0.0002022,0,0.0002022,0.0,R_07,10000000
232,S021995,0.0002022,0,0.0002022,0.0,R_08,10000000
233,S021996,0.0002022,0,0.0002022,0.0,R_08,10000000
234,S021997,0.0002022,0,0.0002022,0.0,R_07,10000000
235,S021998,0.0002022,0,0.0002022,0.0,R_07,10000000
236,S021999,0.0002022,0,0.0002022,0.0,R_07,10000000
237,S022000,0.0002022,0,0.0002022,0.0,R_08,10000000
238,S022001,0.0002022,0,0.0002022,0.0,R_07,10000000
239,S022002,0.0002022,0,0.0002022,0.0,R_08,10000000
240,S022003,0.0002022,0,0.0002022,0.0,R_08,10000000
241,S022004,0.0002022,0,0.0002022,0.0,R_08,10000000
242,S022006,0.0002022,0,0.0002022,0.0,R_12,10000000
243,S022130,0.0002022,0,0.0002022,0.0,R_01,10000000
244,S022312,0.0002022,0,0.0002022,0.0,R_01,10000000
245,S022313,0.0002022,0,0.0002022,0.0,R_04,10000000
246,S022314,0.0002022,0,0.0002022,0.0,R_04,10000000
247,S022316,0.0002022,0,0.0002022,0.0,R_09,10000000
248,S022326,0.0002022,0,0.0002022,0.0,R_09,10000000
249,S022339,0.0002022,0,0.0002022,0.0,R_09,10000000
250,S022386,0.0002022,0,0.0002022,0.0,R_06,10000000
251,S022407,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
252,S022408,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
253,S022409,0.040543305,1,0.145,72.0391,R_13,10000000
254,S022410,0.03914526,1,0.14,72.0391,R_13,10000000
255,S022411,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
256,S022465,5.65369398e-05,1,0.0002022,72.0391,R_13,10000000
257,S022490,0.000460335,0,0.000460335,0.0,R_06,10000000
258,S022512,0.0002022,0,0.0002022,0.0,R_12,10000000
259,S022724,0.0002022,0,0.0002022,0.0,R_05,10000000
260,S022799,0.0002022,0,0.0002022,0.0,R_06,10000000
261,S022800,0.0002022,0,0.0002022,0.0,R_06,10000000
262,S022801,0.0002022,0,0.0002022,0.0,R_06,10000000
263,S022803,0.05,0,0.05,0.0,R_06,10000000
264,S022804,0.0002022,0,0.0002022,0.0,R_06,10000000
265,S022877,0.33,0,0.33,0.0,R_05,10000000
266,S022879,0.0002022,0,0.0002022,0.0,R_05,10000000
267,S022882,0.0002022,0,0.0002022,0.0,R_05,10000000
268,S022895,0.0002022,0,0.0002022,0.0,R_02,10000000
269,S022914,0.0002022,0,0.0002022,0.0,R_06,10000000
270,S023451,0.0002022,0,0.0002022,0.0,R_12,10000000
271,S023462,0.0002022,0,0.0002022,0.0,R_01,10000000
272,S023681,0.0002022,0,0.0002022,0.0,R_01,10000000
273,S023685,0.0002022,0,0.0002022,0.0,R_01,10000000
274,S023711,0.175,0,0.175,0.0,R_06,10000000
275,S023712,0.0002022,0,0.0002022,0.0,R_06,10000000
276,S023728,0.0002022,0,0.0002022,0.0,R_09,10000000
277,S023729,0.0002022,0,0.0002022,0.0,R_09,10000000
278,S023862,0.995,0,0.995,0.0,R_09,10000000
279,S023869,0.0002022,0,0.0002022,0.0,R_06,10000000
280,S023870,0.0002022,0,0.0002022,0.0,R_06,10000000
281,S023896,0.0002022,0,0.0002022,0.0,R_06,10000000
282,S023897,0.17,0,0.17,0.0,R_06,10000000
283,S023932,0.0002022,0,0.0002022,0.0,R_06,10000000
284,S023959,0.0002022,0,0.0002022,0.0,R_01,10000000
285,S023960,0.025,0,0.025,0.0,R_01,10000000
286,S023995,0.0002022,0,0.0002022,0.0,R_06,10000000
287,S023996,0.0002022,0,0.0002022,0.0,R_06,10000000
288,S023997,0.0002022,0,0.0002022,0.0,R_06,10000000
289,S024097,0.0002022,0,0.0002022,0.0,R_06,10000000
290,S024188,0.18,0,0.18,0.0,R_02,10000000
291,S024372,0.0002022,0,0.0002022,0.0,R_08,10000000
292,S024404,0.16,0,0.16,0.0,R_11,10000000
293,S024405,0.17,0,0.17,0.0,R_11,10000000
294,S024410,0.05,0,0.05,0.0,R_04,10000000
295,S024445,0.0002022,0,0.0002022,0.0,R_06,10000000
296,S024452,9.67,0,9.67,0.0,R_02,10000000
297,S024464,0.0002022,0,0.0002022,0.0,R_06,10000000
298,S024481,0.037747215,1,0.135,72.0391,R_13,10000000
299,S024526,0.0002022,0,0.0002022,0.0,R_08,10000000
300,S024552,0.01,0,0.01,0.0,R_04,10000000
301,S024621,0.002166667,0,0.002166667,0.0,R_12,10000000
302,S025029,0.305,0,0.305,0.0,R_12,10000000
303,S025576,0.395,0,0.395,0.0,R_01,10000000
304,S026053,0.0002022,0,0.0002022,0.0,R_01,10000000
305,S026054,0.0002022,0,0.0002022,0.0,R_01,10000000
306,S026123,0.06990225,1,0.25,72.0391,R_13,10000000
307,S026284,0.0018414999999999998,0,0.0018414999999999998,0.0,R_01,10000000
308,S026314,0.0002022,0,0.0002022,0.0,R_02,10000000
309,S026323,0.0002022,0,0.0002022,0.0,R_01,10000000
310,S026464,0.0002022,0,0.0002022,0.0,R_06,10000000
311,S026643,0.045,0,0.045,0.0,R_06,10000000
312,S026644,0.0002022,0,0.0002022,0.0,R_05,10000000
313,S026645,0.01,0,0.01,0.0,R_06,10000000
314,S026652,0.04,0,0.04,0.0,R_06,10000000
315,S026656,0.0002022,0,0.0002022,0.0,R_06,10000000
316,S026678,0.002557334,0,0.002557334,0.0,R_04,10000000
317,S026687,0.005,0,0.005,0.0,R_01,10000000
318,S026690,0.01,0,0.01,0.0,R_01,10000000
319,S026692,0.003,0,0.003,0.0,R_01,10000000
320,S026745,0.0002022,0,0.0002022,0.0,R_06,10000000
321,S026754,0.0002022,0,0.0002022,0.0,R_06,10000000
322,S026792,0.0002022,0,0.0002022,0.0,R_01,10000000
323,S026794,0.0002022,0,0.0002022,0.0,R_01,10000000
324,S026797,0.04,0,0.04,0.0,R_06,10000000
325,S026889,0.0002022,0,0.0002022,0.0,R_06,10000000
326,S026905,0.0002022,0,0.0002022,0.0,R_05,10000000
327,S026934,0.24,0,0.24,0.0,R_06,10000000
328,S026992,0.0002022,0,0.0002022,0.0,R_02,10000000
329,S027032,0.0002022,0,0.0002022,0.0,R_02,10000000
