BASIN,2022-08_ALLOCATIONS,2022-08_AVAILABLE_FLOW,2022-08_DEMAND
R_01,0.0,0.0,0.0
R_02,0.0,0.0,0.0
R_02_M,191.03680480000003,4251.255454122341,191.03683146400004
R_03,0.0,0.0,0.0
R_03_M,1228.9208088000003,4251.255454122341,1228.9174758000001
R_04,0.0,0.0,0.0
R_04_M,515.6616628799999,4251.255454122341,515.6612899169999
R_05,0.0,0.0,0.0
R_05_M,231.528614,4251.255454122341,231.528710657
R_06,0.0,0.0,0.0
R_06_M,216.92878577,4251.255454122341,216.92875140299998
R_07,0.0,0.0,0.0
R_08,0.0,0.0,0.0
R_09,0.0,0.0,0.0
R_09_M,303.82542601999995,4251.255454122341,303.825498377
R_10,0.0,0.0,0.0
R_10_M,126.8124716,4251.255454122341,126.812407273
R_11,0.0,0.0,0.0
R_12,0.0,0.0,0.0
R_12_M,333.01532319999995,4251.255454122341,333.015624379
R_13,0.0,0.0,0.0
R_13_M,8.070554320000003,4251.255454122341,8.070557653000002
