BASIN,2022-07_ALLOCATIONS,2022-07_DEMAND,2022-07_FLOW,2022-07_PROPORTIONS
R_01,0.0,0.0,0.0,0
R_02,0.0,0.0,0.0,0
R_02_M,0.0,40.16882833,0.0,0
R_03,0.0,0.0,0.0,0
R_03_M,0.0,0.0,0.0,0
R_04,0.0,0.0,0.0,0
R_04_M,0.0,144.05341380000002,0.0,0
R_05,0.0,0.0,0.0,0
R_05_M,0.0,19.629708887000003,0.0,0
R_06,0.0,0.0,0.0,0
R_06_M,0.0,50.798408550000005,0.0,0
R_07,0.0,0.0,0.0,0
R_08,0.0,0.0,0.0,0
R_09,0.0,0.0,0.0,0
R_09_M,0.0,86.43701554100001,0.0,0
R_10,0.0,0.0,0.0,0
R_10_M,0.0,117.31021920299995,0.0,0
R_11,0.0,0.0,0.0,0
R_12,0.0,0.0,0.0,0
R_12_M,0.0,63.281806937,0.0,0
R_13,0.0,0.0,0.0,0
R_13_M,0.0,11.430852739,0.0,0
