BASIN,R_01,R_02,R_02_MSRR,R_03,R_03_MSRR,R_04,R_04_MSRR,R_05,R_05_MSRR,R_06,R_06_MSRR,R_07,R_08,R_09,R_09_MSRR,R_10,R_10_MSRR,R_11,R_12,R_12_MSRR,R_13,R_13_MSRR
R_01,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_02,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_02_MSRR,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_03,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_03_MSRR,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_04,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_04_MSRR,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_05,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_05_MSRR,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1
R_06,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
R_06_MSRR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
R_07,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
R_08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
R_09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1
R_09_MSRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
R_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
R_10_MSRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
R_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
R_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
R_12_MSRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
R_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
R_13_MSRR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
