,yyyy-mm-dd,m/d/yyyy,yyyy-m-d,yyyy-mm
0,2021-05-01,5/1/2021,2021-5-1,2021-05
1,2021-05-02,5/2/2021,2021-5-2,2021-05
2,2021-05-03,5/3/2021,2021-5-3,2021-05
3,2021-05-04,5/4/2021,2021-5-4,2021-05
4,2021-05-05,5/5/2021,2021-5-5,2021-05
5,2021-05-06,5/6/2021,2021-5-6,2021-05
6,2021-05-07,5/7/2021,2021-5-7,2021-05
7,2021-05-08,5/8/2021,2021-5-8,2021-05
8,2021-05-09,5/9/2021,2021-5-9,2021-05
9,2021-05-10,5/10/2021,2021-5-10,2021-05
10,2021-05-11,5/11/2021,2021-5-11,2021-05
11,2021-05-12,5/12/2021,2021-5-12,2021-05
12,2021-05-13,5/13/2021,2021-5-13,2021-05
13,2021-05-14,5/14/2021,2021-5-14,2021-05
14,2021-05-15,5/15/2021,2021-5-15,2021-05
15,2021-05-16,5/16/2021,2021-5-16,2021-05
16,2021-05-17,5/17/2021,2021-5-17,2021-05
17,2021-05-18,5/18/2021,2021-5-18,2021-05
18,2021-05-19,5/19/2021,2021-5-19,2021-05
19,2021-05-20,5/20/2021,2021-5-20,2021-05
20,2021-05-21,5/21/2021,2021-5-21,2021-05
21,2021-05-22,5/22/2021,2021-5-22,2021-05
22,2021-05-23,5/23/2021,2021-5-23,2021-05
23,2021-05-24,5/24/2021,2021-5-24,2021-05
24,2021-05-25,5/25/2021,2021-5-25,2021-05
25,2021-05-26,5/26/2021,2021-5-26,2021-05
26,2021-05-27,5/27/2021,2021-5-27,2021-05
27,2021-05-28,5/28/2021,2021-5-28,2021-05
28,2021-05-29,5/29/2021,2021-5-29,2021-05
29,2021-05-30,5/30/2021,2021-5-30,2021-05
30,2021-05-31,5/31/2021,2021-5-31,2021-05
31,2021-06-01,6/1/2021,2021-6-1,2021-06
32,2021-06-02,6/2/2021,2021-6-2,2021-06
33,2021-06-03,6/3/2021,2021-6-3,2021-06
34,2021-06-04,6/4/2021,2021-6-4,2021-06
35,2021-06-05,6/5/2021,2021-6-5,2021-06
36,2021-06-06,6/6/2021,2021-6-6,2021-06
37,2021-06-07,6/7/2021,2021-6-7,2021-06
38,2021-06-08,6/8/2021,2021-6-8,2021-06
39,2021-06-09,6/9/2021,2021-6-9,2021-06
40,2021-06-10,6/10/2021,2021-6-10,2021-06
41,2021-06-11,6/11/2021,2021-6-11,2021-06
42,2021-06-12,6/12/2021,2021-6-12,2021-06
43,2021-06-13,6/13/2021,2021-6-13,2021-06
44,2021-06-14,6/14/2021,2021-6-14,2021-06
45,2021-06-15,6/15/2021,2021-6-15,2021-06
46,2021-06-16,6/16/2021,2021-6-16,2021-06
47,2021-06-17,6/17/2021,2021-6-17,2021-06
48,2021-06-18,6/18/2021,2021-6-18,2021-06
49,2021-06-19,6/19/2021,2021-6-19,2021-06
50,2021-06-20,6/20/2021,2021-6-20,2021-06
51,2021-06-21,6/21/2021,2021-6-21,2021-06
52,2021-06-22,6/22/2021,2021-6-22,2021-06
53,2021-06-23,6/23/2021,2021-6-23,2021-06
54,2021-06-24,6/24/2021,2021-6-24,2021-06
55,2021-06-25,6/25/2021,2021-6-25,2021-06
56,2021-06-26,6/26/2021,2021-6-26,2021-06
57,2021-06-27,6/27/2021,2021-6-27,2021-06
58,2021-06-28,6/28/2021,2021-6-28,2021-06
59,2021-06-29,6/29/2021,2021-6-29,2021-06
60,2021-06-30,6/30/2021,2021-6-30,2021-06
61,2021-07-01,7/1/2021,2021-7-1,2021-07
62,2021-07-02,7/2/2021,2021-7-2,2021-07
63,2021-07-03,7/3/2021,2021-7-3,2021-07
64,2021-07-04,7/4/2021,2021-7-4,2021-07
65,2021-07-05,7/5/2021,2021-7-5,2021-07
66,2021-07-06,7/6/2021,2021-7-6,2021-07
67,2021-07-07,7/7/2021,2021-7-7,2021-07
68,2021-07-08,7/8/2021,2021-7-8,2021-07
69,2021-07-09,7/9/2021,2021-7-9,2021-07
70,2021-07-10,7/10/2021,2021-7-10,2021-07
71,2021-07-11,7/11/2021,2021-7-11,2021-07
72,2021-07-12,7/12/2021,2021-7-12,2021-07
73,2021-07-13,7/13/2021,2021-7-13,2021-07
74,2021-07-14,7/14/2021,2021-7-14,2021-07
75,2021-07-15,7/15/2021,2021-7-15,2021-07
76,2021-07-16,7/16/2021,2021-7-16,2021-07
77,2021-07-17,7/17/2021,2021-7-17,2021-07
78,2021-07-18,7/18/2021,2021-7-18,2021-07
79,2021-07-19,7/19/2021,2021-7-19,2021-07
80,2021-07-20,7/20/2021,2021-7-20,2021-07
81,2021-07-21,7/21/2021,2021-7-21,2021-07
82,2021-07-22,7/22/2021,2021-7-22,2021-07
83,2021-07-23,7/23/2021,2021-7-23,2021-07
84,2021-07-24,7/24/2021,2021-7-24,2021-07
85,2021-07-25,7/25/2021,2021-7-25,2021-07
86,2021-07-26,7/26/2021,2021-7-26,2021-07
87,2021-07-27,7/27/2021,2021-7-27,2021-07
88,2021-07-28,7/28/2021,2021-7-28,2021-07
89,2021-07-29,7/29/2021,2021-7-29,2021-07
90,2021-07-30,7/30/2021,2021-7-30,2021-07
91,2021-07-31,7/31/2021,2021-7-31,2021-07
