USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09,2021-11
S000652,L_14,10000000,Statement of Div and Use,Y,N,N,0.000006,0.000012,0.000012,0.000012,0.000012,0.00099
S016892,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.009206667
S018142,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,2.1
S018205,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,3.743333333
S022309,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,3.47
S022310,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S026695,L_14,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S016628,L_14,10000000,Statement of Div and Use,Y,N,N,0.041573333,0.014699667,0.020183,0.020224,0.014914667,0.00099
S021353,L_14_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S014059,L_14_MSDC,10000000,Statement of Div and Use,Y,N,N,0.1,0.833333333,2.033333333,2.266666667,0.533333333,0.00099
S018160,L_14_MSDC,10000000,Statement of Div and Use,Y,N,N,0.7,1.133333333,1.366666667,1.233333333,1.166666667,0.00099
S004347,L_14_MSDC,10000000,Statement of Div and Use,Y,N,N,0.593333333,1.693333333,1.993333333,2.303333333,2.47,0.2
S016687,L_14_MSDC,10000000,Statement of Div and Use,Y,N,N,0.37,2.35,3.77,4.523333333,3.72,0.9
S018157,L_14_MSDC,10000000,Statement of Div and Use,Y,N,N,2.066666667,4.233333333,8.3,9.066666667,6.933333333,0.00099
S019926,L_15,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,5.2
S022287,L_15_MSDC,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.00099
S008664,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S019027,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S019045,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S020596,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S021990,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S021991,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S022859,L_15_MSDC,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.032274333
S008661,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.087666667,0.087666667,0.00099,0.299488667
S016059,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.00099,0.00099,0.018,0.00099
S015823,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.025,0.065,0.065,0.075,0.055,0.000101333
S018138,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.513333333,0.856666667,0.18,0.06
S018141,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,0.00099,0.652407333,0.709074,0.427501333,0.053333333
S016060,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.220216667,0.193429,0.236313667,0.68498,0.462391,0.00099
S025301,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.083333333,2,1.466666667,0.35,0.466666667,0.00099
S016069,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.144813333,0.114188333,0.353180333,0.368979,0.701048333,0.00099
S016054,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.255365,0.418991,0.367514667,0.557152333,0.728683667,0.00099
S005226,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.404479333,1.044649333,1.044649333,1.044649333,1.044649333,0.00099
S005225,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.474949333,1.055276,1.055276,1.055276,1.055276,0.083333333
S021488,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.1,1.2,1.2,1.266666667,1.133333333,0.00099
S021568,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.083333333,1.166666667,1.583333333,2,2.5,0.00099
S015520,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.00099,2,3,3,2.5,0.00099
S015865,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,3,3.5,3.5,4,3.5,3.066666667
S019030,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,0.76,2.466666667,3.796666667,4.2,3.72,0.00099
S022857,L_15_MSDC,10000000,Statement of Div and Use,Y,N,N,1.266666667,6.333333333,10.46666667,10,6.733333333,0.00099
S025228,L_16,10000000,Statement of Div and Use,Y,N,N,0.031,0.031,0.031,0.00099,0.00099,0.00099
S022703,L_16,10000000,Statement of Div and Use,Y,N,N,0.266666667,0.00099,0.00099,0.00099,0.00099,0.33
S025300,L_16,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.015364667
S027934,L_16,10000000,Statement of Div and Use,Y,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099,0.00099
S009168,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.97
S018153,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S018190,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.00099
S019406,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.356666667
S019409,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,0.356666667
S019412,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,3.233333333
S023680,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,3.583333333
S023682,L_16,10000000,Statement of Div and Use,Y,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099,2.2
S013760,L_16,10000000,Statement of Div and Use,Y,N,N,0.002066667,0.002333333,0.002666667,0.001666667,0.00099,0.116666667
S025251,L_16,10000000,Statement of Div and Use,Y,N,N,0.004296333,0.005012333,0.005012333,0.005421667,0.005327,0.00099
S013709,L_16,10000000,Statement of Div and Use,Y,N,N,0.017891333,0.021598667,0.024741667,0.021971,0.017688333,3.033333333
S020134,L_16,10000000,Statement of Div and Use,Y,N,N,0.029154443,0.029154443,0.029154443,0.029154443,0.029154443,0.00099
S025235,L_16,10000000,Statement of Div and Use,Y,N,N,0.039456667,0.039456667,0.039456667,0.039456667,0.039456667,0.00099
S025818,L_16,10000000,Statement of Div and Use,Y,N,N,0.31775,0.047449333,0.073701333,0.070249333,0.058022667,0.00099
S025242,L_16,10000000,Statement of Div and Use,Y,N,N,0.116333333,0.099,0.069,0.069,0.066,0.039123333
S013563,L_16,10000000,Statement of Div and Use,Y,N,N,0.33,0.33,0.33,0.33,0.33,0.077
S015916,L_16,10000000,Statement of Div and Use,Y,N,N,0.00099,0.169006,0.264757667,0.435888,0.450650333,0.004501
S025398,L_16,10000000,Statement of Div and Use,Y,N,N,0.483333333,0.323333333,0.313333333,0.49,0.483333333,0.00099
S013814,L_16,10000000,Statement of Div and Use,Y,N,N,0.97,0.97,0.97,0.97,0.97,0.32
S019972,L_16,10000000,Statement of Div and Use,Y,N,N,0.556666667,1.086666667,2.923333333,1.836666667,1.586666667,0.036253333
