USER,BASIN,PRIORITY,WATER_RIGHT_TYPE,RIPARIAN,NULL_DEMAND,MAY_SEPT_ZERO_DEMAND,2021-05,2021-06,2021-07,2021-08,2021-09
A007006,L_19,36,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A009992,L_19,39,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A010915,L_18,41,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A010976,L_18_MSRR,42,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A011327,L_16,44,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012100,L_27,46,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012210,L_24,47,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012330,L_18,48,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012510,L_25,51,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012773,L_24,52,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012877,L_18,53,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A012931,L_24,54,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013062,L_17_MSRR,55,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013097,L_17_MSRR,57,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013105,L_18_MSRR,59,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013151,L_17_MSRR,61,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013163,L_24,62,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013221,L_27,63,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013256,L_25,64,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013268,L_17_MSRR,67,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013269,L_24_LSR,68,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013330,L_26,71,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013376,L_24,73,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013527,L_27,77,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013586,L_25,79,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013684A,L_18_MSRR,81,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013890,L_16_MSDC,83,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013914,L_15_MSDC,84,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A013958,L_23,85,Appropriative,N,N,Y,0.00099,0.00099,0.00099,0.00099,0.00099
A029333,L_18,375,Appropriative,N,N,N,0.00099,0.0000167,0.168798667,0.00001,0.0000267
A025363,L_17_MSRR,316,Appropriative,N,N,N,0.000256,0.000256,0.000256,0.000256,0.000256
A028878,L_16_MSDC,368,Appropriative,N,N,N,0.000685333,0.000685333,0.000685333,0.000685333,0.000685333
A004612,L_16,34,Appropriative,N,N,N,0.0007,0.0007,0.0007,0.0007,0.0007
A024962,L_21_MSRR,304,Appropriative,N,N,N,0.00099,0.000767,0.001534,0.001534,0.000767
S028299,L_20,11,Statement of Div and Use,N,Y,Y,0.000099,0.000099,0.00099,0.00099,0.00099
A019891,L_23,180,Appropriative,N,N,N,0.01,0.01,0.00099,0.00099,0.00099
D032713,L_18,474,Registration Domestic,N,N,N,0.0230165,0.0230165,0.00099,0.00099,0.00099
A020071,L_23,183,Appropriative,N,N,N,0.05,0.025,0.00099,0.00099,0.00099
A026240,L_24,336,Appropriative,N,N,N,2.066666667,0.166666667,0.00099,0.00099,0.00099
A019649,L_14,175,Appropriative,N,N,N,1,0.5,0.00099,0.00099,0.00099
A025393B,L_17_MSRR,319,Appropriative,N,N,N,0.353333333,0.676666667,0.00099,0.00099,0.00099
A026241,L_24,335,Appropriative,N,N,N,1.533333333,0.7,1.4,0.00099,0.00099
A013076,L_18_MSRR,56,Appropriative,N,N,N,0.933333333,1.6,2.066666667,0.00099,0.00099
A022929,L_14_MSDC,248,Appropriative,N,N,N,0.00099,0.003687667,0.0000153,0.00099,0.00099
A022237,L_15,232,Appropriative,N,N,N,0.001534333,0.000102333,0.000051,0.00099,0.00099
A021081,L_24,213,Appropriative,N,N,N,0.003,0.00099,0.00099,0.00099,0.00099
A026993,L_23,346,Appropriative,N,N,N,0.003066667,0.00099,0.00099,0.00099,0.00099
D032464,L_18,469,Registration Domestic,N,N,N,0.0115085,0.00099,0.00099,0.00099,0.00099
A018736,L_21,161,Appropriative,N,N,N,0.02,0.00099,0.00099,0.00099,0.00099
A019515,L_21,172,Appropriative,N,N,N,0.02,0.00099,0.00099,0.00099,0.00099
