BASIN,FLOWS_TO,2021-05,2021-06,2021-07,2021-08,2021-09
L_14,L_14_MSDC,539.7129862,240.0313364,152.9022133,105.5067758,75.83742071
L_14_MSDC,L_15_MSDC,0,0,0,0,0
L_15,L_15_MSDC,17.48449569,6.146459442,3.43644294,2.094823119,1.344614862
L_15_MSDC,L_16_MSDC,0,0,0,0,0
L_16,L_16_MSDC,85.02267682,30.39907407,18.223537,11.87008252,8.069950331
L_16_MSDC,L_17_MSRR,0,0,0,0,0
L_17,L_17_MSRR,18.71087584,6.004641261,4.820548711,4.067642934,1.586082628
L_17_MSRR,L_18_MSRR,0,0,0,0,0
L_18,L_18_MSRR,180.9540477,58.21150354,26.09315676,13.427504,6.034393327
L_18_MSRR,L_19_MSRR,0,0,0,0,0
L_19,L_19_MSRR,23.88198323,8.84568586,5.965963576,3.8722512,1.7397818
L_19_MSRR,L_21_MSRR,0,0,0,0,0
L_20,L_21_MSRR,306.7199969,119.7917343,60.9824126,35.16158642,21.35087582
L_21,L_21_MSRR,139.2515688,54.25685895,32.1512724,19.61732211,10.12204948
L_21_MSRR,L_21_MSRR,0,0,0,0,0
L_23,L_24_LSR,54.47634291,24.77645906,13.83103703,10.79489442,14.86697198
L_24,L_24_LSR,200.3146681,82.21239755,25.98269354,7.649803719,12.43643803
L_24_LSR,L_18_MSRR,0,0,0,0,0
L_25,L_24_LSR,48.07026083,0,0,0,0
L_26,L_25,25.31878242,0,0,0,0
L_27,L_26,442.9845986,280.2193725,211.360864,188.6133338,188.9836022
L_28,L_25,134.2533,60.94428694,38.48155275,28.349604,38.9032766
