BASIN,2021-05,2021-06,2021-07,2021-08,2021-09
L_14,539.6654668670001,240.010684733,152.87607830000002,0.0,0.0
L_14_MSDC,535.834476867,229.766361401,135.41175496700004,0.0,0.0
L_15,17.483505689999998,6.1454694420000004,3.4354529400000002,0.0,0.0
L_15_MSDC,546.4878465580001,214.34264151000002,109.44962323700004,0.0,0.0
L_16,81.847963377,26.469288627,12.269822890000002,0.0,0.0
L_16_MSDC,619.5576546010001,224.41845346999997,92.13535612599998,0.0,0.0
L_17,16.19010184,4.430726928,1.393159244,0.0,0.0
L_17_MSRR,621.3291857730001,196.05299939799997,31.681694372999942,0.0,0.0
L_18,179.680591171,56.210789968,21.843135903,8.799654961,3.5161928579999993
L_18_MSRR,1698.698506767,680.617955407,303.52722321799985,216.78836811,227.95686057700001
L_19,23.880993229999998,8.84469586,4.605562019,2.553998404,1.523486018
L_19_MSRR,1720.3914999980002,688.8840045999999,306.1011285699999,218.185709848,227.05402326099997
L_20,306.16588241999995,119.15365286599999,60.081285997,34.23828487,20.643845905
L_21,138.4642498,53.428800284000005,26.585550539,14.213483187,8.29504548
L_21_MSRR,2165.0206422180004,861.4658439729998,392.7617864129998,266.631299212,255.98677687099996
L_23,53.305716243,19.506822394,3.7214985929999997,0.0,3.2927857300000003
L_24,199.52041672999997,74.53223738300001,11.974290565000002,0.0,6.704114803
L_24_LSR,901.2662864889999,433.03047955100004,255.79128512099993,213.79126199399997,235.37345722999999
L_25,648.732679183,339.481806774,241.735164963,214.51239832699997,226.462875697
L_26,467.729586353,279.97792116700003,205.7959749,188.2220821,188.2084953
L_27,442.41288293300005,279.980000167,205.79894489999998,188.22505209999997,188.2114653
L_28,134.235802,60.906855607,37.20882673,28.126619559999998,38.59068373
