USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
A001029,L_26,N,31,2.24667,2.246666667,-3.3329999999942572e-06,-1.4835311570473651e-06
A001205,L_24,N,32,0.00099,0.00099,0.0,0.0
A003633,L_17_MSRR,N,33,0.0,0.00099,0.00099,1.0
A004612,L_16,N,34,0.0,0.0007,0.0007,1.0
A006926,L_24,N,35,0.0238093,0.023809333,3.299999999997749e-08,1.3860111074920701e-06
A007006,L_19,N,36,0.00099,0.00099,0.0,0.0
A009746,L_19,N,37,0.012482,0.012482,0.0,0.0
A009774,L_20,N,38,0.004603,0.004603,0.0,0.0
A009992,L_19,N,39,0.00099,0.00099,0.0,0.0
A010795,L_18_MSRR,N,40,37.1667,37.16666667,-3.333000000083075e-05,-8.967713003903546e-07
A010915,L_18,N,41,0.00099,0.00099,0.0,0.0
A010976,L_18_MSRR,N,42,0.00099,0.00099,0.0,0.0
A011315,L_18,N,43,0.110238,0.11023800000000002,1.3877787807814457e-17,1.2588932861458348e-16
A011327,L_16,N,44,0.0,0.00099,0.00099,1.0
A011859,L_24,N,45,0.00099,0.00099,0.0,0.0
A012100,L_27,N,46,0.00099,0.00099,0.0,0.0
A012210,L_24,N,47,0.00099,0.00099,0.0,0.0
A012330,L_18,N,48,0.00099,0.00099,0.0,0.0
A012452,L_18_MSRR,N,49,0.00099,0.00099,0.0,0.0
A012483,L_25,N,50,0.00099,0.00099,0.0,0.0
A012510,L_25,N,51,0.00099,0.00099,0.0,0.0
A012773,L_24,N,52,0.00099,0.00099,0.0,0.0
A012877,L_18,N,53,0.00099,0.00099,0.0,0.0
A012931,L_24,N,54,0.00099,0.00099,0.0,0.0
A013062,L_17_MSRR,N,55,0.0,0.00099,0.00099,1.0
A013076,L_18_MSRR,N,56,0.00099,0.00099,0.0,0.0
A013097,L_17_MSRR,N,57,0.0,0.00099,0.00099,1.0
A013098,L_17_MSRR,N,58,0.0,2.733333333,2.733333333,1.0
A013105,L_18_MSRR,N,59,0.00099,0.00099,0.0,0.0
A013135,L_17_MSRR,N,60,0.0,0.00099,0.00099,1.0
A013151,L_17_MSRR,N,61,0.0,0.00099,0.00099,1.0
