,available_flow_data,net_flow,basin_allocations,rip_upstream_allocations,rip_downstream_allocations,remainder,running_total,net_appropriative_available,flow_allocation
L_14,75.83147029999999,75.83147029999999,0.014007150279489724,0.014007150279489724,95.57069032523597,19.73922002523598,75.83147029999999,0,75.83147029999999
L_14_MSDC,75.83147029999999,0.0,9.95111124920319,9.96511839948268,95.55668317495648,19.73922002523598,0.0,0,0.0
L_15,1.3446148619999998,1.3446148619999998,0.00066455648028,0.00066455648028,85.60623648223358,84.26162162023358,1.3446148619999998,0,1.3446148619999998
L_15_MSDC,77.17608516199999,0.0,16.939338602030126,26.905121557993084,85.6055719257533,84.26162162023358,0.0,0,0.0
L_16,8.069950331,8.069950331,3.8144889333332217,3.8144889333332217,72.48072225705639,64.41077192605638,8.069950331,0,8.069950331
L_16_MSDC,85.246035493,0.0,15.285111186604981,46.004721677931286,68.66623332372316,64.41077192605638,0.0,0,0.0
L_17,1.4120925480000002,1.4120925480000002,0.8174754017439977,0.8174754017439977,54.19859753886219,52.78650499086219,1.4120925480000002,0,1.4120925480000002
L_17_MSRR,86.658128041,0.0,40.015871517118185,86.83806859679348,53.38112213711818,52.78650499086219,0.0,0,0.0
L_18,5.716224735,5.716224735,2.2000318770000002,2.2000318770000002,15.565282497,9.849057762000001,5.716224735,3,2.2000318770000002
L_18_MSRR,345.59576874600003,0.0,10.932789511,117.81884872479347,13.36525062,-1080.125860996,240.31524242100002,227,0.0
L_19,1.524476018,1.524476018,0.00099,0.00099,2.433451109,0.9089750909999998,1.524476018,1,0.00099
L_19_MSRR,347.12024476400006,0.0,2.426323334,120.24616205879346,2.432461109,-240.92975334800008,241.83872843900008,226,0.0
L_20,21.29851218,21.29851218,0.654666275,0.654666275,0.66080405,-20.63770813,21.29851218,20,0.654666275
L_21,9.185851146000001,9.185851146000001,0.8908056659999999,0.8908056659999999,0.8969434409999999,-8.288907705000002,9.185851146000001,8,0.8908056659999999
L_21_MSRR,377.60460809000006,0.0,0.006137775,121.79777177479343,0.006137775,-519.9962808770001,270.77761982400006,255,0.0
L_23,14.59674573,14.59674573,11.30396,11.30396,25.755529619999997,11.158783889999997,14.59674573,3,11.30396
L_24,11.78236321,11.78236321,5.078248406999999,5.078248406999999,19.529818026999997,-11.78236321,11.78236321,6,5.078248406999999
L_24_LSR,253.22141597,0.0,1.086319,17.84795874,14.451569619999999,-849.6596763370001,236.799049563,235,0.0
L_25,226.84230703,0.0,0.336303333,0.379431333,14.787872952999999,-612.237047454,226.80214903,226,0.0
L_26,188.2193853,0.0,0.00297,0.01089,14.790842952999999,-361.632087647,188.2114653,188,0.0
L_27,188.2193853,188.2193853,0.00792,0.00792,14.798762952999999,-173.420622347,188.2193853,188,0.00792
L_28,38.62292173,38.62292173,0.032238,0.032238,14.820110952999999,-23.802810777000005,38.62292173,38,0.032238
