USER,BASIN,PRIORITY,app_allocations,app_demand,app_shortage,app_shortage_%
A001029,L_26,31,3.49667,3.496666667,-3.3329999999942572e-06,-9.531935175433344e-07
A001205,L_24,32,0.0,0.00099,0.00099,1.0
A003633,L_17_MSRR,33,0.0,0.00099,0.00099,1.0
A004612,L_16,34,0.0,0.0007,0.0007,1.0
A006926,L_24,35,0.0,0.022730333,0.022730333,1.0
A007006,L_19,36,0.00099,0.00099,0.0,0.0
A009746,L_19,37,0.021482,0.021481999999999998,-3.469446951953614e-18,-1.615048390258642e-16
A009774,L_20,38,0.004603,0.004603,0.0,0.0
A009992,L_19,39,0.00099,0.00099,0.0,0.0
A010795,L_18_MSRR,40,38.2333,38.23333333,3.333000000083075e-05,8.717523976565804e-07
A010915,L_18,41,0.00099,0.00099,0.0,0.0
A010976,L_18_MSRR,42,0.00099,0.00099,0.0,0.0
A011315,L_18,43,0.470159,0.47015933299999996,3.329999999635014e-07,7.082705299896735e-07
A011327,L_16,44,0.0,0.00099,0.00099,1.0
A011859,L_24,45,0.0,0.00099,0.00099,1.0
A012100,L_27,46,0.00099,0.00099,0.0,0.0
A012210,L_24,47,0.0,0.00099,0.00099,1.0
A012330,L_18,48,0.00099,0.00099,0.0,0.0
A012452,L_18_MSRR,49,0.133333,0.133333333,3.3299999999125696e-07,2.4975000061781772e-06
A012483,L_25,50,0.0371337,0.037133667,-3.2999999996508045e-08,-8.886814220773844e-07
A012510,L_25,51,0.00099,0.00099,0.0,0.0
A012773,L_24,52,0.0,0.00099,0.00099,1.0
A012877,L_18,53,0.00099,0.00099,0.0,0.0
A012931,L_24,54,0.0,0.00099,0.00099,1.0
A013062,L_17_MSRR,55,0.0,0.00099,0.00099,1.0
A013076,L_18_MSRR,56,0.00099,0.00099,0.0,0.0
A013097,L_17_MSRR,57,0.0,0.00099,0.00099,1.0
A013098,L_17_MSRR,58,0.0,3.333333333,3.333333333,1.0
A013105,L_18_MSRR,59,0.00099,0.00099,0.0,0.0
A013135,L_17_MSRR,60,0.0,0.52,0.52,1.0
A013151,L_17_MSRR,61,0.0,0.00099,0.00099,1.0
A013163,L_24,62,0.0,0.00099,0.00099,1.0
A013221,L_27,63,0.00099,0.00099,0.0,0.0
A013256,L_25,64,0.00099,0.00099,0.0,0.0
A013261,L_18_MSRR,65,0.313333,0.313333333,3.3300000001901253e-07,1.062765958638089e-06
A013267,L_17_MSRR,66,0.0,14.1,14.1,1.0
A013268,L_17_MSRR,67,0.0,0.00099,0.00099,1.0
A013269,L_24_LSR,68,0.00099,0.00099,0.0,0.0
A013301,L_25,69,3.3144,3.314398,-1.9999999998354667e-06,-6.034278320936311e-07
A013317,L_21_MSRR,70,13.0,13.0,0.0,0.0
A013330,L_26,71,0.00099,0.00099,0.0,0.0
A013359,L_16,72,0.0,6.733333332999999,6.733333332999999,1.0
A013376,L_24,73,0.0,0.00099,0.00099,1.0
A013384,L_18_MSRR,74,1.17333,1.173333333,3.3329999999942572e-06,2.8406250008021013e-06
A013393,L_24_LSR,75,17.2,17.2,0.0,0.0
A013453,L_17_MSRR,76,0.0,10.7,10.7,1.0
A013527,L_27,77,0.00099,0.00099,0.0,0.0
A013539,L_27,78,0.001074,0.001074,0.0,0.0
A013586,L_25,79,0.00099,0.00099,0.0,0.0
A013639,L_16_MSDC,80,0.0,2.096666667,2.096666667,1.0
A013684A,L_18_MSRR,81,0.00099,0.00099,0.0,0.0
A013684B,L_17_MSRR,82,0.0,0.8633333329999999,0.8633333329999999,1.0
A013890,L_16_MSDC,83,0.0,0.00099,0.00099,1.0
A013914,L_15_MSDC,84,0.0,0.00099,0.00099,1.0
A013958,L_23,85,0.0,0.00099,0.00099,1.0
A013975,L_27,86,0.00099,0.00099,0.0,0.0
A013988,L_15_MSDC,87,0.0,0.355,0.355,1.0
A014043,L_14_MSDC,88,0.0,12.0,12.0,1.0
A014050A,L_17_MSRR,93,0.0,0.00099,0.00099,1.0
A014050B,L_17_MSRR,89,0.0,0.03,0.03,1.0
A014054,L_15_MSDC,90,0.0,1.092651,1.092651,1.0
A014055,L_15_MSDC,91,0.0,5.666666667,5.666666667,1.0
A014056,L_15_MSDC,92,0.0,0.00099,0.00099,1.0
A014061,L_17_MSRR,94,0.0,2.8092666669999997,2.8092666669999997,1.0
A014064,L_15_MSDC,95,0.0,4.333333333,4.333333333,1.0
A014066,L_15_MSDC,96,0.0,3.22736995,3.22736995,1.0
A014067,L_15_MSDC,97,0.0,5.377319272,5.377319272,1.0
A014068,L_16_MSDC,98,0.0,25.45333333,25.45333333,1.0
A014092,L_27,99,0.00099,0.00099,0.0,0.0
A014107,L_23,100,0.0,0.00099,0.00099,1.0
A014136,L_14_MSDC,101,0.0,1.8870506669999998,1.8870506669999998,1.0
A014178,L_18_MSRR,102,0.00099,0.00099,0.0,0.0
A014208,L_17_MSRR,103,0.0,0.00099,0.00099,1.0
A014301,L_24,104,0.0,0.00099,0.00099,1.0
A014333,L_17_MSRR,105,0.0,25.0,25.0,1.0
A014364,L_23,106,0.0,0.00099,0.00099,1.0
A014379,L_24,107,0.0,0.00099,0.00099,1.0
A014513,L_17,108,0.0,0.00099,0.00099,1.0
A014604,L_18_MSRR,109,0.0666667,0.066666667,-3.2999999996508045e-08,-4.949999974726207e-07
A014747,L_17_MSRR,110,0.0,0.666666667,0.666666667,1.0
A014762,L_17_MSRR,111,0.0,0.00099,0.00099,1.0
A014767,L_27,112,0.00099,0.00099,0.0,0.0
A014797,L_27,113,0.00099,0.00099,0.0,0.0
