,available_flow_data,net_flow,flow_allocation,riparian_proportions,rip_basin_allocations,rip_basin_demand,rip_basin_shortage,rip_basin_shortage_%,appropriative_output,appropriative_available_flow,app_basin_allocations,app_basin_demand,app_basin_shortage,app_basin_shortage_%
L_14,105.4413212,105.4413212,105.4413212,0.8297000609999999,0.021718228796735996,0.026176000000000005,0.004457771203264009,0.17029993900000032,*,0,0.0,0.568492333,0.568492333,1.0
L_14_MSDC,105.4413212,0.0,0.0,0.8297000609999999,16.09147125244382,19.394323333,3.3028520805561783,0.1702999390000001,*,0,0.0,21.140020667,21.140020667,1.0
L_15,2.094823119,2.094823119,2.094823119,0.8297000609999999,0.0008214030603899999,0.00099,0.00016859693961000007,0.17029993900000007,*,0,0.0,3.1387023330000003,3.1387023330000003,1.0
L_15_MSDC,107.536144319,0.0,0.0,0.8297000609999999,25.11088949357616,30.265020667,5.154131173423842,0.17029993900000007,*,0,0.0,34.887499222,34.887499222,1.0
L_16,11.87008252,11.87008252,11.87008252,0.8297000609999999,4.711054462155986,5.678021111,0.9669666488440134,0.1702999390000002,*,0,0.0,8.371930332999996,8.371930332999996,1.0
L_16_MSDC,119.406226839,0.0,0.0,0.8297000609999999,23.145603295847646,27.896349998999998,4.750746703152352,0.17029993900000007,*,0,0.0,32.042906663000004,32.042906663000004,1.0
L_17,2.138518986,2.138518986,2.138518986,0.8297000609999999,1.2793424575678536,1.5419336670000001,0.26259120943214653,0.17029993900000012,*,0,0.0,0.07888,0.07888,1.0
L_17_MSRR,121.544745825,0.0,0.0,0.8297000609999999,51.20473211423046,61.714750331000005,10.510018216769545,0.17029993900000023,*,0,0.0,96.934327997,96.934327997,1.0
L_18,11.09097509,11.09097509,2.2913201290000003,1.0,2.2913201290000003,2.2913201290000003,0.0,0.0,*,8,7.509715999999999,7.516649333,0.006933333000000985,0.000922396761222037
L_18_MSRR,365.86532999400004,0.0,0.0,1.0,5.802548845,5.802548845,0.0,0.0,*,216,56.09081570000001,63.78656665900001,7.6957509590000015,0.12064845879134904
L_19,2.554988404,2.554988404,0.00099,1.0,0.00099,0.00099,0.0,0.0,*,2,0.025442000000000003,0.026432,0.0009899999999999978,0.03745460048426142
L_19_MSRR,368.420318398,0.0,0.0,1.0,1.156656666,1.156656666,0.0,0.0,*,218,53.194372,53.19433867,-3.333000000083075e-05,-6.265704365195513e-07
L_20,34.92118973,34.92118973,0.6829048600000001,1.0,0.6829048600000001,0.6829048600000001,0.0,0.0,*,34,1.98995,2.034315123,0.04436512299999973,0.02180838283037221
L_21,15.26895852,15.26895852,1.0554753329999997,1.0,1.0554753329999997,1.0554753329999997,0.0,0.0,*,14,3.0171425000000003,4.259381167,1.2422386669999996,0.29164768737401886
L_21_MSRR,418.61046664799994,0.0,0.0,1.0,0.006178693000000001,0.006178693000000001,0.0,0.0,*,266,119.307274,124.981612826,5.674338825999996,0.045401389033920034
L_23,10.40220188,10.40220188,10.40219530901847,0.5864590000000001,10.40219530901847,17.73729333,7.33509802098153,0.413541,*,0,0.0,0.31897333299999997,0.31897333299999997,1.0
L_24,6.436066539,6.436066539,6.4360634466845905,0.394837,6.4360634466845905,16.30055807,9.86449462331541,0.605163,*,0,0.0,0.42233033300000006,0.42233033300000006,1.0
L_24_LSR,233.229609079,0.0,0.0,1.0,0.721136333,0.721136333,0.0,0.0,*,213,17.206930000000003,17.207920000000005,0.0009900000000016007,5.753164821789039e-05
L_25,216.39134065999997,0.0,0.0,1.0,1.836303333,1.836303333,0.0,0.0,*,214,3.3604437,3.360441667,-2.0329999999013637e-06,-6.049800000594278e-07
L_26,188.23297209999998,0.0,0.0,1.0,0.00297,0.00297,0.0,0.0,*,188,3.5045899999999994,3.5045866669999994,-3.3329999999942572e-06,-9.510393997039816e-07
L_27,188.23297209999998,188.23297209999998,0.00792,1.0,0.00792,0.00792,0.0,0.0,*,188,0.12077399999999999,0.125724,0.00495000000000001,0.0393719576214566
L_28,28.15836856,28.15836856,0.031749,1.0,0.031749,0.031749,0.0,0.0,*,28,0.6726070000000001,0.6735966670000001,0.0009896670000000274,0.0014692278754996086
