USER,BASIN,RIPARIAN,PRIORITY,2021-09_ALLOCATION,2021-09_DEMAND,2021-09_SHORTAGE,2108-09_%_SHORTAGE
S004345,L_15_MSDC,N,1,0,2.66,2.66,100%
S009293,L_17_MSRR,N,2,0,0,0,100%
S009294,L_17_MSRR,N,3,0,0,0,100%
S009295,L_17_MSRR,N,4,0,0,0,100%
S015686,L_17_MSRR,N,6,0,0.42,0.42,100%
S009045,L_16,N,7,0,0,0,100%
S027799,L_16,N,24,0,0.06,0.06,100%
S009040,L_16,N,25,0,0.166666667,0.17,100%
S027251,L_16,N,26,0,0.5,0.5,100%
S000113,L_14,N,28,0,0.088384,0.09,100%
S000116,L_14,N,29,0,0.043823667,0.04,100%
A003633,L_17_MSRR,N,33,0,0,0,100%
A004612,L_16,N,34,0,0.0007,0,100%
A011327,L_16,N,44,0,0,0,100%
A013062,L_17_MSRR,N,55,0,0,0,100%
A013097,L_17_MSRR,N,57,0,0,0,100%
A013098,L_17_MSRR,N,58,0,2.733333333,2.73,100%
A013135,L_17_MSRR,N,60,0,0,0,100%
A013151,L_17_MSRR,N,61,0,0,0,100%
A013267,L_17_MSRR,N,66,0,5.633333333,5.63,100%
A013268,L_17_MSRR,N,67,0,0,0,100%
A013359,L_16,N,72,0,2.733333333,2.73,100%
A013453,L_17_MSRR,N,76,0,10.7,10.7,100%
A013639,L_16_MSDC,N,80,0,1.076666667,1.08,100%
A013684B,L_17_MSRR,N,82,0,0.59,0.59,100%
A013890,L_16_MSDC,N,83,0,0,0,100%
A013914,L_15_MSDC,N,84,0,0,0,100%
A013988,L_15_MSDC,N,87,0,0.248333333,0.25,100%
A014043,L_14_MSDC,N,88,0,12,12,100%
A014050B,L_17_MSRR,N,89,0,0.03,0.03,100%
A014054,L_15_MSDC,N,90,0,0.182995,0.18,100%
A014055,L_15_MSDC,N,91,0,5,5,100%
A014056,L_15_MSDC,N,92,0,0,0,100%
A014050A,L_17_MSRR,N,93,0,0,0,100%
A014061,L_17_MSRR,N,94,0,1.190066667,1.19,100%
A014064,L_15_MSDC,N,95,0,3.31,3.31,100%
A014066,L_15_MSDC,N,96,0,3.985861753,3.99,100%
A014067,L_15_MSDC,N,97,0,5.611396431,5.61,100%
A014068,L_16_MSDC,N,98,0,31.84666667,31.85,100%
A014136,L_14_MSDC,N,101,0,1.187940333,1.19,100%
A014208,L_17_MSRR,N,103,0,0,0,100%
A014333,L_17_MSRR,N,105,0,3.633333333,3.63,100%
A014513,L_17,N,108,0,0,0,100%
A014747,L_17_MSRR,N,110,0,0.5,0.5,100%
A014762,L_17_MSRR,N,111,0,0,0,100%
A014925,L_17_MSRR,N,115,0,1.333333333,1.33,100%
A014942,L_17_MSRR,N,116,0,0,0,100%
A015237,L_17,N,119,0,0,0,100%
A015299,L_16,N,120,0,0,0,100%
A015348,L_15_MSDC,N,121,0,2.5,2.5,100%
A015624,L_16,N,124,0,0,0,100%
A015759,L_16_MSDC,N,128,0,2.057080667,2.06,100%
A015760,L_16_MSDC,N,129,0,2.026765333,2.03,100%
A015947,L_16,N,131,0,0,0,100%
A016218,L_15,N,134,0,0,0,100%
A016440,L_17_MSRR,N,135,0,0,0,100%
A016457,L_17_MSRR,N,136,0,0,0,100%
A016524,L_15_MSDC,N,138,0,2.733333333,2.73,100%
A016777,L_15_MSDC,N,141,0,0.064615,0.06,100%
A017056,L_15_MSDC,N,143,0,3.423333333,3.42,100%
A017098,L_16,N,145,0,0,0,100%
A017237,L_16,N,146,0,0,0,100%
A017263,L_16,N,147,0,0.333333333,0.33,100%
A017479,L_16,N,149,0,0,0,100%
A017551,L_16_MSDC,N,150,0,0,0,100%
A017689,L_15,N,151,0,1.3381235,1.34,100%
A017795,L_14,N,152,0,0,0,100%
